 Historical Data - End of Day AFI PROPERTIES,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,8362.0000,8362.0000,1.98,8200.0000,8200.0000,8529.0000,8178.0000,28494034,2382671,1833200,21946,326,,,28494034,45.00,09/12/2018
30/12/2018,8200.0000,8200.0000,0.65,8370.0000,8147.0000,8370.0000,8117.0000,28494034,2336511,1201952,14680,190,,,28494034,45.00,09/12/2018
27/12/2018,8147.0000,8147.0000,-2.38,8900.0000,8346.0000,8900.0000,8134.0000,28494034,2321409,924532,11062,164,,,28494034,45.00,09/12/2018
26/12/2018,8346.0000,8346.0000,0.66,8291.0000,8291.0000,8440.0000,8264.0000,28494034,2378112,1346005,16184,200,,,28494034,45.00,09/12/2018
25/12/2018,8291.0000,8291.0000,0.66,8200.0000,8237.0000,8348.0000,7921.0000,28494034,2362440,6584506,80621,214,,,28494034,45.00,09/12/2018
24/12/2018,8237.0000,8237.0000,-3.55,8125.0000,8540.0000,8639.0000,8125.0000,28494034,2347054,3786708,45162,319,,,28494034,45.00,09/12/2018
23/12/2018,8540.0000,8540.0000,-4.98,8633.0000,8988.0000,8670.0000,8510.0000,28494034,2433391,2562664,29889,204,,,28494034,45.00,09/12/2018
20/12/2018,8988.0000,8988.0000,-2.30,9200.0000,9200.0000,9200.0000,8850.0000,28494034,2561044,1604296,17860,172,,,28494034,45.00,09/12/2018
19/12/2018,9200.0000,9200.0000,1.92,9027.0000,9027.0000,9249.0000,8975.0000,28494034,2621451,1978589,21608,180,,,28494034,45.00,09/12/2018
18/12/2018,9027.0000,9027.0000,-1.49,9150.0000,9164.0000,9337.0000,8943.0000,28494034,2572156,1350088,14926,192,,,28494034,45.00,09/12/2018
17/12/2018,9164.0000,9164.0000,-0.62,9147.0000,9221.0000,9201.0000,9101.0000,28494034,2611193,694558,7598,149,,,28494034,45.00,09/12/2018
16/12/2018,9221.0000,9221.0000,-0.90,9305.0000,9305.0000,9585.0000,9196.0000,28494034,2627435,202728,2187,79,,,28494034,45.00,09/12/2018
13/12/2018,9305.0000,9305.0000,-0.16,9320.0000,9320.0000,9411.0000,9150.0000,28494034,2651370,1232818,13248,142,,,28494034,45.00,09/12/2018
12/12/2018,9320.0000,9320.0000,-2.23,9533.0000,9533.0000,9537.0000,9320.0000,28494034,2655644,1286731,13709,141,,,28494034,45.00,09/12/2018
11/12/2018,9533.0000,9533.0000,-1.50,9678.0000,9678.0000,9764.0000,9349.0000,28494034,2716336,1386962,14552,144,,,28494034,45.00,09/12/2018
10/12/2018,9678.0000,9678.0000,-0.18,9695.0000,9695.0000,9699.0000,9367.0000,28494034,2757653,366212,3794,104,,,28494034,45.00,09/12/2018
09/12/2018,9695.0000,9695.0000,-0.05,9693.0000,9700.0000,9766.0000,9670.0000,28494034,2762497,243630,2512,58,,,28494034,45.00,09/12/2018
06/12/2018,9700.0000,9700.0000,-2.66,9965.0000,9965.0000,9995.0000,9700.0000,28494034,2763921,1482308,15257,127,,,28494034,45.00,04/11/2018
05/12/2018,9965.0000,9965.0000,0.69,9897.0000,9897.0000,10100.0000,9920.0000,28494034,2839430,2073174,20785,137,,,28494034,45.00,04/11/2018
04/12/2018,9897.0000,9897.0000,-0.53,9950.0000,9950.0000,9968.0000,9893.0000,28494034,2820055,669847,6750,120,,,28494034,45.00,04/11/2018
03/12/2018,9950.0000,9950.0000,1.11,9841.0000,9841.0000,10010.0000,9821.0000,28494034,2835156,925394,9303,134,,,28494034,45.00,04/11/2018
02/12/2018,9841.0000,9841.0000,1.66,10000.0000,9680.0000,10040.0000,9793.0000,28494034,2804098,1012983,10275,153,,,28494034,45.00,04/11/2018
29/11/2018,9680.0000,9680.0000,0.66,9617.0000,9617.0000,9837.0000,9565.0000,28494034,2758222,1151719,11931,184,,,28494034,45.00,04/11/2018
28/11/2018,9617.0000,9617.0000,1.14,9500.0000,9509.0000,9883.0000,9500.0000,28494034,2740271,621524,6443,109,,,28494034,45.00,04/11/2018
27/11/2018,9509.0000,9509.0000,-1.13,9845.0000,9618.0000,9845.0000,9500.0000,28494034,2709498,385993,4032,109,,,28494034,45.00,04/11/2018
26/11/2018,9618.0000,9618.0000,0.30,9589.0000,9589.0000,9812.0000,9562.0000,28494034,2740556,3073596,31888,104,,,28494034,45.00,04/11/2018
25/11/2018,9589.0000,9589.0000,-1.19,9512.0000,9704.0000,9821.0000,9512.0000,28494034,2732293,262530,2741,71,,,28494034,45.00,04/11/2018
22/11/2018,9704.0000,9704.0000,-0.65,9767.0000,9767.0000,9892.0000,9700.0000,28494034,2765061,447246,4587,107,,,28494034,45.00,04/11/2018
21/11/2018,9767.0000,9767.0000,-0.04,9771.0000,9771.0000,9986.0000,9729.0000,28494034,2783012,607358,6208,133,,,28494034,45.00,04/11/2018
20/11/2018,9771.0000,9771.0000,-1.63,9933.0000,9933.0000,10090.0000,9750.0000,28494034,2784152,619242,6272,164,,,28494034,45.00,04/11/2018
19/11/2018,9933.0000,9933.0000,1.82,9755.0000,9755.0000,10150.0000,9755.0000,28494034,2830312,1003883,10098,178,,,28494034,45.00,04/11/2018
18/11/2018,9755.0000,9755.0000,0.08,9747.0000,9747.0000,9950.0000,9746.0000,28494034,2779593,380460,3901,68,,,28494034,45.00,04/11/2018
15/11/2018,9747.0000,9747.0000,-1.37,9882.0000,9882.0000,9882.0000,9701.0000,28494034,2777313,482415,4948,122,,,28494034,45.00,04/11/2018
14/11/2018,9882.0000,9882.0000,-0.11,9893.0000,9893.0000,9900.0000,9861.0000,28494034,2815780,1230877,12465,119,,,28494034,45.00,04/11/2018
13/11/2018,9893.0000,9893.0000,0.97,9700.0000,9798.0000,9989.0000,9653.0000,28494034,2818915,1498419,15351,194,,,28494034,45.00,04/11/2018
12/11/2018,9798.0000,9798.0000,-1.36,9933.0000,9933.0000,10090.0000,9217.0000,28494034,2791845,708293,7233,141,,,28494034,45.00,04/11/2018
11/11/2018,9933.0000,9933.0000,-0.48,9981.0000,9981.0000,10290.0000,9891.0000,28494034,2830312,586033,5828,115,,,28494034,45.00,04/11/2018
08/11/2018,9981.0000,9981.0000,-0.18,9999.0000,9999.0000,10060.0000,9950.0000,28494034,2843990,1314244,13120,215,,,28494034,45.00,04/11/2018
07/11/2018,9999.0000,9999.0000,2.03,9850.0000,9800.0000,10000.0000,9683.0000,28494034,2849118,1549799,15529,189,,,28494034,45.00,04/11/2018
06/11/2018,9800.0000,9800.0000,-0.54,9855.0000,9853.0000,9855.0000,9140.0000,28494034,2792415,813871,8336,188,,,28494034,45.00,04/11/2018
05/11/2018,9853.0000,9853.0000,0.71,9889.0000,9784.0000,9889.0000,9689.0000,28494034,2807517,2517821,25733,175,,,28494034,45.00,04/11/2018
04/11/2018,9784.0000,9784.0000,-1.18,9894.0000,9901.0000,9899.0000,9765.0000,28494034,2787856,241138,2457,62,,,28494034,45.00,04/11/2018
