 Historical Data - End of Day AIRPORT CITY,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,4593.0000,4593.0000,0.95,4600.0000,4550.0000,4680.0000,4550.0000,131489390,6039308,4246742,92433,465,,,131489390,60.00,09/12/2018
30/12/2018,4550.0000,4550.0000,-1.00,4596.0000,4596.0000,4638.0000,4470.0000,131489390,5982767,5394427,118495,587,,,131489390,60.00,09/12/2018
27/12/2018,4596.0000,4596.0000,-1.16,4668.0000,4650.0000,4699.0000,4534.0000,131489390,6043252,13525654,292281,619,,,131489390,60.00,09/12/2018
26/12/2018,4650.0000,4650.0000,-1.06,4700.0000,4700.0000,4780.0000,4625.0000,131489390,6114257,8477912,181649,402,,,131489390,60.00,09/12/2018
25/12/2018,4700.0000,4700.0000,1.82,4551.0000,4616.0000,4730.0000,4533.0000,131489390,6180001,7891185,170194,664,,,131489390,60.00,09/12/2018
24/12/2018,4616.0000,4616.0000,-1.47,4751.0000,4685.0000,4755.0000,4555.0000,131489390,6069550,5927975,128004,573,,,131489390,60.00,09/12/2018
23/12/2018,4685.0000,4685.0000,-1.86,4726.0000,4774.0000,4728.0000,4601.0000,131489390,6160278,7698283,164599,664,,,131489390,60.00,09/12/2018
20/12/2018,4774.0000,4774.0000,0.00,4774.0000,4774.0000,4774.0000,4707.0000,131489390,6277303,13861987,291708,572,,,131489390,60.00,09/12/2018
19/12/2018,4774.0000,4774.0000,0.38,4788.0000,4756.0000,4796.0000,4732.0000,131489390,6277303,8769537,183909,391,,,131489390,60.00,09/12/2018
18/12/2018,4756.0000,4756.0000,-0.06,4759.0000,4759.0000,4779.0000,4719.0000,131489390,6253635,4204328,88472,386,,,131489390,60.00,09/12/2018
17/12/2018,4759.0000,4759.0000,0.08,4790.0000,4755.0000,4798.0000,4726.0000,131489390,6257580,4501784,94451,384,,,131489390,60.00,09/12/2018
16/12/2018,4755.0000,4755.0000,-0.52,4780.0000,4780.0000,4777.0000,4721.0000,131489390,6252320,2279631,47974,163,,,131489390,60.00,09/12/2018
