 Historical Data - End of Day ALONY HETZ,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,3370.7382,3489.0000,2.17,3415.0000,3415.0000,3496.0000,3415.0000,171142555,5971164,9530162,274812,1007,,,171121870,80.00,09/12/2018
30/12/2018,3299.2466,3415.0000,-0.87,3455.0000,3445.0000,3463.0000,3381.0000,171142555,5844518,6138115,179874,696,,,171121870,80.00,09/12/2018
27/12/2018,3328.2297,3445.0000,-1.29,3559.0000,3490.0000,3559.0000,3431.0000,171142555,5895861,16719191,474233,732,,,171121870,80.00,09/12/2018
26/12/2018,3371.7044,3490.0000,-0.85,3540.0000,3520.0000,3590.0000,3490.0000,171142555,5972875,10889306,309725,706,,,171121870,80.00,09/12/2018
25/12/2018,3400.6876,3520.0000,2.18,3401.0000,3445.0000,3550.0000,3370.0000,171142555,6024218,17430720,501900,1186,,,171121870,80.00,09/12/2018
24/12/2018,3328.2297,3445.0000,0.00,3445.0000,3445.0000,3474.0000,3410.0000,171142555,5895861,34263546,996870,1167,,,171121870,80.00,09/12/2018
23/12/2018,3328.2297,3445.0000,-2.99,3506.0000,3551.0000,3507.0000,3408.0000,171142555,5895861,21311900,618181,1110,,,171121870,80.00,09/12/2018
20/12/2018,3430.6368,3551.0000,-1.20,3553.0000,3594.0000,3593.0000,3540.0000,171142555,6077272,25538830,716909,924,,,171121870,80.00,09/12/2018
19/12/2018,3472.1792,3594.0000,1.58,3560.0000,3538.0000,3607.0000,3548.0000,171142555,6150863,12021301,335531,575,,,171121870,80.00,09/12/2018
18/12/2018,3418.0774,3538.0000,-0.08,3541.0000,3541.0000,3559.0000,3514.0000,171142555,6055024,17828318,505221,712,,,171121870,80.00,09/12/2018
17/12/2018,3420.9757,3541.0000,0.00,3541.0000,3541.0000,3566.0000,3512.0000,171142555,6060158,25609603,724626,908,,,171121870,80.00,09/12/2018
16/12/2018,3420.9757,3541.0000,-1.25,3561.0000,3586.0000,3580.0000,3536.0000,171142555,6060158,3903591,109782,362,,,171121870,80.00,09/12/2018
13/12/2018,3464.4504,3586.0000,-0.11,3590.0000,3590.0000,3630.0000,3570.0000,171142555,6137172,6466272,179839,493,,,171121870,80.00,09/12/2018
12/12/2018,3468.3148,3590.0000,0.70,3580.0000,3565.0000,3649.0000,3574.0000,171142555,6144018,19172905,529874,753,,,171121870,80.00,09/12/2018
11/12/2018,3444.1622,3565.0000,1.22,3548.0000,3522.0000,3600.0000,3523.0000,171142555,6101232,8746692,244562,684,,,171121870,80.00,09/12/2018
10/12/2018,3402.6197,3522.0000,0.57,3505.0000,3502.0000,3570.0000,3478.0000,171142555,6027641,5647333,160333,514,,,171121870,80.00,09/12/2018
09/12/2018,3383.2977,3502.0000,-0.26,3500.0000,3511.0000,3526.0000,3476.0000,171142555,5993412,3916549,111751,353,,,171121870,80.00,09/12/2018
06/12/2018,3391.9927,3511.0000,-2.55,3506.0000,3603.0000,3562.0000,3506.0000,171142555,6008815,19567041,556375,567,,,171121870,80.00,04/11/2018
05/12/2018,3480.8742,3603.0000,0.95,3542.0000,3569.0000,3610.0000,3542.0000,171121870,6165521,12803586,355580,379,,,171121870,80.00,04/11/2018
04/12/2018,3448.0266,3569.0000,-1.14,3576.0000,3610.0000,3596.0000,3561.0000,171121870,6107340,5346855,149414,445,,,171121870,80.00,04/11/2018
03/12/2018,3487.6369,3610.0000,0.22,3635.0000,3602.0000,3676.0000,3594.0000,171121870,6177500,5160411,141543,410,,,171121870,80.00,04/11/2018
02/12/2018,3479.9081,3602.0000,1.27,3570.0000,3557.0000,3625.0000,3570.0000,171121870,6163810,13220929,368396,477,EX DIVIDEND,0.99219,171121870,80.00,04/11/2018
29/11/2018,3436.4345,3585.0000,0.67,3600.0000,3561.0000,3645.0000,3571.0000,171121870,6134719,17510693,485799,611,,,171121870,80.00,04/11/2018
28/11/2018,3413.4291,3561.0000,1.16,3520.0000,3520.0000,3593.0000,3513.0000,171121870,6093650,9248321,260106,585,,,171121870,80.00,04/11/2018
27/11/2018,3374.1282,3520.0000,-1.29,3568.0000,3566.0000,3633.0000,3519.0000,171121870,6023490,17013104,476052,740,,,171121870,80.00,04/11/2018
26/11/2018,3418.2219,3566.0000,-0.89,3610.0000,3598.0000,3665.0000,3541.0000,171121870,6102206,19151753,532069,944,,,171121870,80.00,04/11/2018
25/11/2018,3448.8958,3598.0000,-1.15,3613.0000,3640.0000,3637.0000,3574.0000,171121870,6156965,2525259,70212,273,,,171121870,80.00,04/11/2018
22/11/2018,3489.1553,3640.0000,-0.55,3674.0000,3660.0000,3675.0000,3625.0000,171121870,6228836,5137921,140411,401,,,171121870,80.00,04/11/2018
21/11/2018,3508.3265,3660.0000,1.33,3615.0000,3612.0000,3690.0000,3500.0000,171121870,6263060,12660879,347491,694,,,171121870,80.00,04/11/2018
20/11/2018,3462.3157,3612.0000,-0.47,3590.0000,3629.0000,3648.0000,3579.0000,171121870,6180922,11306386,312224,630,,,171121870,80.00,04/11/2018
19/11/2018,3478.6111,3629.0000,0.89,3613.0000,3597.0000,3629.0000,3591.0000,171121870,6210013,4615924,127673,415,,,171121870,80.00,04/11/2018
18/11/2018,3447.9372,3597.0000,0.06,3605.0000,3595.0000,3641.0000,3595.0000,171121870,6155254,3015408,83550,242,,,171121870,80.00,04/11/2018
15/11/2018,3446.0201,3595.0000,0.76,3598.0000,3568.0000,3624.0000,3570.0000,171121870,6151831,9111728,253447,666,,,171121870,80.00,04/11/2018
14/11/2018,3420.1389,3568.0000,-0.20,3560.0000,3575.0000,3615.0000,3535.0000,171121870,6105628,4377742,122520,464,,,171121870,80.00,04/11/2018
13/11/2018,3426.8490,3575.0000,0.73,3538.0000,3549.0000,3636.0000,3538.0000,171121870,6117607,11777459,327133,610,,,171121870,80.00,04/11/2018
12/11/2018,3401.9263,3549.0000,-1.09,3610.0000,3588.0000,3645.0000,3541.0000,171121870,6073115,27056995,745948,812,,,171121870,80.00,04/11/2018
11/11/2018,3439.3102,3588.0000,0.08,3609.0000,3585.0000,3609.0000,3578.0000,171121870,6139853,3520378,97936,416,,,171121870,80.00,04/11/2018
08/11/2018,3436.4345,3585.0000,1.04,3576.0000,3548.0000,3612.0000,3516.0000,171121870,6134719,16312356,455388,984,,,171121870,80.00,04/11/2018
07/11/2018,3400.9678,3548.0000,3.26,3464.0000,3436.0000,3550.0000,3445.0000,171121870,6071404,15649456,443649,891,,,171121870,80.00,04/11/2018
06/11/2018,3293.6092,3436.0000,-0.49,3460.0000,3453.0000,3467.0000,3427.0000,171121870,5879747,6424365,186779,619,,,171121870,80.00,04/11/2018
05/11/2018,3309.9047,3453.0000,-1.06,3489.0000,3490.0000,3489.0000,3450.0000,171121870,5908838,7467392,215479,601,,,171121870,80.00,04/11/2018
04/11/2018,3345.3714,3490.0000,-0.99,3525.0000,3525.0000,3525.0000,3489.0000,171121870,5972153,2231994,63810,248,,,171121870,80.00,04/11/2018
01/11/2018,3378.9210,3525.0000,-0.42,3544.0000,3540.0000,3571.0000,3489.0000,171121870,6032046,11154043,316409,597,,,171017662,80.00,07/10/2018
31/10/2018,3393.2992,3540.0000,2.16,3500.0000,3465.0000,3550.0000,3481.0000,171121870,6057714,25639666,726183,929,,,171017662,80.00,07/10/2018
29/10/2018,3321.4074,3465.0000,0.14,3440.0000,3460.0000,3522.0000,3440.0000,171121870,5929373,5637635,161969,563,,,171017662,80.00,07/10/2018
28/10/2018,3316.6146,3460.0000,0.55,3470.0000,3441.0000,3488.0000,3427.0000,171121870,5920817,5984825,173435,398,,,171017662,80.00,07/10/2018
25/10/2018,3298.4019,3441.0000,-1.94,3460.0000,3509.0000,3480.0000,3430.0000,171121870,5888304,36061590,1042166,854,,,171017662,80.00,07/10/2018
