 Historical Data - End of Day AMOT,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,1716.0601,1814.0000,2.25,1751.0000,1774.0000,1814.0000,1751.0000,347449992,6302743,9286814,515433,798,,,346810856,45.00,09/12/2018
30/12/2018,1678.2197,1774.0000,0.51,1765.0000,1765.0000,1780.0000,1745.0000,347449992,6163763,5355489,303156,576,,,346810856,45.00,09/12/2018
27/12/2018,1669.7058,1765.0000,-2.22,1806.0000,1805.0000,1824.0000,1765.0000,347445508,6132413,13655690,763106,880,,,346810856,45.00,09/12/2018
26/12/2018,1707.5462,1805.0000,-1.85,1839.0000,1839.0000,1855.0000,1802.0000,347445508,6271391,4367076,239238,508,,,346810856,45.00,09/12/2018
25/12/2018,1739.7105,1839.0000,3.37,1766.0000,1779.0000,1839.0000,1753.0000,347445508,6389523,19811300,1112361,875,,,346810856,45.00,09/12/2018
24/12/2018,1682.9500,1779.0000,-1.00,1800.0000,1797.0000,1806.0000,1755.0000,347445508,6181056,8235338,461940,675,,,346810856,45.00,09/12/2018
23/12/2018,1699.9780,1797.0000,-2.44,1824.0000,1842.0000,1825.0000,1774.0000,347445508,6243596,20286481,1131844,831,,,346810856,45.00,09/12/2018
20/12/2018,1742.5485,1842.0000,-0.97,1848.0000,1860.0000,1850.0000,1830.0000,347445508,6399946,14007990,759445,484,,,346810856,45.00,09/12/2018
19/12/2018,1759.5765,1860.0000,1.64,1855.0000,1830.0000,1860.0000,1840.0000,347445508,6462486,6265645,337796,398,,,346810856,45.00,09/12/2018
18/12/2018,1731.1963,1830.0000,-0.71,1831.0000,1843.0000,1849.0000,1830.0000,347445508,6358253,6334052,344286,414,,,346810856,45.00,09/12/2018
17/12/2018,1743.4944,1843.0000,0.11,1830.0000,1841.0000,1850.0000,1825.0000,347275115,6400280,12103058,656140,784,,,346810856,45.00,09/12/2018
16/12/2018,1741.6025,1841.0000,-0.43,1846.0000,1849.0000,1850.0000,1831.0000,347275115,6393335,3560430,193356,269,,,346810856,45.00,09/12/2018
13/12/2018,1749.1705,1849.0000,-0.70,1862.0000,1862.0000,1879.0000,1834.0000,347275115,6421117,3842733,207318,333,,,346810856,45.00,09/12/2018
12/12/2018,1761.4686,1862.0000,-0.43,1868.0000,1870.0000,1883.0000,1862.0000,347275115,6466263,3405410,181506,515,,,346810856,45.00,09/12/2018
11/12/2018,1769.0366,1870.0000,0.38,1864.0000,1863.0000,1880.0000,1859.0000,347275115,6494045,5475314,292503,604,,,346810856,45.00,09/12/2018
10/12/2018,1762.4146,1863.0000,0.76,1864.0000,1849.0000,1876.0000,1833.0000,347146518,6467340,2709656,146147,393,,,346810856,45.00,09/12/2018
09/12/2018,1749.1705,1849.0000,0.33,1840.0000,1843.0000,1856.0000,1830.0000,347146518,6418739,2522228,136713,245,,,346810856,45.00,09/12/2018
06/12/2018,1743.4944,1843.0000,-1.97,1861.0000,1880.0000,1869.0000,1843.0000,347146518,6397910,7095030,383874,402,,,346796856,45.00,04/11/2018
05/12/2018,1778.4967,1880.0000,0.86,1858.0000,1864.0000,1882.0000,1856.0000,347146518,6526355,8283009,441158,397,,,346796856,45.00,04/11/2018
04/12/2018,1763.3607,1864.0000,-0.85,1867.0000,1880.0000,1883.0000,1850.0000,347146518,6470811,3309650,176985,352,,,346796856,45.00,04/11/2018
03/12/2018,1778.4967,1880.0000,-0.21,1898.0000,1884.0000,1906.0000,1872.0000,346860660,6520980,8139103,429139,516,,,346796856,45.00,04/11/2018
02/12/2018,1782.2808,1884.0000,1.78,1878.0000,1851.0000,1888.0000,1859.0000,346860660,6534855,4521292,241267,401,,,346796856,45.00,04/11/2018
29/11/2018,1751.0625,1851.0000,0.54,1860.0000,1841.0000,1879.0000,1849.0000,346860660,6420391,9138216,491588,420,,,346796856,45.00,04/11/2018
28/11/2018,1741.6025,1841.0000,0.71,1828.0000,1828.0000,1854.0000,1828.0000,346860660,6385705,8176291,442953,443,,,346796856,45.00,04/11/2018
27/11/2018,1729.3043,1828.0000,-0.49,1843.0000,1837.0000,1852.0000,1816.0000,346860660,6340613,9333983,507651,390,,,346796856,45.00,04/11/2018
26/11/2018,1737.8183,1837.0000,-0.22,1850.0000,1841.0000,1879.0000,1822.0000,346860660,6371830,3730595,201573,372,,,346796856,45.00,04/11/2018
25/11/2018,1741.6025,1841.0000,-0.81,1845.0000,1856.0000,1856.0000,1840.0000,346853903,6385580,7341457,397942,212,,,346796856,45.00,04/11/2018
22/11/2018,1755.7925,1856.0000,-0.80,1878.0000,1871.0000,1880.0000,1855.0000,346853903,6437608,2594789,138735,278,,,346796856,45.00,04/11/2018
21/11/2018,1769.9827,1871.0000,1.68,1841.0000,1840.0000,1898.0000,1841.0000,346853903,6489637,10816688,579146,622,,,346796856,45.00,04/11/2018
20/11/2018,1740.6563,1840.0000,-0.49,1830.0000,1849.0000,1864.0000,1830.0000,346853903,6382112,4465276,241594,411,EX DIVIDEND,0.98771,346796856,45.00,04/11/2018
19/11/2018,1749.1640,1872.0000,-0.05,1877.0000,1873.0000,1888.0000,1870.0000,346853903,6493105,1386832,73930,218,,,346796856,45.00,04/11/2018
18/11/2018,1750.0983,1873.0000,-0.43,1882.0000,1881.0000,1897.0000,1871.0000,346810856,6495767,1237484,65658,167,,,346796856,45.00,04/11/2018
15/11/2018,1757.5734,1881.0000,0.43,1892.0000,1873.0000,1900.0000,1873.0000,346810856,6523512,4686116,248038,399,,,346796856,45.00,04/11/2018
14/11/2018,1750.0983,1873.0000,-0.69,1871.0000,1886.0000,1899.0000,1864.0000,346810856,6495767,2030132,107948,307,,,346796856,45.00,04/11/2018
13/11/2018,1762.2455,1886.0000,1.40,1861.0000,1860.0000,1905.0000,1861.0000,346810856,6540853,6103210,323254,611,,,346796856,45.00,04/11/2018
12/11/2018,1737.9513,1860.0000,-1.01,1872.0000,1879.0000,1915.0000,1860.0000,346810856,6450682,7806814,412087,738,,,346796856,45.00,04/11/2018
11/11/2018,1755.7046,1879.0000,-0.58,1885.0000,1890.0000,1900.0000,1878.0000,346810856,6516576,3060331,162132,360,,,346796856,45.00,04/11/2018
08/11/2018,1765.9828,1890.0000,0.80,1876.0000,1875.0000,1900.0000,1870.0000,346810856,6554725,12230242,647188,837,,,346796856,45.00,04/11/2018
07/11/2018,1751.9672,1875.0000,1.63,1868.0000,1845.0000,1897.0000,1863.0000,346810856,6502704,15512640,826169,541,,,346796856,45.00,04/11/2018
06/11/2018,1723.9357,1845.0000,-0.11,1838.0000,1847.0000,1864.0000,1838.0000,346810856,6398660,5776523,311791,481,,,346796856,45.00,04/11/2018
05/11/2018,1725.8044,1847.0000,0.05,1853.0000,1846.0000,1853.0000,1831.0000,346810856,6405597,3182221,172857,363,,,346796856,45.00,04/11/2018
04/11/2018,1724.8700,1846.0000,-1.02,1869.0000,1865.0000,1869.0000,1845.0000,346810856,6402128,1081344,58471,164,,,346796856,45.00,04/11/2018
01/11/2018,1742.6233,1865.0000,0.87,1846.0000,1849.0000,1883.0000,1845.0000,346810856,6468022,5866582,315575,398,,,346755398,45.00,07/10/2018
31/10/2018,1727.6732,1849.0000,1.76,1838.0000,1817.0000,1849.0000,1818.0000,346810856,6412533,13417517,730405,499,,,346755398,45.00,07/10/2018
29/10/2018,1697.7730,1817.0000,-0.38,1824.0000,1824.0000,1852.0000,1816.0000,346810856,6301553,4290621,234438,452,,,346755398,45.00,07/10/2018
28/10/2018,1704.3135,1824.0000,-0.82,1839.0000,1839.0000,1839.0000,1818.0000,346810856,6325830,5151090,282041,472,,,346755398,45.00,07/10/2018
25/10/2018,1718.3293,1839.0000,-0.97,1824.0000,1857.0000,1860.0000,1821.0000,346810856,6377852,20667358,1124170,762,,,346755398,45.00,07/10/2018
24/10/2018,1735.1482,1857.0000,-1.69,1889.0000,1889.0000,1901.0000,1855.0000,346810856,6440278,10307358,550577,546,,,346755398,45.00,07/10/2018
23/10/2018,1765.0484,1889.0000,-1.56,1884.0000,1919.0000,1910.0000,1873.0000,346810856,6551257,5529729,292086,494,,,346755398,45.00,07/10/2018
