 Historical Data - End of Day AZRIELI GROUP,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,17491.0365,17850.0000,0.17,17820.0000,17820.0000,17950.0000,17610.0000,121272760,21647188,10779127,60447,725,,,121272760,35.00,09/12/2018
30/12/2018,17461.6398,17820.0000,-1.27,18000.0000,18050.0000,18020.0000,17720.0000,121272760,21610806,11592624,64943,756,,,121272760,35.00,09/12/2018
27/12/2018,17687.0145,18050.0000,-0.39,18190.0000,18120.0000,18400.0000,17960.0000,121272760,21889733,30077456,165768,1136,,,121272760,35.00,09/12/2018
26/12/2018,17755.6068,18120.0000,-1.25,18200.0000,18350.0000,18650.0000,18020.0000,121272760,21974624,16084237,88296,663,,,121272760,35.00,09/12/2018
25/12/2018,17980.9815,18350.0000,1.72,17940.0000,18040.0000,18400.0000,17630.0000,121272760,22253551,14437118,79636,899,,,121272760,35.00,09/12/2018
24/12/2018,17677.2156,18040.0000,-1.04,18480.0000,18230.0000,18480.0000,18030.0000,121272760,21877606,42006881,230850,855,,,121272760,35.00,09/12/2018
23/12/2018,17863.3947,18230.0000,-2.67,18730.0000,18730.0000,18730.0000,18000.0000,121272760,22108024,32381147,177300,1092,,,121272760,35.00,09/12/2018
20/12/2018,18353.3397,18730.0000,-1.06,18610.0000,18930.0000,18750.0000,18450.0000,121272760,22714388,22920711,122651,814,,,121272760,35.00,09/12/2018
19/12/2018,18549.3177,18930.0000,1.77,18770.0000,18600.0000,18930.0000,18670.0000,121272760,22956933,25467942,135044,724,,,121272760,35.00,09/12/2018
18/12/2018,18225.9540,18600.0000,-0.05,18690.0000,18610.0000,18810.0000,18550.0000,121272760,22556733,19601313,104942,790,,,121272760,35.00,09/12/2018
17/12/2018,18235.7529,18610.0000,0.38,18430.0000,18540.0000,18720.0000,18430.0000,121272760,22568861,11533723,62129,706,,,121272760,35.00,09/12/2018
16/12/2018,18167.1606,18540.0000,-1.12,18710.0000,18750.0000,18770.0000,18530.0000,121272760,22483970,4855784,25998,288,,,121272760,35.00,09/12/2018
13/12/2018,18372.9375,18750.0000,-0.85,18880.0000,18910.0000,19000.0000,18740.0000,121272760,22738643,13561187,72026,769,,,121272760,35.00,09/12/2018
12/12/2018,18529.7199,18910.0000,-0.73,19130.0000,19050.0000,19190.0000,18900.0000,121272760,22932679,10688124,56217,675,,,121272760,35.00,09/12/2018
11/12/2018,18666.9045,19050.0000,-0.16,19080.0000,19080.0000,19280.0000,19050.0000,121272760,23102461,20128012,105112,936,,,121272760,35.00,09/12/2018
10/12/2018,18696.3012,19080.0000,0.10,18930.0000,19060.0000,19160.0000,18730.0000,121272760,23138843,15381879,81355,657,,,121272760,35.00,09/12/2018
09/12/2018,18676.7034,19060.0000,0.95,18830.0000,18880.0000,19170.0000,18750.0000,121272760,23114588,6147175,32393,342,,,121272760,35.00,09/12/2018
06/12/2018,18500.3232,18880.0000,-1.51,19100.0000,19170.0000,19100.0000,18850.0000,121272760,22896297,30594401,161765,827,,,121272760,35.00,04/11/2018
05/12/2018,18784.4913,19170.0000,0.95,18850.0000,18990.0000,19200.0000,18850.0000,121272760,23247988,23400392,122271,578,,,121272760,35.00,04/11/2018
04/12/2018,18608.1111,18990.0000,-0.31,18860.0000,19050.0000,19000.0000,18860.0000,121272760,23029697,19942678,105107,796,,,121272760,35.00,04/11/2018
03/12/2018,18666.9045,19050.0000,0.11,19310.0000,19030.0000,19310.0000,18920.0000,121272760,23102461,10197752,53335,687,,,121272760,35.00,04/11/2018
02/12/2018,18647.3067,19030.0000,1.93,18670.0000,18670.0000,19080.0000,18670.0000,121272760,23078206,8916843,47138,416,,,121272760,35.00,04/11/2018
29/11/2018,18294.5463,18670.0000,-1.37,19100.0000,18930.0000,19160.0000,18670.0000,121272760,22641624,52192283,276663,905,,,121272760,35.00,04/11/2018
28/11/2018,18549.3177,18930.0000,1.88,18720.0000,18580.0000,18970.0000,18590.0000,121272760,22956933,7480085,39754,560,,,121272760,35.00,04/11/2018
27/11/2018,18206.3562,18580.0000,-0.80,18730.0000,18730.0000,18840.0000,18380.0000,121272760,22532479,10116609,54344,663,,,121272760,35.00,04/11/2018
26/11/2018,18353.3397,18730.0000,-1.37,18990.0000,18990.0000,19390.0000,18650.0000,121272760,22714388,25339469,133690,1250,,,121272760,35.00,04/11/2018
25/11/2018,18608.1111,18990.0000,-0.16,19060.0000,19020.0000,19240.0000,18910.0000,121272760,23029697,5489389,28839,500,,,121272760,35.00,04/11/2018
22/11/2018,18637.5078,19020.0000,-0.63,19250.0000,19140.0000,19270.0000,18950.0000,121272760,23066079,10515289,54960,560,,,121272760,35.00,04/11/2018
21/11/2018,18755.0946,19140.0000,-0.05,19280.0000,19150.0000,19340.0000,18990.0000,121272760,23211606,32386427,168627,1084,,,121272760,35.00,04/11/2018
20/11/2018,18764.8935,19150.0000,-0.47,19240.0000,19240.0000,19290.0000,19000.0000,121272760,23223734,11082405,57782,733,,,121272760,35.00,04/11/2018
19/11/2018,18853.0836,19240.0000,-0.36,19210.0000,19310.0000,19350.0000,19060.0000,121272760,23332879,8943888,46542,654,,,121272760,35.00,04/11/2018
18/11/2018,18921.6759,19310.0000,-0.21,19350.0000,19350.0000,19450.0000,19210.0000,121272760,23417770,2579104,13340,275,,,121272760,35.00,04/11/2018
15/11/2018,18960.8715,19350.0000,1.15,19300.0000,19130.0000,19440.0000,19170.0000,121272760,23466279,14906769,77159,891,,,121272760,35.00,04/11/2018
14/11/2018,18745.2957,19130.0000,-0.78,19160.0000,19280.0000,19350.0000,19080.0000,121272760,23199479,10433032,54356,696,,,121272760,35.00,04/11/2018
13/11/2018,18892.2792,19280.0000,1.42,19010.0000,19010.0000,19370.0000,18880.0000,121272760,23381388,18489848,96381,656,,,121272760,35.00,04/11/2018
