 Historical Data - End of Day BAYSIDE LAND,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,150919.0780,159100.0000,-1.00,160700.0000,160700.0000,163000.0000,159100.0000,2136755,3399577,1551795,966,211,,,2136755,60.00,09/12/2018
30/12/2018,152436.8060,160700.0000,-0.99,162300.0000,162300.0000,163000.0000,160700.0000,2136755,3433765,1138273,704,122,,,2136755,60.00,09/12/2018
27/12/2018,153954.5340,162300.0000,-0.37,166900.0000,162900.0000,166900.0000,161000.0000,2136755,3467953,2393709,1467,235,,,2136755,60.00,09/12/2018
26/12/2018,154523.6820,162900.0000,1.88,159900.0000,159900.0000,164800.0000,158800.0000,2136755,3480774,1679029,1040,137,,,2136755,60.00,09/12/2018
25/12/2018,151677.9420,159900.0000,2.04,152600.0000,156700.0000,161000.0000,152600.0000,2136755,3416671,2017610,1280,222,,,2136755,60.00,09/12/2018
24/12/2018,148642.4860,156700.0000,-0.38,157300.0000,157300.0000,158800.0000,154000.0000,2136755,3348295,11128520,7081,352,,,2136755,60.00,09/12/2018
23/12/2018,149211.6340,157300.0000,-2.90,160500.0000,162000.0000,160600.0000,155000.0000,2136755,3361116,2601040,1655,213,,,2136755,60.00,09/12/2018
20/12/2018,153669.9600,162000.0000,-1.76,164900.0000,164900.0000,164900.0000,162000.0000,2136755,3461543,4746370,2907,159,,,2136755,60.00,09/12/2018
19/12/2018,156420.8420,164900.0000,1.73,162100.0000,162100.0000,165000.0000,161700.0000,2136755,3523509,5313293,3247,205,,,2136755,60.00,09/12/2018
18/12/2018,153764.8180,162100.0000,-0.92,163600.0000,163600.0000,164000.0000,161700.0000,2136755,3463680,852040,525,141,,,2136755,60.00,09/12/2018
17/12/2018,155187.6880,163600.0000,1.36,161400.0000,161400.0000,164400.0000,160800.0000,2136755,3495731,1338726,822,175,,,2136755,60.00,09/12/2018
16/12/2018,153100.8120,161400.0000,-0.98,160300.0000,163000.0000,162800.0000,160300.0000,2136755,3448723,995440,616,91,,,2136755,60.00,09/12/2018
13/12/2018,154618.5400,163000.0000,1.31,160900.0000,160900.0000,164800.0000,160000.0000,2136755,3482911,1459728,901,133,,,2136755,60.00,09/12/2018
12/12/2018,152626.5220,160900.0000,-1.29,165400.0000,163000.0000,165400.0000,160900.0000,2136755,3438039,1640946,1015,152,,,2136755,60.00,09/12/2018
11/12/2018,154618.5400,163000.0000,-0.79,164000.0000,164300.0000,165300.0000,163000.0000,2136755,3482911,1915612,1168,180,,,2136755,60.00,09/12/2018
10/12/2018,155851.6940,164300.0000,-0.90,165800.0000,165800.0000,164700.0000,163400.0000,2136755,3510688,470881,287,80,,,2136755,60.00,09/12/2018
09/12/2018,157274.5640,165800.0000,-0.24,166200.0000,166200.0000,166400.0000,164500.0000,2136755,3542740,685840,414,86,,,2136755,60.00,09/12/2018
06/12/2018,157653.9960,166200.0000,-2.18,169900.0000,169900.0000,168700.0000,166200.0000,2136755,3551287,3466423,2080,146,,,2136755,60.00,04/11/2018
05/12/2018,161163.7420,169900.0000,1.25,167800.0000,167800.0000,169900.0000,166200.0000,2136755,3630347,4431799,2623,228,,,2136755,60.00,04/11/2018
04/12/2018,159171.7240,167800.0000,-1.24,169900.0000,169900.0000,169300.0000,167600.0000,2136755,3585475,1290206,767,153,,,2136755,60.00,04/11/2018
03/12/2018,161163.7420,169900.0000,2.23,166200.0000,166200.0000,170000.0000,166200.0000,2136755,3630347,1189999,705,156,,,2136755,60.00,04/11/2018
02/12/2018,157653.9960,166200.0000,1.28,164100.0000,164100.0000,167600.0000,164100.0000,2136755,3551287,1222681,734,126,,,2136755,60.00,04/11/2018
29/11/2018,155661.9780,164100.0000,0.98,162500.0000,162500.0000,164300.0000,160800.0000,2136755,3506415,1901318,1165,164,,,2136755,60.00,04/11/2018
28/11/2018,154144.2500,162500.0000,-0.49,163300.0000,163300.0000,165300.0000,162500.0000,2136755,3472227,1012113,618,90,,,2136755,60.00,04/11/2018
27/11/2018,154903.1140,163300.0000,1.43,163000.0000,161000.0000,164700.0000,161700.0000,2136755,3489321,42330348,25922,275,,,2136755,60.00,04/11/2018
26/11/2018,152721.3800,161000.0000,-1.41,163300.0000,163300.0000,165900.0000,160800.0000,2136755,3440176,1446236,888,177,,,2136755,60.00,04/11/2018
25/11/2018,154903.1140,163300.0000,0.06,163200.0000,163200.0000,164000.0000,163100.0000,2136755,3489321,733524,449,82,,,2136755,60.00,04/11/2018
22/11/2018,154808.2560,163200.0000,-0.43,163900.0000,163900.0000,165400.0000,162200.0000,2136755,3487184,1328829,812,125,,,2136755,60.00,04/11/2018
21/11/2018,155472.2620,163900.0000,0.92,162400.0000,162400.0000,164000.0000,161300.0000,2136755,3502141,1096559,675,167,,,2136755,60.00,04/11/2018
20/11/2018,154049.3920,162400.0000,-0.25,165000.0000,162800.0000,165000.0000,161300.0000,2136755,3470090,1444435,893,160,,,2136755,60.00,04/11/2018
19/11/2018,154428.8240,162800.0000,-0.79,165100.0000,164100.0000,165100.0000,162200.0000,2136755,3478637,1232097,753,168,,,2136755,60.00,04/11/2018
