 Historical Data - End of Day BAZAN,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,173.1133,178.3000,1.31,178.0000,176.0000,179.8000,176.1000,3203836497,5712440,4382606,2453471,397,,,3203448371,60.00,09/12/2018
30/12/2018,170.8802,176.0000,1.03,174.3000,174.2000,178.0000,173.2000,3203836497,5638752,3537800,2011049,441,,,3203448371,60.00,09/12/2018
27/12/2018,169.1325,174.2000,-1.47,178.6000,176.8000,181.9000,174.1000,3203836497,5581083,14239878,8013408,676,,,3203448371,60.00,09/12/2018
26/12/2018,171.6569,176.8000,0.06,176.2000,176.7000,180.7000,176.2000,3203836497,5664383,4680000,2618616,439,,,3203448371,60.00,09/12/2018
25/12/2018,171.5598,176.7000,0.97,171.0000,175.0000,178.5000,168.6000,3203836497,5661179,8540266,4902576,873,,,3203448371,60.00,09/12/2018
24/12/2018,169.9093,175.0000,-2.45,182.9000,179.4000,183.0000,174.5000,3203836497,5606714,5418712,3061546,575,,,3203448371,60.00,09/12/2018
23/12/2018,174.1813,179.4000,-1.70,180.7000,182.5000,181.0000,174.0000,3203836497,5747683,10542956,5903905,818,,,3203448371,60.00,09/12/2018
20/12/2018,177.1911,182.5000,-0.27,182.4000,183.0000,183.2000,180.7000,3203836497,5847002,5508796,3023569,427,,,3203448371,60.00,09/12/2018
19/12/2018,177.6765,183.0000,1.67,181.4000,180.0000,183.0000,180.1000,3203836497,5863021,11442282,6280304,419,,,3203448371,60.00,09/12/2018
18/12/2018,174.7638,180.0000,0.00,180.0000,180.0000,180.0000,178.1000,3203643767,5766559,5164260,2882159,540,,,3203448371,60.00,09/12/2018
17/12/2018,174.7638,180.0000,-1.21,181.0000,182.2000,182.9000,177.0000,3203643767,5766559,9002199,5014264,781,,,3203448371,60.00,09/12/2018
16/12/2018,176.8998,182.2000,-1.51,182.3000,185.0000,183.8000,181.3000,3203643767,5837039,2295451,1260231,290,,,3203448371,60.00,09/12/2018
13/12/2018,179.6184,185.0000,-0.11,184.1000,185.2000,185.9000,183.2000,3203643767,5926741,6870166,3727699,535,,,3203448371,60.00,09/12/2018
12/12/2018,179.8125,185.2000,-0.32,186.9000,185.8000,186.9000,183.1000,3203643767,5933148,15956137,8627119,543,,,3203448371,60.00,09/12/2018
11/12/2018,180.3951,185.8000,0.43,185.1000,185.0000,186.9000,185.1000,3203643767,5952370,7575254,4075724,665,,,3203448371,60.00,09/12/2018
10/12/2018,179.6184,185.0000,1.43,182.4000,182.4000,187.5000,182.1000,3203643767,5926741,7027297,3806072,505,,,3203448371,60.00,09/12/2018
09/12/2018,177.0940,182.4000,1.05,180.0000,180.5000,182.8000,179.4000,3203643767,5843446,1674107,924082,226,,,3203448371,60.00,09/12/2018
06/12/2018,175.2493,180.5000,-2.27,183.0000,184.7000,183.8000,179.3000,3203643767,5782577,12174791,6719988,587,,,3203448371,60.00,04/11/2018
