 Historical Data - End of Day BEZEQ,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,365.0000,365.0000,-1.08,371.0000,369.0000,371.9000,363.5000,2765485753,10094023,18790680,5111494,1252,,,2765485753,80.00,09/12/2018
30/12/2018,369.0000,369.0000,-0.54,371.0000,371.0000,372.0000,366.3000,2765485753,10204642,15110145,4099004,1211,,,2765485753,80.00,09/12/2018
27/12/2018,371.0000,371.0000,0.22,376.0000,370.2000,378.0000,367.5000,2765485753,10259952,51898359,13903095,2168,,,2765485753,80.00,09/12/2018
26/12/2018,370.2000,370.2000,0.05,365.0000,370.0000,382.9000,365.0000,2765485753,10237828,23137200,6197445,1204,,,2765485753,80.00,09/12/2018
25/12/2018,370.0000,370.0000,2.81,358.0000,359.9000,373.0000,350.2000,2765485753,10232297,25022751,6914536,1609,,,2765485753,80.00,09/12/2018
24/12/2018,359.9000,359.9000,-1.40,365.0000,365.0000,369.0000,358.3000,2765485753,9952983,17333309,4780203,1422,,,2765485753,80.00,09/12/2018
23/12/2018,365.0000,365.0000,-1.08,365.0000,369.0000,369.0000,363.2000,2765485753,10094023,30329422,8299845,1818,,,2765485753,80.00,09/12/2018
20/12/2018,369.0000,369.0000,-2.12,370.0000,377.0000,373.6000,362.7000,2765485753,10204642,58132670,15769207,2453,,,2765485753,80.00,09/12/2018
19/12/2018,377.0000,377.0000,-2.76,388.0000,387.7000,388.8000,377.0000,2765485753,10425881,51929927,13685035,1466,,,2765485753,80.00,09/12/2018
18/12/2018,387.7000,387.7000,0.00,386.4000,387.7000,390.9000,384.0000,2765485753,10721788,25441419,6567380,1486,,,2765485753,80.00,09/12/2018
17/12/2018,387.7000,387.7000,-1.85,393.0000,395.0000,397.7000,387.7000,2765485753,10721788,48035695,12274576,1793,,,2765485753,80.00,09/12/2018
16/12/2018,395.0000,395.0000,-1.50,400.0000,401.0000,400.0000,394.8000,2765485753,10923669,15906144,4010659,597,,,2765485753,80.00,09/12/2018
13/12/2018,401.0000,401.0000,0.25,400.0000,400.0000,404.0000,400.0000,2765485753,11089598,44915422,11185154,1539,,,2765485753,80.00,09/12/2018
12/12/2018,400.0000,400.0000,0.00,402.7000,400.0000,402.9000,400.0000,2765485753,11061943,36183448,9028665,2102,,,2765485753,80.00,09/12/2018
11/12/2018,400.0000,400.0000,0.38,398.7000,398.5000,404.0000,398.7000,2765485753,11061943,54522772,13600854,2692,,,2765485753,80.00,09/12/2018
10/12/2018,398.5000,398.5000,-0.05,398.7000,398.7000,402.8000,396.1000,2765485753,11020461,53013951,13275272,2988,,,2765485753,80.00,09/12/2018
09/12/2018,398.7000,398.7000,0.89,397.0000,395.2000,399.8000,393.5000,2765485753,11025992,8266866,2081131,620,,,2765485753,80.00,09/12/2018
06/12/2018,395.2000,395.2000,-1.45,396.9000,401.0000,401.3000,393.3000,2765485753,10929200,59058971,14911003,2262,,,2765485753,80.00,04/11/2018
05/12/2018,401.0000,401.0000,-1.52,404.0000,407.2000,407.4000,400.5000,2765485753,11089598,93473977,23226091,3041,,,2765485753,80.00,04/11/2018
04/12/2018,407.2000,407.2000,-2.70,417.0000,418.5000,417.0000,405.0000,2765485753,11261058,30361067,7452068,2177,,,2765485753,80.00,04/11/2018
03/12/2018,418.5000,418.5000,-3.68,440.8000,434.5000,440.8000,415.3000,2765485753,11573558,33265207,7831031,2071,,,2765485753,80.00,04/11/2018
02/12/2018,434.5000,434.5000,1.52,430.0000,428.0000,434.5000,430.0000,2765485753,12016036,9605974,2223705,515,,,2765485753,80.00,04/11/2018
29/11/2018,428.0000,428.0000,-0.40,430.0000,429.7000,436.5000,428.0000,2765485753,11836279,100473587,23371243,1837,,,2765485753,80.00,04/11/2018
28/11/2018,429.7000,429.7000,-0.76,436.0000,433.0000,436.0000,429.5000,2765485753,11883292,11512431,2666214,821,,,2765485753,80.00,04/11/2018
27/11/2018,433.0000,433.0000,-1.59,440.6000,440.0000,444.2000,432.2000,2765485753,11974553,22470487,5135534,871,,,2765485753,80.00,04/11/2018
26/11/2018,440.0000,440.0000,2.83,428.0000,427.9000,440.0000,428.0000,2765485753,12168137,16411521,3765877,1256,,,2765485753,80.00,04/11/2018
