 Historical Data - End of Day BIG,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,20466.3920,20960.0000,0.24,20910.0000,20910.0000,21430.0000,20900.0000,13703555,2872265,7374565,35096,366,,,13703100,45.00,09/12/2018
30/12/2018,20417.5695,20910.0000,1.01,20700.0000,20700.0000,21100.0000,20700.0000,13703555,2865413,7002218,33522,198,,,13703100,45.00,09/12/2018
27/12/2018,20212.5150,20700.0000,0.98,21000.0000,20500.0000,21000.0000,20540.0000,13703555,2836636,13440995,64875,216,,,13703100,45.00,09/12/2018
26/12/2018,20017.2250,20500.0000,1.28,20240.0000,20240.0000,20820.0000,20240.0000,13703555,2809229,3814280,18571,319,,,13703100,45.00,09/12/2018
25/12/2018,19763.3480,20240.0000,0.40,20000.0000,20160.0000,20450.0000,19500.0000,13703100,2773507,6314258,31541,276,,,13703100,45.00,09/12/2018
24/12/2018,19685.2320,20160.0000,-1.99,20570.0000,20570.0000,20750.0000,20000.0000,13703100,2762545,3906495,19257,292,,,13703100,45.00,09/12/2018
23/12/2018,20085.5765,20570.0000,-3.97,21000.0000,21420.0000,21000.0000,20420.0000,13703100,2818728,3817804,18472,210,,,13703100,45.00,09/12/2018
20/12/2018,20915.5590,21420.0000,-1.70,21500.0000,21790.0000,21790.0000,21350.0000,13703100,2935204,12060534,56459,180,,,13703100,45.00,09/12/2018
19/12/2018,21276.8455,21790.0000,1.35,21480.0000,21500.0000,21830.0000,21450.0000,13703100,2985905,2124020,9777,213,,,13703100,45.00,09/12/2018
18/12/2018,20993.6750,21500.0000,-2.32,21970.0000,22010.0000,21970.0000,21340.0000,13703100,2946167,8867764,41158,291,,,13703100,45.00,09/12/2018
17/12/2018,21491.6645,22010.0000,-1.74,22220.0000,22400.0000,22340.0000,21810.0000,13703100,3016052,2637277,11905,285,,,13703100,45.00,09/12/2018
16/12/2018,21872.4800,22400.0000,-0.44,22460.0000,22500.0000,22550.0000,22260.0000,13703100,3069494,1991503,8874,210,,,13703100,45.00,09/12/2018
13/12/2018,21970.1250,22500.0000,-1.23,22780.0000,22780.0000,22800.0000,22470.0000,13703100,3083198,2794888,12406,191,,,13703100,45.00,09/12/2018
12/12/2018,22243.5310,22780.0000,-1.13,23040.0000,23040.0000,23200.0000,22780.0000,13703100,3121566,2150140,9383,174,,,13703100,45.00,09/12/2018
11/12/2018,22497.4080,23040.0000,-1.37,23490.0000,23360.0000,23530.0000,23010.0000,13703100,3157194,3840195,16639,315,,,13703100,45.00,09/12/2018
10/12/2018,22809.8720,23360.0000,-0.76,23540.0000,23540.0000,23500.0000,23160.0000,13703100,3201044,1027015,4406,156,,,13703100,45.00,09/12/2018
09/12/2018,22985.6330,23540.0000,2.35,23230.0000,23000.0000,23540.0000,22830.0000,13703100,3225710,1137832,4909,145,,,13703100,45.00,09/12/2018
