 Historical Data - End of Day DELEK DRILL L,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,923.6317,982.0000,1.77,974.1000,964.9000,985.0000,967.0000,1173814691,11526860,7967676,814903,639,EX DIVIDEND,0.98863,1173814691,45.00,09/12/2018
30/12/2018,907.5508,976.0000,-1.41,990.7000,990.0000,993.9000,969.0000,1173814691,11456431,22034782,2263957,1053,,,1173814691,45.00,09/12/2018
27/12/2018,920.5690,990.0000,-0.50,1045.0000,995.0000,1045.0000,978.5000,1173814691,11620765,29315304,2865709,1051,,,1173814691,45.00,09/12/2018
26/12/2018,925.2183,995.0000,-0.70,992.1000,1002.0000,1015.0000,992.1000,1173814691,11679456,5874873,587529,574,,,1173814691,45.00,09/12/2018
25/12/2018,931.7274,1002.0000,1.93,967.0000,983.0000,1005.0000,952.1000,1173814691,11761623,16648475,1702584,1334,,,1173814691,45.00,09/12/2018
24/12/2018,914.0599,983.0000,-1.70,1001.0000,1000.0000,1008.0000,967.2000,1173814691,11538598,7901162,799350,816,,,1173814691,45.00,09/12/2018
23/12/2018,929.8676,1000.0000,-1.96,1010.0000,1020.0000,1010.0000,975.3000,1173814691,11738147,11918802,1198352,1128,,,1173814691,45.00,09/12/2018
20/12/2018,948.4650,1020.0000,-2.86,1020.0000,1050.0000,1029.0000,1012.0000,1173814691,11972910,14135126,1386000,888,,,1173814691,45.00,09/12/2018
19/12/2018,976.3610,1050.0000,-1.04,1061.0000,1061.0000,1074.0000,1046.0000,1173814691,12325054,17053053,1620275,606,,,1173814691,45.00,09/12/2018
18/12/2018,986.5895,1061.0000,-2.30,1086.0000,1086.0000,1094.0000,1045.0000,1173814691,12454174,12895816,1216225,762,,,1173814691,45.00,09/12/2018
17/12/2018,1009.8363,1086.0000,-0.37,1090.0000,1090.0000,1090.0000,1072.0000,1173814691,12747628,4206441,389139,460,,,1173814691,45.00,09/12/2018
16/12/2018,1013.5557,1090.0000,-1.27,1090.0000,1104.0000,1093.0000,1076.0000,1173814691,12794580,2543881,234078,380,,,1173814691,45.00,09/12/2018
13/12/2018,1026.5739,1104.0000,-0.90,1103.0000,1114.0000,1120.0000,1090.0000,1173814691,12958914,8329513,754671,556,,,1173814691,45.00,09/12/2018
12/12/2018,1035.8726,1114.0000,1.74,1104.0000,1095.0000,1130.0000,1098.0000,1173814691,13076296,13513825,1212340,960,,,1173814691,45.00,09/12/2018
11/12/2018,1018.2051,1095.0000,1.58,1086.0000,1078.0000,1097.0000,1080.0000,1173814691,12853271,6790849,623329,726,,,1173814691,45.00,09/12/2018
10/12/2018,1002.3973,1078.0000,0.09,1077.0000,1077.0000,1085.0000,1072.0000,1173814691,12653722,3571500,331391,408,,,1173814691,45.00,09/12/2018
09/12/2018,1001.4674,1077.0000,0.75,1062.0000,1069.0000,1082.0000,1062.0000,1173814691,12641984,2826652,263015,305,,,1173814691,45.00,09/12/2018
06/12/2018,994.0285,1069.0000,-3.52,1090.0000,1108.0000,1093.0000,1067.0000,1173814691,12548079,15984077,1488041,654,,,1173814691,45.00,04/11/2018
05/12/2018,1030.2933,1108.0000,2.69,1074.0000,1079.0000,1108.0000,1071.0000,1173814691,13005867,22764089,2075593,1030,,,1173814691,45.00,04/11/2018
04/12/2018,1003.3271,1079.0000,-3.40,1111.0000,1117.0000,1113.0000,1076.0000,1173814691,12665461,10250624,939307,970,,,1173814691,45.00,04/11/2018
03/12/2018,1038.6621,1117.0000,-0.18,1126.0000,1119.0000,1136.0000,1116.0000,1173814691,13111510,5976222,532109,538,,,1173814691,45.00,04/11/2018
02/12/2018,1040.5219,1119.0000,0.81,1122.0000,1110.0000,1124.0000,1109.0000,1173814691,13134986,4078872,364619,393,,,1173814691,45.00,04/11/2018
29/11/2018,1032.1530,1110.0000,-0.89,1123.0000,1120.0000,1128.0000,1104.0000,1173814691,13029343,17784423,1588436,625,,,1173814691,45.00,04/11/2018
28/11/2018,1041.4517,1120.0000,2.75,1096.0000,1090.0000,1125.0000,1090.0000,1173814691,13146725,9266569,839220,650,,,1173814691,45.00,04/11/2018
27/11/2018,1013.5557,1090.0000,0.00,1090.0000,1090.0000,1090.0000,1083.0000,1173814691,12794580,5068951,466421,464,,,1173814691,45.00,04/11/2018
26/11/2018,1013.5557,1090.0000,0.46,1096.0000,1085.0000,1096.0000,1080.0000,1173814691,12794580,7138910,655604,575,,,1173814691,45.00,04/11/2018
25/11/2018,1008.9064,1085.0000,-0.55,1110.0000,1091.0000,1115.0000,1080.0000,1173814691,12735889,4998351,456884,454,,,1173814691,45.00,04/11/2018
22/11/2018,1014.4856,1091.0000,1.02,1084.0000,1080.0000,1096.0000,1076.0000,1173814691,12806318,9259014,851808,620,,,1173814691,45.00,04/11/2018
21/11/2018,1004.2570,1080.0000,0.56,1082.0000,1074.0000,1089.0000,1065.0000,1173814691,12677199,5229542,484936,517,,,1173814691,45.00,04/11/2018
20/11/2018,998.6778,1074.0000,0.37,1068.0000,1070.0000,1086.0000,1068.0000,1173814691,12606770,6766627,628938,677,,,1173814691,45.00,04/11/2018
19/11/2018,994.9583,1070.0000,-0.93,1077.0000,1080.0000,1090.0000,1065.0000,1173814691,12559817,7610826,707619,608,,,1173814691,45.00,04/11/2018
18/11/2018,1004.2570,1080.0000,-1.64,1097.0000,1098.0000,1113.0000,1074.0000,1173814691,12677199,6983373,638552,660,,,1173814691,45.00,04/11/2018
15/11/2018,1020.9946,1098.0000,4.17,1069.0000,1054.0000,1103.0000,1063.0000,1173814691,12888485,16676525,1539490,997,,,1173814691,45.00,04/11/2018
14/11/2018,980.0804,1054.0000,-0.75,1058.0000,1062.0000,1060.0000,1047.0000,1173814691,12372007,5768568,547645,505,,,1173814691,45.00,04/11/2018
13/11/2018,987.5194,1062.0000,-0.75,1067.0000,1070.0000,1075.0000,1062.0000,1173814691,12465912,3830866,359387,427,,,1173814691,45.00,04/11/2018
12/11/2018,994.9583,1070.0000,-1.38,1086.0000,1085.0000,1098.0000,1070.0000,1173814691,12559817,12043083,1109059,888,,,1173814691,45.00,04/11/2018
11/11/2018,1008.9064,1085.0000,1.88,1066.0000,1065.0000,1119.0000,1062.0000,1173814691,12735889,11457172,1052257,851,,,1173814691,45.00,04/11/2018
08/11/2018,990.3091,1065.0000,1.62,1045.0000,1048.0000,1080.0000,1040.0000,1173814691,12501126,14914552,1405489,1050,,,1173814691,45.00,04/11/2018
07/11/2018,974.5012,1048.0000,0.67,1048.0000,1041.0000,1054.0000,1042.0000,1173814691,12301578,8688436,828703,597,,,1173814691,45.00,04/11/2018
06/11/2018,967.9922,1041.0000,-0.38,1055.0000,1045.0000,1055.0000,1039.0000,1173814691,12219411,6573955,630514,642,,,1173814691,45.00,04/11/2018
05/11/2018,971.7117,1045.0000,-1.32,1051.0000,1059.0000,1065.0000,1045.0000,1173814691,12266364,8972386,851555,591,,,1173814691,45.00,04/11/2018
04/11/2018,984.7298,1059.0000,0.67,1052.0000,1052.0000,1068.0000,1047.0000,1173814691,12430698,2288279,216710,310,,,1173814691,45.00,04/11/2018
01/11/2018,978.2208,1052.0000,1.64,1035.0000,1035.0000,1052.0000,1035.0000,1173814691,12348531,10918644,1045458,512,,,1173814691,45.00,07/10/2018
31/10/2018,962.4130,1035.0000,-0.96,1050.0000,1045.0000,1057.0000,1030.0000,1173814691,12148982,7307187,701648,611,,,1173814691,45.00,07/10/2018
29/10/2018,971.7117,1045.0000,-1.60,1068.0000,1062.0000,1068.0000,1045.0000,1173814691,12266364,6538551,617869,578,,,1173814691,45.00,07/10/2018
28/10/2018,987.5194,1062.0000,1.63,1050.0000,1045.0000,1076.0000,1047.0000,1173814691,12465912,5870155,553160,454,,,1173814691,45.00,07/10/2018
25/10/2018,971.7117,1045.0000,0.00,1013.0000,1045.0000,1045.0000,1013.0000,1173814691,12266364,23716289,2322503,1089,,,1173814691,45.00,07/10/2018
24/10/2018,971.7117,1045.0000,-1.79,1069.0000,1064.0000,1073.0000,1044.0000,1173814691,12266364,11517866,1093992,853,,,1173814691,45.00,07/10/2018
23/10/2018,989.3791,1064.0000,-2.30,1073.0000,1089.0000,1076.0000,1062.0000,1173814691,12489388,8306726,776770,638,,,1173814691,45.00,07/10/2018
22/10/2018,1012.6259,1089.0000,1.11,1077.0000,1077.0000,1102.0000,1077.0000,1173814691,12782842,14001301,1278869,629,,,1173814691,45.00,07/10/2018
21/10/2018,1001.4674,1077.0000,0.00,1082.0000,1077.0000,1083.0000,1067.0000,1173814691,12641984,9610539,892792,420,,,1173814691,45.00,07/10/2018
18/10/2018,1001.4674,1077.0000,-0.09,1072.0000,1078.0000,1089.0000,1070.0000,1173814691,12641984,29886508,2771292,660,,,1173814691,45.00,07/10/2018
17/10/2018,1002.3973,1078.0000,-1.64,1099.0000,1096.0000,1100.0000,1075.0000,1173814691,12653722,11835668,1091619,877,,,1173814691,45.00,07/10/2018
16/10/2018,1019.1350,1096.0000,0.64,1089.0000,1089.0000,1104.0000,1083.0000,1173814691,12865009,7429629,678289,662,,,1173814691,45.00,07/10/2018
