 Historical Data - End of Day DELEK GROUP,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,51854.7208,53600.0000,0.37,53400.0000,53400.0000,54190.0000,53400.0000,11983595,6423207,11732622,21822,1043,,,11983595,45.00,09/12/2018
30/12/2018,51661.2330,53400.0000,-0.58,54080.0000,53710.0000,54530.0000,53000.0000,11983595,6399240,15000444,28125,1032,,,11983595,45.00,09/12/2018
27/12/2018,51961.1390,53710.0000,-0.67,56770.0000,54070.0000,57000.0000,53710.0000,11983595,6436389,34968398,63146,1706,,,11983595,45.00,09/12/2018
26/12/2018,52309.4170,54070.0000,-1.64,54970.0000,54970.0000,54970.0000,53810.0000,11983595,6479530,29233242,53735,1592,,,11983595,45.00,09/12/2018
25/12/2018,53180.1119,54970.0000,-0.05,54170.0000,55000.0000,55390.0000,52760.0000,11983595,6587382,51740756,95253,1667,,,11983595,45.00,09/12/2018
24/12/2018,53209.1351,55000.0000,-3.17,57150.0000,56800.0000,57500.0000,55000.0000,11983595,6590977,18519900,33049,1159,,,11983595,45.00,09/12/2018
23/12/2018,54950.5250,56800.0000,-3.47,57000.0000,58840.0000,57500.0000,55020.0000,11983595,6806682,34460955,61688,1857,,,11983595,45.00,09/12/2018
20/12/2018,56924.1002,58840.0000,-4.29,59700.0000,61480.0000,59840.0000,57600.0000,11983595,7051147,24909672,42302,1416,,,11983595,45.00,09/12/2018
19/12/2018,59478.1387,61480.0000,-1.00,61560.0000,62100.0000,62870.0000,61030.0000,11983595,7367514,12760429,20750,796,,,11983595,45.00,09/12/2018
18/12/2018,60077.9507,62100.0000,-2.88,63440.0000,63940.0000,63660.0000,61300.0000,11983595,7441813,15029768,24167,1055,,,11983595,45.00,09/12/2018
17/12/2018,61858.0382,63940.0000,-1.08,64500.0000,64640.0000,64500.0000,63510.0000,11983595,7662311,7170874,11208,722,,,11983595,45.00,09/12/2018
16/12/2018,62535.2453,64640.0000,-3.04,66090.0000,66670.0000,66090.0000,64520.0000,11983595,7746196,6984544,10743,619,,,11983595,45.00,09/12/2018
13/12/2018,64499.1461,66670.0000,-1.23,67950.0000,67500.0000,67950.0000,66350.0000,11983595,7989463,12614096,18769,902,,,11983595,45.00,09/12/2018
12/12/2018,65302.1204,67500.0000,2.74,66180.0000,65700.0000,67770.0000,65870.0000,11983595,8088927,14108493,20920,1080,EX DIVIDEND,0.98133,11983595,45.00,09/12/2018
11/12/2018,63560.7726,66950.0000,2.15,65600.0000,65540.0000,67110.0000,65600.0000,11983595,8023017,8794673,13225,803,,,11983595,45.00,09/12/2018
10/12/2018,62222.1514,65540.0000,-0.61,65780.0000,65940.0000,66340.0000,65040.0000,11983595,7854048,8200145,12512,688,,,11983595,45.00,09/12/2018
09/12/2018,62601.9020,65940.0000,0.00,65650.0000,65940.0000,66360.0000,65300.0000,11983595,7901983,3893816,5906,359,,,11983595,45.00,09/12/2018
06/12/2018,62601.9020,65940.0000,-2.74,67020.0000,67800.0000,67690.0000,65800.0000,11983595,7901983,59273642,89711,1184,,,11983595,35.00,04/11/2018
05/12/2018,64367.7428,67800.0000,0.97,66550.0000,67150.0000,67800.0000,66550.0000,11983595,8124877,25613552,37981,1355,,,11983595,35.00,04/11/2018
04/12/2018,63750.6479,67150.0000,-0.37,67400.0000,67400.0000,67590.0000,66600.0000,11983595,8046984,12685348,18880,1028,,,11983595,35.00,04/11/2018
03/12/2018,63987.9921,67400.0000,1.06,67090.0000,66690.0000,67690.0000,67090.0000,11983595,8076943,12764453,18910,1037,,,11983595,35.00,04/11/2018
02/12/2018,63313.9346,66690.0000,1.26,66610.0000,65860.0000,66950.0000,66300.0000,11983595,7991860,6624863,9939,597,,,11983595,35.00,04/11/2018
29/11/2018,62525.9519,65860.0000,0.87,64800.0000,65290.0000,66190.0000,64780.0000,11983595,7892396,22303776,34017,1309,,,11983595,35.00,04/11/2018
28/11/2018,61984.8072,65290.0000,3.41,63460.0000,63140.0000,65300.0000,63400.0000,11983595,7824089,15851569,24555,1109,,,11983595,35.00,04/11/2018
27/11/2018,59943.6472,63140.0000,0.43,63000.0000,62870.0000,63630.0000,62850.0000,11983595,7566442,8936240,14128,815,,,11983595,35.00,04/11/2018
26/11/2018,59687.3155,62870.0000,-0.36,63600.0000,63100.0000,63600.0000,62580.0000,11983595,7534086,12643825,20048,718,,,11983595,35.00,04/11/2018
25/11/2018,59905.6721,63100.0000,-2.19,65270.0000,64510.0000,65270.0000,62900.0000,11983595,7561648,8070744,12612,641,,,11983595,35.00,04/11/2018
22/11/2018,61244.2934,64510.0000,0.37,64270.0000,64270.0000,65180.0000,64000.0000,11983595,7730617,5833368,9043,512,,,11983595,35.00,04/11/2018
21/11/2018,61016.4429,64270.0000,-1.15,65020.0000,65020.0000,65500.0000,64120.0000,11983595,7701857,6342528,9826,642,,,11983595,35.00,04/11/2018
20/11/2018,61728.4754,65020.0000,-1.22,65890.0000,65820.0000,65900.0000,65000.0000,11983595,7791733,7824846,11971,695,,,11983595,35.00,04/11/2018
19/11/2018,62487.9769,65820.0000,-1.30,66440.0000,66690.0000,67140.0000,65820.0000,11983595,7887602,5257970,7932,564,,,11983595,35.00,04/11/2018
18/11/2018,63313.9346,66690.0000,-0.67,67240.0000,67140.0000,67600.0000,66330.0000,11983595,7991860,5501437,8212,495,,,11983595,35.00,04/11/2018
15/11/2018,63741.1542,67140.0000,2.58,65600.0000,65450.0000,67230.0000,65600.0000,11983595,8045786,13454675,20214,957,,,11983595,35.00,04/11/2018
14/11/2018,62136.7075,65450.0000,-2.53,67000.0000,67150.0000,67000.0000,65130.0000,11983595,7843263,16107280,24533,1174,,,11983595,35.00,04/11/2018
13/11/2018,63750.6479,67150.0000,0.00,67150.0000,67150.0000,67630.0000,66520.0000,11983595,8046984,11301018,16838,880,,,11983595,35.00,04/11/2018
12/11/2018,63750.6479,67150.0000,0.66,67100.0000,66710.0000,68870.0000,66500.0000,11983595,8046984,25493734,37657,1693,,,11983595,35.00,04/11/2018
11/11/2018,63332.9221,66710.0000,3.01,64760.0000,64760.0000,66970.0000,64500.0000,11983595,7994256,21285898,32112,1302,,,11983595,35.00,04/11/2018
08/11/2018,61481.6375,64760.0000,1.19,63680.0000,64000.0000,64900.0000,63040.0000,11983595,7760576,15908441,24712,1206,,,11983595,35.00,04/11/2018
