 Historical Data - End of Day DISCOUNT,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,1138.7109,1156.0000,-0.86,1180.0000,1166.0000,1180.0000,1155.0000,1164016993,13456036,26741323,2288654,1342,,,1164016993,100.00,09/12/2018
30/12/2018,1148.5614,1166.0000,0.34,1165.0000,1162.0000,1177.0000,1155.0000,1164016993,13572438,17722502,1520605,1099,,,1164016993,100.00,09/12/2018
27/12/2018,1144.6211,1162.0000,-0.94,1190.0000,1173.0000,1198.0000,1158.0000,1164016993,13525877,81477358,6895182,2208,,,1164016993,100.00,09/12/2018
26/12/2018,1155.4567,1173.0000,-1.26,1182.0000,1188.0000,1207.0000,1172.0000,1164016993,13653919,28356297,2376295,1614,,,1164016993,100.00,09/12/2018
25/12/2018,1170.2324,1188.0000,3.30,1130.0000,1150.0000,1195.0000,1096.0000,1164016993,13828522,81682805,7176407,2874,,,1164016993,100.00,09/12/2018
24/12/2018,1132.8007,1150.0000,-4.17,1203.0000,1200.0000,1210.0000,1128.0000,1164016993,13386195,129437908,11301156,3158,,,1164016993,100.00,09/12/2018
23/12/2018,1182.0528,1200.0000,-3.46,1202.0000,1243.0000,1218.0000,1173.0000,1164016993,13968204,58392369,4870686,2159,,,1164016993,100.00,09/12/2018
20/12/2018,1224.4097,1243.0000,-1.58,1244.0000,1263.0000,1252.0000,1234.0000,1164016993,14468731,54419364,4382759,1568,,,1164016993,100.00,09/12/2018
19/12/2018,1244.1107,1263.0000,2.10,1242.0000,1237.0000,1265.0000,1242.0000,1164016993,14701535,48451182,3843773,1374,,,1164016993,100.00,09/12/2018
18/12/2018,1218.4995,1237.0000,0.00,1244.0000,1237.0000,1244.0000,1229.0000,1164016993,14398890,20114616,1628732,1106,,,1164016993,100.00,09/12/2018
17/12/2018,1218.4995,1237.0000,1.06,1225.0000,1224.0000,1244.0000,1225.0000,1164016993,14398890,38215574,3092862,1773,,,1164016993,100.00,09/12/2018
16/12/2018,1205.6940,1224.0000,-2.63,1250.0000,1257.0000,1251.0000,1223.0000,1164016993,14247568,13057650,1056470,756,,,1164016993,100.00,09/12/2018
13/12/2018,1238.2003,1257.0000,0.56,1251.0000,1250.0000,1268.0000,1251.0000,1164016993,14631694,36614957,2912709,1415,,,1164016993,100.00,09/12/2018
12/12/2018,1231.3050,1250.0000,-0.48,1263.0000,1256.0000,1273.0000,1249.0000,1164016993,14550212,33800239,2683493,1492,,,1164016993,100.00,09/12/2018
11/12/2018,1237.2153,1256.0000,-1.10,1274.0000,1270.0000,1279.0000,1253.0000,1164016993,14620053,40708059,3217800,1695,,,1164016993,100.00,09/12/2018
10/12/2018,1251.0059,1270.0000,0.00,1271.0000,1270.0000,1276.0000,1254.0000,1164016993,14783016,34552230,2733047,1370,,,1164016993,100.00,09/12/2018
09/12/2018,1251.0059,1270.0000,-0.16,1263.0000,1272.0000,1273.0000,1263.0000,1164016993,14783016,11953214,942288,608,,,1164016993,100.00,09/12/2018
06/12/2018,1252.9760,1272.0000,-1.40,1273.0000,1290.0000,1282.0000,1265.0000,1164016993,14806296,65071492,5114589,1482,,,1164016993,100.00,04/11/2018
05/12/2018,1270.7069,1290.0000,0.16,1278.0000,1288.0000,1297.0000,1276.0000,1164016993,15015819,73049903,5675128,2481,,,1164016993,100.00,04/11/2018
04/12/2018,1268.7368,1288.0000,-1.30,1304.0000,1305.0000,1304.0000,1288.0000,1164016993,14992539,36587721,2826568,1817,,,1164016993,100.00,04/11/2018
03/12/2018,1285.4825,1305.0000,0.38,1319.0000,1300.0000,1319.0000,1302.0000,1164016993,15190422,29599886,2260177,1474,,,1164016993,100.00,04/11/2018
02/12/2018,1280.5573,1300.0000,1.17,1291.0000,1285.0000,1303.0000,1289.0000,1164016993,15132221,15519581,1197221,891,,,1164016993,100.00,04/11/2018
29/11/2018,1265.7817,1285.0000,-0.70,1286.0000,1294.0000,1290.0000,1283.0000,1164016993,14957618,69303655,5388169,1314,,,1164016993,100.00,04/11/2018
28/11/2018,1274.6470,1294.0000,0.54,1298.0000,1287.0000,1298.0000,1284.0000,1164016993,15062380,34775479,2696602,1457,,,1164016993,100.00,04/11/2018
27/11/2018,1267.7517,1287.0000,1.42,1282.0000,1269.0000,1300.0000,1276.0000,1164016993,14980899,58353567,4531405,1908,,,1164016993,100.00,04/11/2018
26/11/2018,1250.0209,1269.0000,2.67,1245.0000,1236.0000,1272.0000,1241.0000,1164016993,14771376,41994087,3333691,1637,,,1164016993,100.00,04/11/2018
25/11/2018,1217.5145,1236.0000,-0.80,1240.0000,1246.0000,1248.0000,1227.0000,1164016993,14387250,10278628,829507,614,EX DIVIDEND,0.99680,1164016993,100.00,04/11/2018
22/11/2018,1227.3649,1250.0000,-0.40,1255.0000,1255.0000,1259.0000,1247.0000,1164016993,14550212,18813416,1499878,782,,,1164016993,100.00,04/11/2018
21/11/2018,1232.2743,1255.0000,0.48,1259.0000,1249.0000,1261.0000,1248.0000,1164016993,14608413,50981250,4062042,1632,,,1164016993,100.00,04/11/2018
20/11/2018,1226.3829,1249.0000,-2.65,1264.0000,1283.0000,1275.0000,1241.0000,1164016993,14538572,46005310,3658401,2248,,,1164016993,100.00,04/11/2018
19/11/2018,1259.7674,1283.0000,-1.23,1300.0000,1299.0000,1313.0000,1283.0000,1164016993,14934338,49212548,3791562,1687,,,1164016993,100.00,04/11/2018
18/11/2018,1275.4776,1299.0000,0.54,1298.0000,1292.0000,1304.0000,1294.0000,1164016993,15120581,8219584,632440,689,,,1164016993,100.00,04/11/2018
15/11/2018,1268.6044,1292.0000,0.62,1317.0000,1284.0000,1320.0000,1292.0000,1164016993,15039100,70693362,5403435,2250,,,1164016993,100.00,04/11/2018
14/11/2018,1260.7492,1284.0000,-0.93,1300.0000,1296.0000,1302.0000,1283.0000,1164016993,14945978,48909206,3777438,1935,,,1164016993,100.00,04/11/2018
13/11/2018,1272.5319,1296.0000,0.31,1300.0000,1292.0000,1307.0000,1290.0000,1164016993,15085660,36895043,2841249,1771,,,1164016993,100.00,04/11/2018
12/11/2018,1268.6044,1292.0000,-1.30,1313.0000,1309.0000,1326.0000,1292.0000,1164016993,15039100,56737335,4322250,2372,,,1164016993,100.00,04/11/2018
11/11/2018,1285.2964,1309.0000,1.00,1296.0000,1296.0000,1309.0000,1292.0000,1164016993,15236982,14452511,1109278,808,,,1164016993,100.00,04/11/2018
08/11/2018,1272.5319,1296.0000,0.62,1280.0000,1288.0000,1300.0000,1272.0000,1164016993,15085660,49416100,3835323,2043,,,1164016993,100.00,04/11/2018
07/11/2018,1264.6769,1288.0000,2.30,1260.0000,1259.0000,1288.0000,1260.0000,1164016993,14992539,43119649,3364324,1809,,,1164016993,100.00,04/11/2018
06/11/2018,1236.2019,1259.0000,1.53,1245.0000,1240.0000,1265.0000,1242.0000,1164016993,14654974,33533715,2667226,1697,,,1164016993,100.00,04/11/2018
05/11/2018,1217.5460,1240.0000,0.08,1238.0000,1239.0000,1243.0000,1233.0000,1164016993,14433811,19671359,1589058,1065,,,1164016993,100.00,04/11/2018
04/11/2018,1216.5641,1239.0000,-0.08,1236.0000,1240.0000,1239.0000,1228.0000,1164016993,14422171,8369310,678659,487,,,1164016993,100.00,04/11/2018
01/11/2018,1217.5460,1240.0000,1.89,1223.0000,1217.0000,1240.0000,1221.0000,1164016993,14433811,49548476,4016582,1108,,,1164016993,100.00,07/10/2018
31/10/2018,1194.9625,1217.0000,1.33,1214.0000,1201.0000,1218.0000,1205.0000,1164016993,14166087,52146249,4301241,1587,,,1164016993,100.00,07/10/2018
29/10/2018,1179.2522,1201.0000,-0.33,1205.0000,1205.0000,1221.0000,1201.0000,1164016993,13979844,29433195,2423710,908,,,1164016993,100.00,07/10/2018
28/10/2018,1183.1798,1205.0000,0.84,1199.0000,1195.0000,1223.0000,1193.0000,1164016993,14026405,15469786,1284641,701,,,1164016993,100.00,07/10/2018
25/10/2018,1173.3608,1195.0000,-2.53,1198.0000,1226.0000,1210.0000,1193.0000,1164016993,13910003,80746462,6731877,1924,,,1164016993,100.00,07/10/2018
24/10/2018,1203.7995,1226.0000,-0.73,1239.0000,1235.0000,1244.0000,1221.0000,1164016993,14270848,31068224,2521698,1525,,,1164016993,100.00,07/10/2018
23/10/2018,1212.6364,1235.0000,-2.14,1244.0000,1262.0000,1253.0000,1235.0000,1164016993,14375610,52982465,4259099,2182,,,1164016993,100.00,07/10/2018
22/10/2018,1239.1476,1262.0000,1.28,1259.0000,1246.0000,1275.0000,1253.0000,1164016993,14689894,30186174,2387336,1373,,,1164016993,100.00,07/10/2018
21/10/2018,1223.4374,1246.0000,-0.88,1261.0000,1257.0000,1262.0000,1243.0000,1164016993,14503652,10720729,857616,589,,,1164016993,100.00,07/10/2018
18/10/2018,1234.2382,1257.0000,2.44,1224.0000,1227.0000,1262.0000,1220.0000,1164016993,14631694,64209641,5157494,1881,,,1164016993,100.00,07/10/2018
17/10/2018,1204.7814,1227.0000,0.57,1220.0000,1220.0000,1232.0000,1209.0000,1164016993,14282489,36490248,2987690,1842,,,1164016993,100.00,07/10/2018
16/10/2018,1197.9081,1220.0000,0.00,1220.0000,1220.0000,1226.0000,1211.0000,1164016993,14201007,29599314,2428260,1478,,,1164016993,100.00,07/10/2018
15/10/2018,1197.9081,1220.0000,0.08,1216.0000,1219.0000,1230.0000,1210.0000,1164016993,14201007,37244907,3054430,1838,,,1164016993,100.00,07/10/2018
14/10/2018,1196.9263,1219.0000,0.33,1228.0000,1215.0000,1234.0000,1218.0000,1164016993,14189367,8129385,664177,570,,,1164016993,100.00,07/10/2018
11/10/2018,1192.9986,1215.0000,-1.06,1203.0000,1228.0000,1225.0000,1189.0000,1164016993,14142806,52381584,4344980,2282,,,1164016993,100.00,07/10/2018
10/10/2018,1205.7633,1228.0000,-0.97,1241.0000,1240.0000,1253.0000,1225.0000,1164016993,14294129,58043697,4662600,2021,,,1164016993,100.00,07/10/2018
09/10/2018,1217.5460,1240.0000,0.98,1223.0000,1228.0000,1242.0000,1223.0000,1164016993,14433811,37946004,3069527,1894,,,1164016993,100.00,07/10/2018
08/10/2018,1205.7633,1228.0000,0.00,1235.0000,1228.0000,1239.0000,1223.0000,1164016993,14294129,30150410,2451189,1397,,,1164016993,100.00,07/10/2018
07/10/2018,1205.7633,1228.0000,-0.24,1231.0000,1231.0000,1235.0000,1220.0000,1164016993,14294129,6441600,524863,435,,,1164016993,100.00,07/10/2018
04/10/2018,1208.7090,1231.0000,-1.12,1233.0000,1245.0000,1245.0000,1231.0000,1164016993,14329049,78651478,6365851,1781,,,1164016993,100.00,12/09/2018
03/10/2018,1222.4555,1245.0000,0.57,1240.0000,1238.0000,1249.0000,1230.0000,1164016993,14492012,94761967,7656017,2274,,,1164016993,100.00,12/09/2018
02/10/2018,1215.5823,1238.0000,2.06,1244.0000,1213.0000,1244.0000,1226.0000,1164016993,14410530,57795680,4673593,2652,,,1164016993,100.00,12/09/2018
27/09/2018,1191.0349,1213.0000,-1.86,1208.0000,1236.0000,1221.0000,1208.0000,1164016993,14119526,101922528,8409755,2214,,,1164016993,100.00,12/09/2018
26/09/2018,1213.6184,1236.0000,-0.80,1246.0000,1246.0000,1251.0000,1236.0000,1164016993,14387250,23613519,1899995,1232,,,1164016993,100.00,12/09/2018
25/09/2018,1223.4374,1246.0000,-1.11,1266.0000,1260.0000,1270.0000,1246.0000,1164016993,14503652,36217871,2879439,1956,,,1164016993,100.00,12/09/2018
20/09/2018,1237.1838,1260.0000,0.40,1265.0000,1255.0000,1288.0000,1260.0000,1164016993,14666614,74478951,5856970,2849,,,1164016993,100.00,12/09/2018
17/09/2018,1232.2743,1255.0000,-1.95,1275.0000,1280.0000,1284.0000,1255.0000,1164016993,14608413,38899114,3075542,2034,,,1164016993,100.00,12/09/2018
16/09/2018,1256.8216,1280.0000,0.31,1285.0000,1276.0000,1290.0000,1276.0000,1164016993,14899418,23663643,1846708,1099,,,1164016993,100.00,12/09/2018
13/09/2018,1252.8941,1276.0000,-2.22,1305.0000,1305.0000,1306.0000,1272.0000,1164016993,14852857,57595230,4474250,2390,,,1164016993,100.00,12/09/2018
12/09/2018,1281.3689,1305.0000,3.33,1285.0000,1263.0000,1313.0000,1278.0000,1164016993,15190422,62222052,4788732,2459,,,1164016993,100.00,12/09/2018
06/09/2018,1240.1295,1263.0000,1.04,1243.0000,1250.0000,1269.0000,1243.0000,1164016993,14701535,88010313,6985690,1756,,,1164016993,100.00,05/08/2018
05/09/2018,1227.3649,1250.0000,-1.65,1271.0000,1271.0000,1271.0000,1247.0000,1164016993,14550212,32832000,2609239,1655,,,1164016993,100.00,05/08/2018
04/09/2018,1247.9846,1271.0000,0.24,1273.0000,1268.0000,1276.0000,1253.0000,1164016993,14794656,32512047,2569592,1445,,,1164016993,100.00,05/08/2018
03/09/2018,1245.0390,1268.0000,-1.09,1282.0000,1282.0000,1284.0000,1268.0000,1164016993,14759735,32405609,2543292,1643,,,1164016993,100.00,05/08/2018
02/09/2018,1258.7854,1282.0000,1.75,1262.0000,1260.0000,1282.0000,1260.0000,1164016993,14922698,15017122,1180390,963,,,1164016993,100.00,05/08/2018
30/08/2018,1237.1838,1260.0000,0.56,1257.0000,1253.0000,1264.0000,1247.0000,1164016993,14666614,52554108,4181752,1377,,,1164016993,100.00,05/08/2018
29/08/2018,1230.3106,1253.0000,1.13,1240.0000,1239.0000,1253.0000,1238.0000,1164016993,14585133,21255906,1705961,1275,,,1164016993,100.00,05/08/2018
28/08/2018,1216.5641,1239.0000,0.73,1230.0000,1230.0000,1244.0000,1214.0000,1164016993,14422171,30609650,2490952,1743,,,1164016993,100.00,05/08/2018
27/08/2018,1207.7270,1230.0000,2.76,1201.0000,1197.0000,1230.0000,1192.0000,1164016993,14317409,24553798,2025843,1332,,,1164016993,100.00,05/08/2018
26/08/2018,1175.3246,1197.0000,-0.50,1218.0000,1203.0000,1223.0000,1188.0000,1164016993,13933283,14344599,1193099,865,,,1164016993,100.00,05/08/2018
23/08/2018,1181.2161,1203.0000,0.59,1210.0000,1196.0000,1211.0000,1181.0000,1164016993,14003124,31158424,2603091,1599,EX DIVIDEND,0.99667,1164016993,100.00,05/08/2018
22/08/2018,1174.3468,1200.0000,-0.25,1206.0000,1203.0000,1215.0000,1193.0000,1164016993,13968204,17007081,1411817,1077,,,1164016993,100.00,05/08/2018
21/08/2018,1177.2825,1203.0000,-0.41,1209.0000,1208.0000,1224.0000,1198.0000,1164016993,14003124,24250922,1999535,1536,,,1164016993,100.00,05/08/2018
20/08/2018,1182.1757,1208.0000,1.00,1197.0000,1196.0000,1216.0000,1190.0000,1164016993,14061325,27414860,2271150,1148,,,1164016993,100.00,05/08/2018
19/08/2018,1170.4321,1196.0000,0.59,1196.0000,1189.0000,1196.0000,1182.0000,1164016993,13921643,8858390,744164,612,,,1164016993,100.00,05/08/2018
16/08/2018,1163.5819,1189.0000,1.28,1180.0000,1174.0000,1191.0000,1179.0000,1164016993,13840162,24236166,2043905,1120,,,1164016993,100.00,05/08/2018
15/08/2018,1148.9024,1174.0000,-0.17,1209.0000,1176.0000,1217.0000,1168.0000,1164016993,13665560,47320499,3972710,2146,,,1164016993,100.00,05/08/2018
14/08/2018,1150.8597,1176.0000,1.38,1166.0000,1160.0000,1184.0000,1165.0000,1164016993,13688840,16469328,1399479,1141,,,1164016993,100.00,05/08/2018
13/08/2018,1135.2018,1160.0000,-1.28,1169.0000,1175.0000,1170.0000,1153.0000,1164016993,13502597,14253053,1228347,948,,,1164016993,100.00,05/08/2018
12/08/2018,1149.8811,1175.0000,0.17,1169.0000,1173.0000,1183.0000,1165.0000,1164016993,13677200,6439060,548260,527,,,1164016993,100.00,05/08/2018
09/08/2018,1147.9238,1173.0000,1.12,1158.0000,1160.0000,1180.0000,1155.0000,1164016993,13653919,30019999,2567774,1374,,,1164016993,100.00,05/08/2018
08/08/2018,1135.2018,1160.0000,0.96,1155.0000,1149.0000,1160.0000,1145.0000,1164016993,13502597,19857373,1718070,1065,,,1164016993,100.00,05/08/2018
07/08/2018,1124.4369,1149.0000,-0.61,1165.0000,1156.0000,1165.0000,1148.0000,1164016993,13374555,18500369,1601593,1170,,,1164016993,100.00,05/08/2018
06/08/2018,1131.2873,1156.0000,-0.26,1160.0000,1159.0000,1161.0000,1150.0000,1164016993,13456036,14275375,1236518,963,,,1164016993,100.00,05/08/2018
05/08/2018,1134.2232,1159.0000,1.76,1150.0000,1139.0000,1165.0000,1148.0000,1164016993,13490957,14145570,1222066,1255,,,1164016993,100.00,05/08/2018
02/08/2018,1114.6507,1139.0000,-0.26,1142.0000,1142.0000,1147.0000,1130.0000,1164016993,13258154,37456667,3288621,1110,,,1164016993,100.00,08/07/2018
01/08/2018,1117.5865,1142.0000,-1.55,1160.0000,1160.0000,1160.0000,1130.0000,1164016993,13293074,33630112,2946630,1803,,,1164016993,100.00,08/07/2018
31/07/2018,1135.2018,1160.0000,0.00,1160.0000,1160.0000,1169.0000,1158.0000,1164016993,13502597,25452031,2186739,1341,,,1164016993,100.00,08/07/2018
30/07/2018,1135.2018,1160.0000,0.35,1152.0000,1156.0000,1164.0000,1148.0000,1164016993,13502597,26068661,2250167,1379,,,1164016993,100.00,08/07/2018
29/07/2018,1131.2873,1156.0000,0.35,1153.0000,1152.0000,1162.0000,1152.0000,1164016993,13456036,11118633,960777,581,,,1164016993,100.00,08/07/2018
26/07/2018,1127.3728,1152.0000,1.05,1138.0000,1140.0000,1156.0000,1137.0000,1164016993,13409476,46769347,4089421,1413,,,1164016993,100.00,08/07/2018
25/07/2018,1115.6293,1140.0000,1.60,1126.0000,1122.0000,1140.0000,1125.0000,1164016993,13269794,19685593,1737709,1160,,,1164016993,100.00,08/07/2018
24/07/2018,1098.0141,1122.0000,0.54,1120.0000,1116.0000,1130.0000,1119.0000,1164016993,13060271,25695474,2284680,1160,,,1164016993,100.00,08/07/2018
23/07/2018,1092.1424,1116.0000,0.09,1119.0000,1115.0000,1119.0000,1107.0000,1164016993,12990430,14532499,1304098,838,,,1164016993,100.00,08/07/2018
19/07/2018,1091.1638,1115.0000,0.18,1110.0000,1113.0000,1119.0000,1110.0000,1164016993,12978789,18086863,1622419,824,,,1164016993,100.00,08/07/2018
18/07/2018,1089.2065,1113.0000,0.45,1112.0000,1108.0000,1118.0000,1107.0000,1164016993,12955509,19977782,1793576,1438,,,1164016993,100.00,08/07/2018
17/07/2018,1084.3135,1108.0000,-0.45,1117.0000,1113.0000,1119.0000,1103.0000,1164016993,12897308,16791071,1509499,967,,,1164016993,100.00,08/07/2018
16/07/2018,1089.2065,1113.0000,0.00,1111.0000,1113.0000,1113.0000,1103.0000,1164016993,12955509,14918102,1344891,919,,,1164016993,100.00,08/07/2018
15/07/2018,1089.2065,1113.0000,0.09,1118.0000,1112.0000,1120.0000,1104.0000,1164016993,12955509,10206564,917667,678,,,1164016993,100.00,08/07/2018
