 Historical Data - End of Day ELBIT SYSTEMS,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,42374.1179,42880.0000,-0.51,43100.0000,43100.0000,43450.0000,42800.0000,42753182,18332564,13164322,30581,965,,,42753182,60.00,09/12/2018
30/12/2018,42591.5223,43100.0000,1.03,43190.0000,42660.0000,43560.0000,42750.0000,42753182,18426621,15247930,35369,965,,,42753182,60.00,09/12/2018
27/12/2018,42156.7134,42660.0000,-0.79,43580.0000,43000.0000,43580.0000,42380.0000,42753182,18238507,92564166,215872,1923,,,42753182,60.00,09/12/2018
26/12/2018,42492.7022,43000.0000,-1.15,43490.0000,43500.0000,43960.0000,43000.0000,42753182,18383868,21172330,48681,1310,,,42753182,60.00,09/12/2018
25/12/2018,42986.8033,43500.0000,2.26,41800.0000,42540.0000,43500.0000,40600.0000,42753182,18597634,33244754,78692,1939,,,42753182,60.00,09/12/2018
24/12/2018,42038.1291,42540.0000,-3.32,44030.0000,44000.0000,44190.0000,42200.0000,42753182,18187204,48449827,112446,2521,,,42753182,60.00,09/12/2018
23/12/2018,43480.9046,44000.0000,-3.28,44890.0000,45490.0000,44980.0000,43270.0000,42753182,18811400,38767497,88451,2121,,,42753182,60.00,09/12/2018
20/12/2018,44953.3261,45490.0000,-3.25,46390.0000,47020.0000,46510.0000,45300.0000,42753182,19448422,44127105,96014,1514,,,42753182,60.00,09/12/2018
19/12/2018,46465.2757,47020.0000,1.23,46850.0000,46450.0000,47100.0000,46320.0000,42753182,20102546,41554930,88626,1274,,,42753182,60.00,09/12/2018
18/12/2018,45902.0004,46450.0000,0.00,46110.0000,46450.0000,46450.0000,45690.0000,42753182,19858853,44546734,96650,2985,,,42753182,60.00,09/12/2018
17/12/2018,45902.0004,46450.0000,0.41,46010.0000,46260.0000,46980.0000,46010.0000,42753182,19858853,19010410,40936,1254,,,42753182,60.00,09/12/2018
16/12/2018,45714.2419,46260.0000,-1.57,46250.0000,47000.0000,46360.0000,46070.0000,42753182,19777622,6273359,13571,468,,,42753182,60.00,09/12/2018
13/12/2018,46445.5116,47000.0000,-0.49,47000.0000,47230.0000,47250.0000,46850.0000,42753182,20093996,56347899,120014,1218,,,42753182,60.00,09/12/2018
12/12/2018,46672.7982,47230.0000,0.70,47300.0000,46900.0000,47500.0000,46720.0000,42753182,20192328,27206645,57715,1339,,,42753182,60.00,09/12/2018
11/12/2018,46346.6915,46900.0000,2.76,46170.0000,45640.0000,47360.0000,45820.0000,42753182,20051242,46678909,99540,1871,,,42753182,60.00,09/12/2018
10/12/2018,45101.5565,45640.0000,0.20,45550.0000,45550.0000,45850.0000,45160.0000,42753182,19512552,19147108,42101,1197,,,42753182,60.00,09/12/2018
09/12/2018,45012.6182,45550.0000,0.77,45010.0000,45200.0000,45550.0000,45000.0000,42753182,19474074,20078565,44420,700,EX DIVIDEND,0.99647,42753182,60.00,09/12/2018
06/12/2018,44666.6280,45360.0000,-3.26,46250.0000,46890.0000,46390.0000,45320.0000,42753182,19392843,49602315,108428,1579,,,42753182,60.00,04/11/2018
05/12/2018,46173.2404,46890.0000,0.82,46500.0000,46510.0000,46960.0000,46200.0000,42753182,20046967,41507654,88888,1094,,,42753182,60.00,04/11/2018
04/12/2018,45799.0492,46510.0000,-0.73,47010.0000,46850.0000,47080.0000,46350.0000,42753182,19884505,18972683,40574,1042,,,42753182,60.00,04/11/2018
03/12/2018,46133.8518,46850.0000,0.54,46700.0000,46600.0000,47280.0000,46690.0000,42753182,20029866,25150649,53455,1567,,,42753182,60.00,04/11/2018
02/12/2018,45887.6734,46600.0000,2.42,46400.0000,45500.0000,46600.0000,46040.0000,42753182,19922983,12211300,26337,636,,,42753182,60.00,04/11/2018
29/11/2018,44804.4880,45500.0000,-1.15,46500.0000,46030.0000,46600.0000,45500.0000,42753182,19452698,82313598,178578,1516,,,42753182,60.00,04/11/2018
28/11/2018,45326.3864,46030.0000,0.90,45950.0000,45620.0000,46250.0000,45790.0000,42753182,19679290,26543233,57534,1238,,,42753182,60.00,04/11/2018
27/11/2018,44922.6536,45620.0000,-0.39,45800.0000,45800.0000,45960.0000,45620.0000,42753182,19504002,28872506,63021,1186,,,42753182,60.00,04/11/2018
26/11/2018,45099.9021,45800.0000,2.00,45200.0000,44900.0000,45850.0000,44900.0000,42753182,19580957,28390752,62669,1132,,,42753182,60.00,04/11/2018
25/11/2018,44213.6596,44900.0000,0.49,44640.0000,44680.0000,45070.0000,44610.0000,42753182,19196179,34701085,77156,707,,,42753182,60.00,04/11/2018
22/11/2018,43997.0225,44680.0000,0.49,44780.0000,44460.0000,44780.0000,44330.0000,42753182,19102122,17271443,38711,848,,,42753182,60.00,04/11/2018
21/11/2018,43780.3854,44460.0000,2.00,43600.0000,43590.0000,44460.0000,43600.0000,42753182,19008065,21314992,48253,1206,,,42753182,60.00,04/11/2018
20/11/2018,42923.6842,43590.0000,-0.75,43700.0000,43920.0000,43920.0000,42350.0000,42753182,18636112,41769414,97160,2155,,,42753182,60.00,04/11/2018
19/11/2018,43248.6399,43920.0000,0.32,43780.0000,43780.0000,44170.0000,43720.0000,42753182,18777198,13628126,31010,1096,,,42753182,60.00,04/11/2018
18/11/2018,43110.7798,43780.0000,1.55,43400.0000,43110.0000,43850.0000,43400.0000,42753182,18717343,5840249,13351,495,,,42753182,60.00,04/11/2018
15/11/2018,42451.0214,43110.0000,-0.85,43650.0000,43480.0000,43780.0000,43100.0000,42753182,18430897,22282904,51316,1437,,,42753182,60.00,04/11/2018
14/11/2018,42815.3658,43480.0000,-2.62,44400.0000,44650.0000,44500.0000,43480.0000,42753182,18589084,31770667,72311,2079,,,42753182,60.00,04/11/2018
13/11/2018,43967.4811,44650.0000,-1.35,45260.0000,45260.0000,45260.0000,44550.0000,42753182,19089296,18375775,40990,1206,,,42753182,60.00,04/11/2018
12/11/2018,44568.1566,45260.0000,-1.52,46000.0000,45960.0000,46200.0000,45250.0000,42753182,19350090,18803840,41182,1094,,,42753182,60.00,04/11/2018
11/11/2018,45257.4564,45960.0000,-0.04,45900.0000,45980.0000,45980.0000,45850.0000,42753182,19649362,8973929,19541,574,,,42753182,60.00,04/11/2018
08/11/2018,45277.1508,45980.0000,1.32,45390.0000,45380.0000,45980.0000,45190.0000,42753182,19657913,31284794,68533,1337,,,42753182,60.00,04/11/2018
07/11/2018,44686.3223,45380.0000,1.63,44780.0000,44650.0000,45380.0000,44530.0000,42753182,19401394,24177192,53702,1027,,,42753182,60.00,04/11/2018
06/11/2018,43967.4811,44650.0000,0.13,44840.0000,44590.0000,44840.0000,44230.0000,42753182,19089296,17092347,38348,1127,,,42753182,60.00,04/11/2018
05/11/2018,43908.3982,44590.0000,-0.42,44490.0000,44780.0000,44780.0000,44210.0000,42753182,19063644,16190380,36359,1024,,,42753182,60.00,04/11/2018
04/11/2018,44095.4939,44780.0000,-0.49,45290.0000,45000.0000,45320.0000,44500.0000,42753182,19144875,6455396,14372,520,,,42753182,60.00,04/11/2018
01/11/2018,44312.1310,45000.0000,1.12,44500.0000,44500.0000,45000.0000,44430.0000,42753182,19238932,39403376,87958,1086,,,42753182,60.00,07/10/2018
31/10/2018,43819.7740,44500.0000,1.02,44450.0000,44050.0000,44640.0000,44000.0000,42753182,19025166,26249797,59242,1448,,,42753182,60.00,07/10/2018
29/10/2018,43376.6525,44050.0000,-0.05,44070.0000,44070.0000,44960.0000,44000.0000,42753182,18832777,18712268,42065,988,,,42753182,60.00,07/10/2018
28/10/2018,43396.3470,44070.0000,0.71,43770.0000,43760.0000,44090.0000,43770.0000,42753182,18841327,8530276,19426,517,,,42753182,60.00,07/10/2018
25/10/2018,43091.0856,43760.0000,-1.46,43500.0000,44410.0000,44120.0000,43380.0000,42753182,18708792,49284142,112918,1900,,,42753182,60.00,07/10/2018
24/10/2018,43731.1497,44410.0000,2.68,43500.0000,43250.0000,44880.0000,43400.0000,42753182,18986688,22396420,50528,1545,,,42753182,60.00,07/10/2018
23/10/2018,42588.8814,43250.0000,-2.08,43700.0000,44170.0000,44000.0000,43130.0000,42753182,18490751,20451627,46940,1282,,,42753182,60.00,07/10/2018
22/10/2018,43494.8183,44170.0000,-1.30,45050.0000,44750.0000,45170.0000,44100.0000,42753182,18884080,15377180,34331,1048,,,42753182,60.00,07/10/2018
21/10/2018,44065.9526,44750.0000,0.54,44450.0000,44510.0000,44750.0000,44310.0000,42753182,19132049,8074651,18109,565,,,42753182,60.00,07/10/2018
18/10/2018,43829.6212,44510.0000,0.20,44290.0000,44420.0000,44950.0000,44240.0000,42753182,19029441,14036080,31464,823,,,42753182,60.00,07/10/2018
17/10/2018,43740.9969,44420.0000,0.59,44580.0000,44160.0000,44800.0000,44270.0000,42753182,18990963,21599477,48545,1457,,,42753182,60.00,07/10/2018
16/10/2018,43484.9713,44160.0000,3.18,43000.0000,42800.0000,44170.0000,42900.0000,42753182,18879805,22502450,51522,1139,,,42753182,60.00,07/10/2018
15/10/2018,42145.7601,42800.0000,-1.79,43480.0000,43580.0000,43570.0000,42750.0000,42753182,18298362,17834018,41387,1231,,,42753182,60.00,07/10/2018
14/10/2018,42913.8371,43580.0000,0.00,43790.0000,43580.0000,43870.0000,43530.0000,42753182,18631837,12225794,27977,695,,,42753182,60.00,07/10/2018
11/10/2018,42913.8371,43580.0000,-1.96,43520.0000,44450.0000,43750.0000,42850.0000,42753182,18631837,35341145,81419,1640,,,42753182,60.00,07/10/2018
10/10/2018,43770.5383,44450.0000,-3.31,45800.0000,45970.0000,46230.0000,44450.0000,42753182,19003789,18491243,40744,1319,,,42753182,60.00,07/10/2018
09/10/2018,45267.3036,45970.0000,-0.61,46450.0000,46250.0000,46990.0000,45970.0000,42753182,19653638,13531678,29139,804,,,42753182,60.00,07/10/2018
08/10/2018,45543.0235,46250.0000,-1.39,46900.0000,46900.0000,47130.0000,46250.0000,42753182,19773347,12745549,27341,804,,,42753182,60.00,07/10/2018
07/10/2018,46183.0876,46900.0000,0.54,46500.0000,46650.0000,46990.0000,46210.0000,42753182,20051242,7145024,15353,479,,,42753182,60.00,07/10/2018
04/10/2018,45936.9091,46650.0000,-0.72,46600.0000,46990.0000,47280.0000,46330.0000,42753182,19944359,37463292,79998,1346,,,42753182,60.00,12/09/2018
03/10/2018,46271.7119,46990.0000,1.05,46500.0000,46500.0000,47250.0000,46490.0000,42753182,20089720,15035903,32050,956,,,42753182,60.00,12/09/2018
02/10/2018,45789.2020,46500.0000,0.82,45840.0000,46120.0000,46680.0000,45600.0000,42753182,19880230,24744475,53519,1629,,,42753182,60.00,12/09/2018
27/09/2018,45415.0107,46120.0000,-3.41,47030.0000,47750.0000,47270.0000,45900.0000,42753182,19717768,72510993,155835,1983,,,42753182,60.00,12/09/2018
26/09/2018,47020.0946,47750.0000,-1.34,48300.0000,48400.0000,48380.0000,47710.0000,42753182,20414644,15283525,31901,951,,,42753182,60.00,12/09/2018
25/09/2018,47660.1587,48400.0000,-0.17,48460.0000,48480.0000,48460.0000,48000.0000,42753182,20692540,18385029,38062,1100,,,42753182,60.00,12/09/2018
20/09/2018,47738.9358,48480.0000,3.48,47700.0000,46850.0000,48720.0000,47630.0000,42753182,20726743,59554201,123416,2782,,,42753182,60.00,12/09/2018
17/09/2018,46133.8518,46850.0000,1.63,46360.0000,46100.0000,46940.0000,46100.0000,42753182,20029866,16475216,35226,1017,,,42753182,60.00,12/09/2018
16/09/2018,45395.3164,46100.0000,0.85,46300.0000,45710.0000,46470.0000,45770.0000,42753182,19709217,15998613,34621,698,,,42753182,60.00,12/09/2018
13/09/2018,45011.2779,45710.0000,-0.63,46360.0000,46000.0000,46500.0000,45510.0000,42753182,19542479,18736309,40790,987,,,42753182,60.00,12/09/2018
12/09/2018,45296.8450,46000.0000,0.41,46350.0000,45810.0000,46730.0000,46000.0000,42753182,19666464,19816911,42761,1259,,,42753182,60.00,12/09/2018
06/09/2018,45109.7494,45810.0000,-0.22,45900.0000,45910.0000,46300.0000,45670.0000,42753182,19585233,45571036,99333,945,,,42753182,60.00,05/08/2018
05/09/2018,45208.2207,45910.0000,-0.78,46280.0000,46270.0000,46660.0000,45910.0000,42753182,19627986,15036779,32495,1065,,,42753182,60.00,05/08/2018
04/09/2018,45562.7178,46270.0000,-0.37,46670.0000,46440.0000,46720.0000,46200.0000,42753182,19781897,25254544,54428,1187,EX DIVIDEND,0.99657,42753182,60.00,05/08/2018
03/09/2018,45730.2787,46600.0000,-0.36,46850.0000,46770.0000,46850.0000,46400.0000,42753182,19922983,24545618,52657,1517,,,42753182,60.00,05/08/2018
02/09/2018,45897.1060,46770.0000,0.54,46280.0000,46520.0000,46830.0000,46080.0000,42753182,19995663,16808519,36164,1074,,,42753182,60.00,05/08/2018
30/08/2018,45651.7718,46520.0000,0.69,46200.0000,46200.0000,46520.0000,45740.0000,42753182,19888780,45058540,97555,1362,,,42753182,60.00,05/08/2018
29/08/2018,45337.7441,46200.0000,1.76,45890.0000,45400.0000,46200.0000,45680.0000,42753182,19751970,26024277,56578,1650,,,42753182,60.00,05/08/2018
28/08/2018,44552.6750,45400.0000,0.46,45500.0000,45190.0000,46190.0000,44920.0000,42753182,19409945,27668214,60692,1773,,,42753182,60.00,05/08/2018
27/08/2018,44346.5944,45190.0000,0.76,45050.0000,44850.0000,46010.0000,44880.0000,42753182,19320163,33630177,74035,2041,,,42753182,60.00,05/08/2018
26/08/2018,44012.9399,44850.0000,0.67,44660.0000,44550.0000,44930.0000,44150.0000,42753182,19174802,18884150,42463,780,,,42753182,60.00,05/08/2018
23/08/2018,43718.5390,44550.0000,-1.83,45180.0000,45380.0000,45450.0000,44090.0000,42753182,19046543,40986406,91854,2271,,,42753182,60.00,05/08/2018
22/08/2018,44533.0483,45380.0000,-0.46,45500.0000,45590.0000,45550.0000,44970.0000,42753182,19401394,17215011,38015,1168,,,42753182,60.00,05/08/2018
21/08/2018,44739.1289,45590.0000,4.32,44200.0000,43700.0000,45960.0000,44200.0000,42753182,19491176,55894913,123298,2880,,,42753182,60.00,05/08/2018
20/08/2018,42884.4030,43700.0000,0.85,43420.0000,43330.0000,44100.0000,43420.0000,42753182,18683141,24539499,56041,1548,,,42753182,60.00,05/08/2018
19/08/2018,42521.3084,43330.0000,1.59,42800.0000,42650.0000,43490.0000,42750.0000,42753182,18524954,11834391,27354,724,,,42753182,60.00,05/08/2018
16/08/2018,41853.9997,42650.0000,-5.97,45000.0000,45360.0000,45040.0000,42150.0000,42753182,18234232,96641878,223406,3813,,,42753182,60.00,05/08/2018
15/08/2018,44513.4215,45360.0000,-0.15,45600.0000,45430.0000,45800.0000,45250.0000,42753182,19392843,26046211,57364,1759,,,42753182,60.00,05/08/2018
14/08/2018,44582.1151,45430.0000,1.32,45000.0000,44840.0000,45580.0000,45000.0000,42753182,19422771,25503041,56239,1460,,,42753182,60.00,05/08/2018
13/08/2018,44003.1266,44840.0000,0.09,44650.0000,44800.0000,44900.0000,44300.0000,42753182,19170527,13095499,29356,939,,,42753182,60.00,05/08/2018
12/08/2018,43963.8731,44800.0000,0.90,44400.0000,44400.0000,44900.0000,44400.0000,42753182,19153426,7316471,16368,515,,,42753182,60.00,05/08/2018
09/08/2018,43571.3384,44400.0000,-1.68,45420.0000,45160.0000,45900.0000,44180.0000,42753182,18982413,33640832,74547,1583,,,42753182,60.00,05/08/2018
08/08/2018,44317.1542,45160.0000,2.13,44220.0000,44220.0000,45160.0000,43950.0000,42753182,19307337,39268657,88211,1461,,,42753182,60.00,05/08/2018
07/08/2018,43394.6980,44220.0000,0.39,44420.0000,44050.0000,45150.0000,44220.0000,42753182,18905457,37066400,82693,2225,,,42753182,60.00,05/08/2018
06/08/2018,43227.8707,44050.0000,0.52,43820.0000,43820.0000,44200.0000,43720.0000,42753182,18832777,18712112,42596,900,,,42753182,60.00,05/08/2018
05/08/2018,43002.1634,43820.0000,2.38,43200.0000,42800.0000,43900.0000,43200.0000,42753182,18734444,15539282,35551,1005,,,42753182,60.00,05/08/2018
