 Historical Data - End of Day ELECTRA,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,88051.5886,89700.0000,0.84,89830.0000,88950.0000,91510.0000,87950.0000,3613903,3241671,2810299,3121,264,,,3616281,60.00,09/12/2018
30/12/2018,87315.3713,88950.0000,5.27,84500.0000,84500.0000,89920.0000,84500.0000,3613903,3214567,3198286,3664,733,,,3616281,60.00,09/12/2018
27/12/2018,82947.1487,84500.0000,-0.82,89000.0000,85200.0000,89000.0000,83830.0000,3613903,3053748,3588141,4219,496,,,3616281,60.00,09/12/2018
26/12/2018,83634.2848,85200.0000,3.89,82260.0000,82010.0000,86850.0000,82260.0000,3613903,3079045,1355202,1616,345,,,3616281,60.00,09/12/2018
25/12/2018,80502.9073,82010.0000,1.88,80260.0000,80500.0000,82010.0000,78280.0000,3613903,2963762,3780474,4666,242,,,3616281,60.00,09/12/2018
24/12/2018,79020.6564,80500.0000,0.31,79450.0000,80250.0000,83190.0000,79450.0000,3613903,2909192,2823722,3517,473,,,3616281,60.00,09/12/2018
23/12/2018,78775.2507,80250.0000,-3.53,80000.0000,83190.0000,81580.0000,79500.0000,3614512,2900646,4796456,5971,403,,,3616281,60.00,09/12/2018
20/12/2018,81661.2225,83190.0000,-2.00,83000.0000,84890.0000,84000.0000,83000.0000,3614512,3006913,1586982,1905,197,,,3616281,60.00,09/12/2018
19/12/2018,83329.9817,84890.0000,2.14,83110.0000,83110.0000,85190.0000,82960.0000,3614512,3068359,2388172,2821,185,,,3616281,60.00,09/12/2018
18/12/2018,81582.6926,83110.0000,-0.99,83940.0000,83940.0000,83790.0000,82590.0000,3614711,3004186,1402137,1688,165,,,3616281,60.00,09/12/2018
17/12/2018,82397.4398,83940.0000,0.14,83000.0000,83820.0000,84650.0000,83000.0000,3614711,3034188,1341301,1595,178,,,3616281,60.00,09/12/2018
16/12/2018,82279.6450,83820.0000,-1.32,84940.0000,84940.0000,84890.0000,83540.0000,3615076,3030157,916828,1091,110,,,3616281,60.00,09/12/2018
13/12/2018,83379.0628,84940.0000,1.59,83610.0000,83610.0000,85730.0000,83000.0000,3615274,3070814,4747466,5605,185,,,3616281,60.00,09/12/2018
12/12/2018,82073.5042,83610.0000,0.01,83600.0000,83600.0000,84310.0000,83300.0000,3615274,3022731,1428233,1705,120,,,3616281,60.00,09/12/2018
11/12/2018,82063.6879,83600.0000,-0.30,83360.0000,83850.0000,84480.0000,83360.0000,3615645,3022679,3105294,3708,211,,,3616281,60.00,09/12/2018
10/12/2018,82309.0937,83850.0000,-0.55,84310.0000,84310.0000,84790.0000,83660.0000,3615823,3031868,875873,1041,105,,,3616281,60.00,09/12/2018
09/12/2018,82760.6403,84310.0000,-0.44,84430.0000,84680.0000,84740.0000,84110.0000,3615823,3048500,376226,446,61,,,3616281,60.00,09/12/2018
06/12/2018,83123.8408,84680.0000,-3.11,87140.0000,87400.0000,87140.0000,84280.0000,3615823,3061879,6323373,7424,233,,,3616745,60.00,04/11/2018
05/12/2018,85793.8556,87400.0000,1.90,85770.0000,85770.0000,87400.0000,84570.0000,3615823,3160229,2928742,3371,148,,,3616745,60.00,04/11/2018
04/12/2018,84193.8100,85770.0000,-1.80,87340.0000,87340.0000,87350.0000,85150.0000,3616055,3101490,916317,1067,162,,,3616745,60.00,04/11/2018
03/12/2018,85734.9582,87340.0000,1.28,86240.0000,86240.0000,87500.0000,84690.0000,3616055,3158262,1402800,1626,151,,,3616745,60.00,04/11/2018
02/12/2018,84655.1728,86240.0000,1.82,83920.0000,84700.0000,87000.0000,83920.0000,3616055,3118486,662374,768,123,,,3616745,60.00,04/11/2018
29/11/2018,83143.4733,84700.0000,1.52,83430.0000,83430.0000,84870.0000,82170.0000,3616281,3062990,2538636,3025,186,,,3616745,60.00,04/11/2018
28/11/2018,81896.8120,83430.0000,-0.04,83460.0000,83460.0000,84100.0000,82860.0000,3616281,3017063,974809,1167,123,,,3616745,60.00,04/11/2018
27/11/2018,81926.2607,83460.0000,-0.18,83100.0000,83610.0000,83850.0000,82800.0000,3616281,3018148,2116693,2548,136,,,3616745,60.00,04/11/2018
26/11/2018,82073.5042,83610.0000,-0.64,84150.0000,84150.0000,85000.0000,83610.0000,3616281,3023573,10670656,12677,168,,,3616745,60.00,04/11/2018
25/11/2018,82603.5806,84150.0000,-0.95,84470.0000,84960.0000,84970.0000,83670.0000,3616281,3043100,9478632,11172,104,,,3616745,60.00,04/11/2018
22/11/2018,83398.6953,84960.0000,-0.86,85700.0000,85700.0000,86590.0000,84850.0000,3616281,3072392,661357,775,124,,,3616745,60.00,04/11/2018
21/11/2018,84125.0964,85700.0000,0.18,84490.0000,85550.0000,85700.0000,84490.0000,3616281,3099153,2147953,2518,204,,,3616745,60.00,04/11/2018
20/11/2018,83977.8529,85550.0000,-2.17,87890.0000,87450.0000,87890.0000,84920.0000,3616281,3093728,7360630,8605,205,,,3616745,60.00,04/11/2018
19/11/2018,85842.9367,87450.0000,-0.18,87610.0000,87610.0000,88570.0000,86300.0000,3616281,3162438,1694882,1927,162,,,3616745,60.00,04/11/2018
18/11/2018,85999.9964,87610.0000,-0.06,87660.0000,87660.0000,88550.0000,86970.0000,3616281,3168224,535932,611,67,,,3616745,60.00,04/11/2018
15/11/2018,86049.0776,87660.0000,-0.62,88210.0000,88210.0000,88590.0000,87340.0000,3616281,3170032,6655442,7547,136,,,3616745,60.00,04/11/2018
14/11/2018,86588.9702,88210.0000,-1.23,89310.0000,89310.0000,89400.0000,88150.0000,3616281,3189921,1056927,1192,108,,,3616745,60.00,04/11/2018
13/11/2018,87668.7556,89310.0000,0.25,89090.0000,89090.0000,89530.0000,88480.0000,3616281,3229701,558109,625,80,,,3616745,60.00,04/11/2018
12/11/2018,87452.7985,89090.0000,-0.25,89310.0000,89310.0000,90550.0000,88650.0000,3616281,3221745,1043009,1166,130,,,3616745,60.00,04/11/2018
11/11/2018,87668.7556,89310.0000,0.40,88950.0000,88950.0000,90200.0000,88980.0000,3616281,3229701,506304,566,89,,,3616745,60.00,04/11/2018
08/11/2018,87315.3713,88950.0000,0.25,88730.0000,88730.0000,89630.0000,88670.0000,3616281,3216682,651218,732,97,,,3616745,60.00,04/11/2018
07/11/2018,87099.4142,88730.0000,0.27,88490.0000,88490.0000,89720.0000,88600.0000,3616281,3208726,433622,487,88,,,3616745,60.00,04/11/2018
06/11/2018,86863.8247,88490.0000,-0.25,88710.0000,88710.0000,89500.0000,88100.0000,3616281,3200047,3685814,4171,100,,,3616745,60.00,04/11/2018
05/11/2018,87079.7818,88710.0000,-1.46,90020.0000,90020.0000,89900.0000,88270.0000,3616281,3208003,1947447,2193,151,,,3616745,60.00,04/11/2018
04/11/2018,88365.7080,90020.0000,-0.97,91000.0000,90900.0000,91110.0000,89990.0000,3616281,3255376,496692,550,84,,,3616745,60.00,04/11/2018
01/11/2018,89229.5363,90900.0000,0.83,90150.0000,90150.0000,91000.0000,90160.0000,3616281,3287199,2191863,2412,156,,,3617223,60.00,07/10/2018
31/10/2018,88493.3190,90150.0000,0.86,89380.0000,89380.0000,90640.0000,89380.0000,3616281,3260077,3694984,4127,109,,,3617223,60.00,07/10/2018
29/10/2018,87737.4692,89380.0000,1.01,89000.0000,88490.0000,89730.0000,88490.0000,3616281,3232232,1754611,1963,355,,,3617223,60.00,07/10/2018
28/10/2018,86863.8247,88490.0000,0.43,86800.0000,88110.0000,88600.0000,86800.0000,3616281,3200047,1581901,1793,166,,,3617223,60.00,07/10/2018
25/10/2018,86490.8079,88110.0000,0.13,85800.0000,88000.0000,89000.0000,85800.0000,3616281,3186305,1513272,1726,220,,,3617223,60.00,07/10/2018
24/10/2018,86382.8294,88000.0000,0.86,87250.0000,87250.0000,88900.0000,86620.0000,3616281,3182327,861051,977,146,,,3617223,60.00,07/10/2018
23/10/2018,85646.6121,87250.0000,-1.69,86970.0000,88750.0000,88440.0000,86970.0000,3616633,3155512,2423200,2763,142,,,3617223,60.00,07/10/2018
22/10/2018,87119.0467,88750.0000,0.12,88640.0000,88640.0000,89650.0000,88590.0000,3616633,3209762,1141851,1284,127,,,3617223,60.00,07/10/2018
21/10/2018,87011.0682,88640.0000,-1.08,88100.0000,89610.0000,89300.0000,88100.0000,3616633,3205783,578307,652,65,,,3617223,60.00,07/10/2018
18/10/2018,87963.2425,89610.0000,-0.83,89680.0000,90360.0000,90100.0000,88830.0000,3616633,3240865,689964,770,107,,,3617223,60.00,07/10/2018
17/10/2018,88699.4598,90360.0000,-0.19,88650.0000,90530.0000,90600.0000,88650.0000,3616633,3267990,780909,867,118,,,3617223,60.00,07/10/2018
16/10/2018,88866.3357,90530.0000,1.30,89370.0000,89370.0000,90620.0000,88450.0000,3616665,3274167,558335,621,94,,,3617223,60.00,07/10/2018
15/10/2018,87727.6530,89370.0000,0.20,89190.0000,89190.0000,90000.0000,88400.0000,3616745,3232285,851826,955,113,,,3617223,60.00,07/10/2018
14/10/2018,87550.9608,89190.0000,-0.46,89660.0000,89600.0000,89770.0000,88920.0000,3616745,3225775,3428101,3827,82,,,3617223,60.00,07/10/2018
