 Historical Data - End of Day ENERGIX,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,478.3000,478.3000,-1.10,492.0000,483.6000,492.0000,472.3000,379823034,1816694,2078101,430175,295,,,378306443,35.00,09/12/2018
30/12/2018,483.6000,483.6000,2.83,470.6000,470.3000,491.4000,470.6000,379823034,1836824,1347768,279551,195,,,378306443,35.00,09/12/2018
27/12/2018,470.3000,470.3000,0.97,480.0000,465.8000,480.3000,465.1000,379823034,1786308,2023188,429053,237,,,378306443,35.00,09/12/2018
26/12/2018,465.8000,465.8000,2.22,455.7000,455.7000,478.4000,450.6000,379823034,1769216,1687833,366384,243,,,378306443,35.00,09/12/2018
25/12/2018,455.7000,455.7000,1.72,446.7000,448.0000,470.0000,431.0000,379823034,1730854,1723676,389707,209,,,378306443,35.00,09/12/2018
24/12/2018,448.0000,448.0000,-2.61,453.2000,460.0000,478.9000,441.3000,379823034,1701607,4362456,965168,290,,,378306443,35.00,09/12/2018
23/12/2018,460.0000,460.0000,-5.04,478.0000,484.4000,478.0000,450.0000,379823034,1747186,3563933,780702,346,,,378306443,35.00,09/12/2018
20/12/2018,484.4000,484.4000,0.29,491.0000,483.0000,491.0000,470.3000,379823034,1839863,866017,180445,163,,,378306443,35.00,09/12/2018
19/12/2018,483.0000,483.0000,0.65,486.0000,479.9000,492.8000,475.1000,379823034,1834545,1982640,410392,291,,,378306443,35.00,09/12/2018
18/12/2018,479.9000,479.9000,-1.26,488.3000,486.0000,492.0000,469.5000,379823034,1822771,1258353,262751,211,,,378306443,35.00,09/12/2018
17/12/2018,486.0000,486.0000,0.64,482.9000,482.9000,492.0000,482.9000,379823034,1845940,768664,157800,182,,,378306443,35.00,09/12/2018
16/12/2018,482.9000,482.9000,-0.19,483.8000,483.8000,486.9000,480.0000,379823034,1834165,704260,145661,149,,,378306443,35.00,09/12/2018
13/12/2018,483.8000,483.8000,1.64,479.9000,476.0000,485.0000,476.0000,379823034,1837584,1267633,263179,180,,,378306443,35.00,09/12/2018
12/12/2018,476.0000,476.0000,-0.38,478.0000,477.8000,486.0000,476.0000,379823034,1807958,1121533,234033,145,,,378306443,35.00,09/12/2018
11/12/2018,477.8000,477.8000,0.87,474.0000,473.7000,484.0000,474.0000,379823034,1814794,722088,150613,167,,,378306443,35.00,09/12/2018
10/12/2018,473.7000,473.7000,-1.35,480.2000,480.2000,484.8000,465.3000,379823034,1799222,436130,91746,144,,,378306443,35.00,09/12/2018
09/12/2018,480.2000,480.2000,1.91,470.9000,471.2000,483.0000,470.9000,379823034,1823910,447865,93624,132,,,378306443,35.00,09/12/2018
06/12/2018,471.2000,471.2000,-2.44,483.0000,483.0000,483.0000,471.2000,379823034,1789726,1523653,322081,201,,,378184374,35.00,04/11/2018
05/12/2018,483.0000,483.0000,2.66,470.8000,470.5000,483.0000,465.9000,379823034,1834545,1744436,363725,161,,,378184374,35.00,04/11/2018
04/12/2018,470.5000,470.5000,-2.59,475.1000,483.0000,487.8000,468.6000,378306443,1779932,785804,164862,183,,,378184374,35.00,04/11/2018
03/12/2018,483.0000,483.0000,1.51,476.1000,475.8000,484.3000,476.1000,378306443,1827220,877241,181771,177,,,378184374,35.00,04/11/2018
02/12/2018,475.8000,475.8000,0.46,475.0000,473.6000,479.7000,473.3000,378306443,1799982,1462699,306177,168,,,378184374,35.00,04/11/2018
29/11/2018,473.6000,473.6000,1.85,465.3000,465.0000,475.0000,465.3000,378306443,1791659,1591203,337138,193,,,378184374,35.00,04/11/2018
28/11/2018,465.0000,465.0000,0.11,464.0000,464.5000,468.0000,461.9000,378306443,1759125,699218,150307,146,,,378184374,35.00,04/11/2018
27/11/2018,464.5000,464.5000,0.39,465.0000,462.7000,465.0000,462.2000,378306443,1757233,564357,121587,141,,,378184374,35.00,04/11/2018
26/11/2018,462.7000,462.7000,1.54,455.7000,455.7000,464.0000,459.1000,378306443,1750424,807141,174674,155,,,378184374,35.00,04/11/2018
25/11/2018,455.7000,455.7000,1.18,448.1000,450.4000,462.0000,448.1000,378306443,1723942,534111,116644,141,,,378184374,35.00,04/11/2018
22/11/2018,450.4000,450.4000,-0.44,452.4000,452.4000,460.0000,448.8000,378306443,1703892,1109737,245728,156,,,378184374,35.00,04/11/2018
21/11/2018,452.4000,452.4000,-1.44,459.0000,459.0000,462.3000,452.0000,378306443,1711458,813967,178323,188,,,378184374,35.00,04/11/2018
20/11/2018,459.0000,459.0000,-2.46,477.0000,470.6000,477.0000,456.0000,378306443,1736427,1582041,341507,239,,,378184374,35.00,04/11/2018
19/11/2018,470.6000,470.6000,3.36,456.7000,455.3000,472.8000,456.0000,378306443,1780310,8422139,1826138,336,,,378184374,35.00,04/11/2018
18/11/2018,455.3000,455.3000,1.63,448.0000,448.0000,458.0000,447.2000,378306443,1722429,1829893,406207,235,,,378184374,35.00,04/11/2018
15/11/2018,448.0000,448.0000,0.07,446.4000,447.7000,451.0000,446.1000,378306443,1694813,2377912,531453,238,,,378184374,35.00,04/11/2018
14/11/2018,447.7000,447.7000,-0.56,446.0000,450.2000,451.0000,446.0000,378306443,1693678,867872,193849,172,,,378184374,35.00,04/11/2018
13/11/2018,450.2000,450.2000,0.09,448.0000,449.8000,454.4000,445.5000,378306443,1703136,550142,122425,139,,,378184374,35.00,04/11/2018
12/11/2018,449.8000,449.8000,0.16,448.5000,449.1000,455.5000,448.5000,378306443,1701622,926707,206328,133,,,378184374,35.00,04/11/2018
11/11/2018,449.1000,449.1000,-0.44,450.8000,451.1000,450.8000,440.0000,378306443,1698974,759734,169667,134,,,378184374,35.00,04/11/2018
08/11/2018,451.1000,451.1000,-0.88,458.0000,455.1000,464.0000,444.4000,378306443,1706540,994920,218582,216,,,378184374,35.00,04/11/2018
07/11/2018,455.1000,455.1000,4.09,437.2000,437.2000,456.0000,432.0000,378306443,1721673,4550028,1015350,317,,,378184374,35.00,04/11/2018
06/11/2018,437.2000,437.2000,-1.13,432.1000,442.2000,440.0000,432.1000,378306443,1653956,684920,156849,149,,,378184374,35.00,04/11/2018
05/11/2018,442.2000,442.2000,4.29,424.0000,424.0000,443.5000,424.0000,378306443,1672871,2946444,679569,235,,,378184374,35.00,04/11/2018
04/11/2018,424.0000,424.0000,-0.21,425.0000,424.9000,425.0000,422.5000,378184374,1603502,162172,38243,72,,,378184374,35.00,04/11/2018
01/11/2018,424.9000,424.9000,0.83,421.4000,421.4000,425.4000,421.4000,378184374,1606905,269701,63492,102,,,378124550,35.00,07/10/2018
31/10/2018,421.4000,421.4000,-0.52,423.6000,423.6000,427.9000,420.0000,378184374,1593669,773384,182595,160,,,378124550,35.00,07/10/2018
29/10/2018,423.6000,423.6000,0.21,418.0000,422.7000,425.0000,418.0000,378184374,1601989,410832,97071,91,,,378124550,35.00,07/10/2018
28/10/2018,422.7000,422.7000,0.76,427.0000,419.5000,427.0000,408.9000,378184374,1598585,334506,79626,85,,,378124550,35.00,07/10/2018
25/10/2018,419.5000,419.5000,-1.22,406.0000,424.7000,423.1000,406.0000,378184374,1586483,799478,191451,145,,,378124550,35.00,07/10/2018
24/10/2018,424.7000,424.7000,1.53,418.3000,418.3000,426.2000,416.0000,378184374,1606149,461704,109195,108,,,378124550,35.00,07/10/2018
23/10/2018,418.3000,418.3000,-1.37,420.0000,424.1000,423.3000,416.6000,378184374,1581945,702272,167599,174,,,378124550,35.00,07/10/2018
22/10/2018,424.1000,424.1000,0.33,422.7000,422.7000,425.0000,421.4000,378184374,1603880,656431,154867,158,,,378124550,35.00,07/10/2018
21/10/2018,422.7000,422.7000,-0.94,426.7000,426.7000,427.5000,421.0000,378184374,1598585,593685,139714,96,,,378124550,35.00,07/10/2018
18/10/2018,426.7000,426.7000,-0.07,421.0000,427.0000,428.3000,421.0000,378184374,1613713,437150,102615,107,,,378124550,35.00,07/10/2018
17/10/2018,427.0000,427.0000,1.72,419.8000,419.8000,429.0000,417.6000,378184374,1614847,2296177,545233,147,,,378124550,35.00,07/10/2018
16/10/2018,419.8000,419.8000,3.25,406.6000,406.6000,422.0000,402.6000,378184374,1587618,2115654,505964,147,,,378124550,35.00,07/10/2018
15/10/2018,406.6000,406.6000,0.32,405.3000,405.3000,419.0000,404.0000,378184374,1537698,755966,186152,120,,,378124550,35.00,07/10/2018
14/10/2018,405.3000,405.3000,-0.25,404.0000,406.3000,417.9000,401.5000,378184374,1532781,335446,82443,103,,,378124550,35.00,07/10/2018
11/10/2018,406.3000,406.3000,-2.12,410.5000,415.1000,411.0000,405.0000,378184374,1536563,2367188,577378,171,,,378124550,35.00,07/10/2018
10/10/2018,415.1000,415.1000,0.10,408.0000,414.7000,422.4000,408.0000,378184374,1569843,3526262,848837,177,,,378124550,35.00,07/10/2018
09/10/2018,414.7000,414.7000,0.36,408.1000,413.2000,422.3000,408.1000,378184374,1568331,855462,206323,164,,,378124550,35.00,07/10/2018
08/10/2018,413.2000,413.2000,-1.38,419.0000,419.0000,423.9000,408.1000,378184374,1562658,905252,217859,206,,,378124550,35.00,07/10/2018
07/10/2018,419.0000,419.0000,1.21,425.0000,414.0000,425.0000,408.1000,378184374,1584593,442253,105644,107,,,378124550,35.00,07/10/2018
04/10/2018,414.0000,414.0000,-1.19,423.2000,419.0000,423.2000,413.9000,378184374,1565683,724250,174210,148,,,378026550,35.00,12/09/2018
03/10/2018,419.0000,419.0000,0.24,418.0000,418.0000,423.3000,408.1000,378184374,1584593,1573480,376468,223,,,378026550,35.00,12/09/2018
02/10/2018,418.0000,418.0000,-0.29,431.8000,419.2000,431.8000,416.1000,378124550,1580561,1968107,468751,277,,,378026550,35.00,12/09/2018
27/09/2018,419.2000,419.2000,0.46,415.3000,417.3000,419.9000,415.3000,378124550,1585098,523828,125163,98,,,378026550,35.00,12/09/2018
26/09/2018,417.3000,417.3000,1.04,413.0000,413.0000,420.0000,412.6000,378124550,1577914,4016424,963903,398,,,378026550,35.00,12/09/2018
25/09/2018,413.0000,413.0000,0.63,408.0000,410.4000,413.5000,405.7000,378124550,1561654,455178,110610,109,,,378026550,35.00,12/09/2018
20/09/2018,410.4000,410.4000,0.10,415.0000,410.0000,415.0000,404.2000,378124550,1551823,710918,173254,184,,,378026550,35.00,12/09/2018
17/09/2018,410.0000,410.0000,0.17,409.3000,409.3000,413.3000,402.4000,378124550,1550311,1669985,409485,457,,,378026550,35.00,12/09/2018
16/09/2018,409.3000,409.3000,0.12,400.3000,408.8000,410.0000,400.3000,378124550,1547664,576152,141582,98,,,378026550,35.00,12/09/2018
13/09/2018,408.8000,408.8000,0.71,407.1000,405.9000,410.2000,400.0000,378124550,1545773,1093214,269426,224,,,378026550,35.00,12/09/2018
12/09/2018,405.9000,405.9000,-1.77,414.4000,413.2000,414.4000,402.0000,378124550,1534808,548558,133934,117,,,378026550,35.00,12/09/2018
06/09/2018,413.2000,413.2000,1.72,405.9000,406.2000,414.8000,405.1000,378124550,1562411,1942048,471578,166,,,378026550,35.00,05/08/2018
05/09/2018,406.2000,406.2000,-2.61,416.5000,417.1000,417.7000,400.0000,378124550,1535942,766057,185207,149,,,378026550,35.00,05/08/2018
04/09/2018,417.1000,417.1000,-0.05,417.3000,417.3000,418.0000,416.9000,378026550,1576749,1407168,337239,245,,,378026550,35.00,05/08/2018
03/09/2018,417.3000,417.3000,0.05,414.0000,417.1000,418.0000,414.0000,378026550,1577505,448401,107456,130,,,378026550,35.00,05/08/2018
02/09/2018,417.1000,417.1000,-0.76,420.3000,420.3000,424.9000,403.7000,378026550,1576749,751154,180056,149,,,378026550,35.00,05/08/2018
30/08/2018,420.3000,420.3000,0.82,416.9000,416.9000,423.0000,411.5000,378026550,1588846,757621,181622,191,,,378026550,35.00,05/08/2018
29/08/2018,416.9000,416.9000,1.81,409.5000,409.5000,420.0000,410.7000,378026550,1575993,1235366,297296,214,,,378026550,35.00,05/08/2018
28/08/2018,409.5000,409.5000,0.10,407.9000,409.1000,410.3000,406.5000,378026550,1548019,496491,121430,152,,,378026550,35.00,05/08/2018
27/08/2018,409.1000,409.1000,-0.90,411.6000,412.8000,412.4000,408.0000,378026550,1546507,1686448,411357,243,,,378026550,35.00,05/08/2018
26/08/2018,412.8000,412.8000,1.13,408.2000,408.2000,415.0000,408.2000,378026550,1560494,747681,181110,164,,,378026550,35.00,05/08/2018
23/08/2018,408.2000,408.2000,3.24,395.0000,395.4000,412.0000,395.0000,378026550,1543104,1040073,258064,164,,,378026550,35.00,05/08/2018
