 Historical Data - End of Day EQUITAL,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,8169.0000,8169.0000,1.97,8011.0000,8011.0000,8219.0000,8030.0000,16376065,1337761,206910,2540,44,,,16376065,20.00,09/12/2018
30/12/2018,8011.0000,8011.0000,-0.96,8089.0000,8089.0000,8089.0000,8000.0000,16376065,1311887,118447,1475,24,,,16376065,20.00,09/12/2018
27/12/2018,8089.0000,8089.0000,-3.43,8376.0000,8376.0000,8698.0000,8027.0000,16376065,1324660,258107,3162,58,,,16376065,20.00,09/12/2018
26/12/2018,8376.0000,8376.0000,2.18,8197.0000,8197.0000,8419.0000,8301.0000,16376065,1371659,54779,656,15,,,16376065,20.00,09/12/2018
25/12/2018,8197.0000,8197.0000,0.02,8170.0000,8195.0000,8299.0000,7705.0000,16376065,1342346,100206,1233,20,,,16376065,20.00,09/12/2018
24/12/2018,8195.0000,8195.0000,-5.02,8628.0000,8628.0000,8582.0000,8021.0000,16376065,1342019,490429,5930,66,,,16376065,20.00,09/12/2018
23/12/2018,8628.0000,8628.0000,-4.77,9060.0000,9060.0000,8723.0000,8300.0000,16376065,1412927,218925,2543,41,,,16376065,20.00,09/12/2018
20/12/2018,9060.0000,9060.0000,-0.20,9078.0000,9078.0000,9087.0000,9001.0000,16376065,1483671,375668,4156,22,,,16376065,20.00,09/12/2018
19/12/2018,9078.0000,9078.0000,0.53,9030.0000,9030.0000,9100.0000,9011.0000,16376065,1486619,151026,1665,20,,,16376065,20.00,09/12/2018
18/12/2018,9030.0000,9030.0000,-1.57,9174.0000,9174.0000,9171.0000,9000.0000,16376065,1478759,58873,652,17,,,16376065,20.00,09/12/2018
17/12/2018,9174.0000,9174.0000,-1.43,9307.0000,9307.0000,9300.0000,9140.0000,16376065,1502340,361484,3918,25,,,16376065,20.00,09/12/2018
16/12/2018,9307.0000,9307.0000,-0.02,9309.0000,9309.0000,9309.0000,9200.0000,16376065,1524120,83771,900,5,,,16376065,20.00,09/12/2018
13/12/2018,9309.0000,9309.0000,-0.01,9310.0000,9310.0000,9661.0000,9260.0000,16376065,1524448,668465,7185,31,,,16376065,20.00,09/12/2018
12/12/2018,9310.0000,9310.0000,0.06,9304.0000,9304.0000,9360.0000,9300.0000,16376065,1524612,28674,308,8,,,16376065,20.00,09/12/2018
11/12/2018,9304.0000,9304.0000,0.68,9241.0000,9241.0000,9311.0000,9300.0000,16376065,1523629,31262,336,10,,,16376065,20.00,09/12/2018
10/12/2018,9241.0000,9241.0000,-0.42,9280.0000,9280.0000,9283.0000,9200.0000,16376065,1513312,33176,359,12,,,16376065,20.00,09/12/2018
09/12/2018,9280.0000,9280.0000,-0.45,9322.0000,9322.0000,9280.0000,9280.0000,16376065,1519699,4547,49,7,,,16376065,20.00,09/12/2018
06/12/2018,9322.0000,9322.0000,-0.80,9397.0000,9397.0000,9413.0000,9300.0000,16376065,1526577,77868,835,20,,,16376065,20.00,04/11/2018
05/12/2018,9397.0000,9397.0000,1.01,9303.0000,9303.0000,9410.0000,9275.0000,16376065,1538859,51408,548,21,,,16376065,20.00,04/11/2018
04/12/2018,9303.0000,9303.0000,-2.70,9561.0000,9561.0000,9321.0000,9300.0000,16376065,1523465,15907,171,8,,,16376065,20.00,04/11/2018
03/12/2018,9561.0000,9561.0000,-0.58,9617.0000,9617.0000,9736.0000,9489.0000,16376065,1565716,301176,3142,34,,,16376065,20.00,04/11/2018
02/12/2018,9617.0000,9617.0000,3.30,9474.0000,9310.0000,9624.0000,9474.0000,16376065,1574886,192522,2003,21,,,16376065,20.00,04/11/2018
29/11/2018,9310.0000,9310.0000,1.20,9229.0000,9200.0000,9316.0000,9229.0000,16376065,1524612,56368,606,24,,,16376065,20.00,04/11/2018
28/11/2018,9200.0000,9200.0000,-1.29,9320.0000,9320.0000,9646.0000,9200.0000,16376065,1506598,191657,2062,35,,,16376065,20.00,04/11/2018
27/11/2018,9320.0000,9320.0000,-0.98,9412.0000,9412.0000,9412.0000,9227.0000,16376065,1526249,86125,924,30,,,16376065,20.00,04/11/2018
26/11/2018,9412.0000,9412.0000,-0.92,9499.0000,9499.0000,9590.0000,9150.0000,16376065,1541315,55066,584,21,,,16376065,20.00,04/11/2018
25/11/2018,9499.0000,9499.0000,0.18,9482.0000,9482.0000,9557.0000,9404.0000,16376065,1555562,37657,396,11,,,16376065,20.00,04/11/2018
22/11/2018,9482.0000,9482.0000,-1.36,9613.0000,9613.0000,9545.0000,9400.0000,16376065,1552778,68978,727,11,,,16376065,20.00,04/11/2018
21/11/2018,9613.0000,9613.0000,0.02,9611.0000,9611.0000,9635.0000,9501.0000,16376065,1574231,90102,937,19,,,16376065,20.00,04/11/2018
20/11/2018,9611.0000,9611.0000,-3.05,9990.0000,9913.0000,9990.0000,9566.0000,16376065,1573904,143825,1480,23,,,16376065,20.00,04/11/2018
19/11/2018,9913.0000,9913.0000,-0.79,9992.0000,9992.0000,9994.0000,9750.0000,16376065,1623359,36580,369,11,,,16376065,20.00,04/11/2018
18/11/2018,9992.0000,9992.0000,0.73,9920.0000,9920.0000,10080.0000,9950.0000,16376065,1636296,115658,1157,12,,,16376065,20.00,04/11/2018
15/11/2018,9920.0000,9920.0000,1.00,9822.0000,9822.0000,9985.0000,9851.0000,16376065,1624506,52208,526,17,,,16376065,20.00,04/11/2018
