 Historical Data - End of Day FIBI BANK,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,7521.0268,7860.0000,1.72,7727.0000,7727.0000,7893.0000,7727.0000,100330040,7885941,11103727,141779,847,,,100330040,60.00,09/12/2018
30/12/2018,7393.7626,7727.0000,1.01,7650.0000,7650.0000,7790.0000,7650.0000,100330040,7752502,6118942,79251,644,,,100330040,60.00,09/12/2018
27/12/2018,7320.0834,7650.0000,-0.91,7829.0000,7720.0000,7907.0000,7650.0000,100330040,7675248,38114627,488852,1278,,,100330040,60.00,09/12/2018
26/12/2018,7387.0645,7720.0000,-0.41,7752.0000,7752.0000,7920.0000,7700.0000,100330040,7745479,12778172,163009,993,,,100330040,60.00,09/12/2018
25/12/2018,7417.6844,7752.0000,2.74,7395.0000,7545.0000,7860.0000,7253.0000,100330040,7777585,19499085,259082,1413,,,100330040,60.00,09/12/2018
24/12/2018,7219.6117,7545.0000,-2.10,7707.0000,7707.0000,7780.0000,7450.0000,100330040,7569902,16472520,216728,1314,,,100330040,60.00,09/12/2018
23/12/2018,7374.6252,7707.0000,-4.95,7950.0000,8108.0000,8070.0000,7603.0000,100330040,7732436,15779977,201760,1291,,,100330040,60.00,09/12/2018
20/12/2018,7758.3314,8108.0000,-1.84,8167.0000,8260.0000,8220.0000,8083.0000,100330040,8134760,20729287,254755,1024,,,100330040,60.00,09/12/2018
19/12/2018,7903.7762,8260.0000,2.42,8065.0000,8065.0000,8260.0000,8059.0000,100330040,8287261,15120978,183905,784,,,100330040,60.00,09/12/2018
18/12/2018,7717.1859,8065.0000,-0.19,8050.0000,8080.0000,8084.0000,8021.0000,100330040,8091618,9903200,123012,836,,,100330040,60.00,09/12/2018
17/12/2018,7731.5390,8080.0000,-0.44,8102.0000,8116.0000,8191.0000,8061.0000,100330040,8106667,9077160,111713,861,,,100330040,60.00,09/12/2018
16/12/2018,7765.9864,8116.0000,-1.27,8220.0000,8220.0000,8220.0000,8116.0000,100330040,8142786,4029757,49439,306,,,100330040,60.00,09/12/2018
13/12/2018,7865.5013,8220.0000,-0.41,8250.0000,8254.0000,8309.0000,8188.0000,100330040,8247129,9583825,116077,592,,,100330040,60.00,09/12/2018
12/12/2018,7898.0351,8254.0000,-0.41,8288.0000,8288.0000,8389.0000,8243.0000,100330040,8281242,7315081,88164,637,,,100330040,60.00,09/12/2018
11/12/2018,7930.5688,8288.0000,-0.14,8300.0000,8300.0000,8355.0000,8213.0000,100330040,8315354,15829858,191442,1180,,,100330040,60.00,09/12/2018
10/12/2018,7942.0513,8300.0000,0.48,8260.0000,8260.0000,8318.0000,8203.0000,100330040,8327393,9641704,116837,761,,,100330040,60.00,09/12/2018
09/12/2018,7903.7762,8260.0000,0.41,8192.0000,8226.0000,8270.0000,8189.0000,100330040,8287261,3582314,43483,325,,,100330040,60.00,09/12/2018
06/12/2018,7871.2425,8226.0000,-3.22,8320.0000,8500.0000,8403.0000,8226.0000,100330040,8253149,27018373,326667,970,,,100330040,60.00,04/11/2018
