 Historical Data - End of Day FIBI HOLDINGS,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,9123.4081,9599.0000,1.15,9490.0000,9490.0000,9627.0000,9490.0000,35452640,3403099,3525687,36903,416,,,35452640,35.00,09/12/2018
30/12/2018,9019.8086,9490.0000,1.51,9349.0000,9349.0000,9555.0000,9349.0000,35452640,3364456,1943460,20597,200,,,35452640,35.00,09/12/2018
27/12/2018,8885.7946,9349.0000,-0.54,9650.0000,9400.0000,9650.0000,9324.0000,35452640,3314467,2996654,31832,302,,,35452640,35.00,09/12/2018
26/12/2018,8934.2678,9400.0000,1.09,9299.0000,9299.0000,9443.0000,9232.0000,35452640,3332548,1846244,19744,233,,,35452640,35.00,09/12/2018
25/12/2018,8838.2719,9299.0000,3.32,8715.0000,9000.0000,9326.0000,8715.0000,35452640,3296741,4099294,45515,362,,,35452640,35.00,09/12/2018
24/12/2018,8554.0861,9000.0000,-1.42,9130.0000,9130.0000,9249.0000,8911.0000,35452640,3190738,5793267,63951,670,,,35452640,35.00,09/12/2018
23/12/2018,8677.6452,9130.0000,-3.88,9215.0000,9499.0000,9264.0000,9020.0000,35452640,3236826,3753866,41102,326,,,35452640,35.00,09/12/2018
20/12/2018,9028.3627,9499.0000,-0.95,9500.0000,9590.0000,9506.0000,9420.0000,35452640,3367646,5793191,61353,235,,,35452640,35.00,09/12/2018
19/12/2018,9114.8540,9590.0000,0.94,9519.0000,9501.0000,9677.0000,9482.0000,35452640,3399908,3954284,41241,242,,,35452640,35.00,09/12/2018
18/12/2018,9030.2636,9501.0000,-0.64,9560.0000,9562.0000,9560.0000,9370.0000,35452640,3368355,5155062,54753,242,,,35452640,35.00,09/12/2018
