 Historical Data - End of Day FORMULA,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,13652.1847,13860.0000,-0.07,13870.0000,13870.0000,14270.0000,13630.0000,14740338,2043011,1178162,8469,194,EX DIVIDEND,0.99071,14740338,80.00,09/12/2018
30/12/2018,13661.9757,14000.0000,2.41,13720.0000,13670.0000,14000.0000,13720.0000,14740338,2063647,1236947,8913,168,,,14740338,80.00,09/12/2018
27/12/2018,13339.9434,13670.0000,-1.44,14500.0000,13870.0000,14510.0000,13640.0000,14740338,2015004,1634161,11756,183,,,14740338,80.00,09/12/2018
26/12/2018,13535.1145,13870.0000,3.05,13460.0000,13460.0000,13940.0000,13450.0000,14740338,2044485,886177,6456,129,,,14740338,80.00,09/12/2018
25/12/2018,13135.0138,13460.0000,0.67,13370.0000,13370.0000,13950.0000,13040.0000,14740338,1984049,1758310,13208,154,,,14740338,80.00,09/12/2018
24/12/2018,13047.1868,13370.0000,0.00,13370.0000,13370.0000,13790.0000,13210.0000,14740338,1970783,2400497,17940,300,,,14740338,80.00,09/12/2018
23/12/2018,13047.1868,13370.0000,-4.98,13510.0000,14070.0000,13710.0000,13360.0000,14740338,1970783,1710160,12702,236,,,14740338,80.00,09/12/2018
20/12/2018,13730.2856,14070.0000,0.36,13800.0000,14020.0000,14070.0000,13690.0000,14740338,2073966,1801188,12887,169,,,14740338,80.00,09/12/2018
19/12/2018,13681.4928,14020.0000,3.93,13480.0000,13490.0000,14020.0000,13480.0000,14740338,2066595,2843168,20570,232,,,14740338,80.00,09/12/2018
18/12/2018,13164.2895,13490.0000,-1.60,13710.0000,13710.0000,13750.0000,13180.0000,14740338,1988472,1097329,8189,211,,,14740338,80.00,09/12/2018
17/12/2018,13378.9776,13710.0000,-0.44,13770.0000,13770.0000,14010.0000,13620.0000,14740338,2020900,1146048,8315,204,,,14740338,80.00,09/12/2018
16/12/2018,13437.5290,13770.0000,-3.37,13920.0000,14250.0000,14180.0000,13650.0000,14740338,2029745,509078,3655,112,,,14740338,80.00,09/12/2018
13/12/2018,13905.9395,14250.0000,-1.11,14410.0000,14410.0000,14590.0000,14100.0000,14740338,2100498,556130,3895,95,,,14740338,80.00,09/12/2018
12/12/2018,14062.0764,14410.0000,0.00,14410.0000,14410.0000,14630.0000,14340.0000,14740338,2124083,835158,5768,85,,,14740338,80.00,09/12/2018
11/12/2018,14062.0764,14410.0000,0.63,14300.0000,14320.0000,14550.0000,14260.0000,14740338,2124083,1155345,8037,166,,,14740338,80.00,09/12/2018
10/12/2018,13974.2494,14320.0000,-1.04,14470.0000,14470.0000,14480.0000,14300.0000,14740338,2110816,408268,2842,114,,,14740338,80.00,09/12/2018
09/12/2018,14120.6278,14470.0000,-0.96,14270.0000,14610.0000,14500.0000,14270.0000,14740338,2132927,976506,6779,133,,,14740338,80.00,09/12/2018
06/12/2018,14257.2475,14610.0000,-2.54,14920.0000,14990.0000,14940.0000,14610.0000,14740338,2153563,5054694,34507,210,,,14740338,80.00,04/11/2018
05/12/2018,14628.0726,14990.0000,1.97,14700.0000,14700.0000,15030.0000,14640.0000,14740338,2209577,2655442,17777,201,,,14740338,80.00,04/11/2018
04/12/2018,14345.0745,14700.0000,-1.21,14700.0000,14880.0000,15030.0000,14630.0000,14740338,2166830,894008,6052,174,,,14740338,80.00,04/11/2018
03/12/2018,14520.7285,14880.0000,-0.20,14910.0000,14910.0000,15020.0000,14810.0000,14740338,2193362,774415,5197,144,,,14740338,80.00,04/11/2018
02/12/2018,14550.0042,14910.0000,2.83,14780.0000,14500.0000,14950.0000,14720.0000,14740338,2197784,581283,3906,137,,,14740338,80.00,04/11/2018
29/11/2018,14149.9034,14500.0000,2.26,14230.0000,14180.0000,14500.0000,14110.0000,14740338,2137349,1053036,7315,141,,,14740338,80.00,04/11/2018
28/11/2018,13837.6297,14180.0000,3.65,13680.0000,13680.0000,14230.0000,13670.0000,14740338,2090180,726239,5219,123,,,14740338,80.00,04/11/2018
27/11/2018,13349.7020,13680.0000,0.96,13900.0000,13550.0000,13900.0000,13430.0000,14740338,2016478,1016229,7468,167,,,14740338,80.00,04/11/2018
26/11/2018,13222.8407,13550.0000,-0.29,13590.0000,13590.0000,13670.0000,13440.0000,14740338,1997316,1232454,9102,142,,,14740338,80.00,04/11/2018
25/11/2018,13261.8750,13590.0000,-0.59,13510.0000,13670.0000,13660.0000,13450.0000,14740338,2003212,311709,2301,77,,,14740338,80.00,04/11/2018
22/11/2018,13339.9434,13670.0000,-1.30,13850.0000,13850.0000,13960.0000,13600.0000,14740338,2015004,454233,3310,98,,,14740338,80.00,04/11/2018
21/11/2018,13515.5974,13850.0000,0.29,13810.0000,13810.0000,14140.0000,13730.0000,14740338,2041537,757231,5467,142,,,14740338,80.00,04/11/2018
20/11/2018,13476.5631,13810.0000,-2.54,13750.0000,14170.0000,14170.0000,13740.0000,14740338,2035641,1168591,8443,175,,,14740338,80.00,04/11/2018
19/11/2018,13827.8711,14170.0000,0.00,14170.0000,14170.0000,14230.0000,13750.0000,14740338,2088706,661650,4713,143,,,14740338,80.00,04/11/2018
18/11/2018,13827.8711,14170.0000,1.94,13900.0000,13900.0000,14310.0000,14150.0000,14740338,2088706,361497,2543,77,,,14740338,80.00,04/11/2018
15/11/2018,13564.3901,13900.0000,-3.81,14450.0000,14450.0000,14480.0000,13900.0000,14740338,2048907,997155,7063,157,,,14740338,80.00,04/11/2018
14/11/2018,14101.1106,14450.0000,0.00,14500.0000,14450.0000,14500.0000,14330.0000,14740338,2129979,513972,3565,96,,,14740338,80.00,04/11/2018
13/11/2018,14101.1106,14450.0000,-0.28,14480.0000,14490.0000,14630.0000,14040.0000,14740338,2129979,775114,5377,142,,,14740338,80.00,04/11/2018
12/11/2018,14140.1449,14490.0000,-2.62,14600.0000,14880.0000,14950.0000,14280.0000,14740338,2135875,681786,4644,113,,,14740338,80.00,04/11/2018
11/11/2018,14520.7285,14880.0000,0.13,14860.0000,14860.0000,14920.0000,14750.0000,14740338,2193362,290080,1956,72,,,14740338,80.00,04/11/2018
08/11/2018,14501.2113,14860.0000,-0.60,14950.0000,14950.0000,15070.0000,14770.0000,14740338,2190414,873160,5841,119,,,14740338,80.00,04/11/2018
07/11/2018,14589.0383,14950.0000,0.54,14870.0000,14870.0000,15000.0000,14840.0000,14740338,2203681,1085756,7268,229,,,14740338,80.00,04/11/2018
06/11/2018,14510.9699,14870.0000,2.34,14600.0000,14530.0000,14980.0000,14600.0000,14740338,2191888,708269,4789,128,,,14740338,80.00,04/11/2018
05/11/2018,14179.1791,14530.0000,-0.75,14640.0000,14640.0000,14640.0000,14440.0000,14740338,2141771,670312,4623,113,,,14740338,80.00,04/11/2018
04/11/2018,14286.5232,14640.0000,0.00,14700.0000,14640.0000,15080.0000,14600.0000,14740338,2157985,470818,3209,90,,,14740338,80.00,04/11/2018
01/11/2018,14286.5232,14640.0000,1.17,14470.0000,14470.0000,14660.0000,14410.0000,14740338,2157985,2248881,15376,137,,,14738782,80.00,07/10/2018
31/10/2018,14120.6278,14470.0000,2.26,14150.0000,14150.0000,14520.0000,14350.0000,14740338,2132927,625172,4323,161,,,14738782,80.00,07/10/2018
29/10/2018,13808.3540,14150.0000,1.65,13920.0000,13920.0000,14280.0000,13860.0000,14740338,2085758,864844,6133,127,,,14738782,80.00,07/10/2018
28/10/2018,13583.9073,13920.0000,0.07,14000.0000,13910.0000,14010.0000,13850.0000,14740338,2051855,1507305,10812,132,,,14738782,80.00,07/10/2018
25/10/2018,13574.1487,13910.0000,-0.29,13640.0000,13950.0000,13960.0000,13640.0000,14740338,2050381,1616979,11674,185,,,14738782,80.00,07/10/2018
24/10/2018,13613.1830,13950.0000,1.45,13750.0000,13750.0000,13990.0000,13810.0000,14740338,2056277,487690,3503,93,,,14738782,80.00,07/10/2018
23/10/2018,13418.0119,13750.0000,-2.41,14000.0000,14090.0000,14010.0000,13700.0000,14740338,2026796,7319888,53154,217,,,14738782,80.00,07/10/2018
22/10/2018,13749.8027,14090.0000,-0.63,14180.0000,14180.0000,14430.0000,14070.0000,14740338,2076914,1503756,10612,119,,,14738782,80.00,07/10/2018
21/10/2018,13837.6297,14180.0000,-1.66,14420.0000,14420.0000,14350.0000,14100.0000,14740338,2090180,575966,4042,79,,,14738782,80.00,07/10/2018
18/10/2018,14071.8349,14420.0000,-0.21,14450.0000,14450.0000,14580.0000,14320.0000,14740338,2125557,902838,6253,89,,,14738782,80.00,07/10/2018
17/10/2018,14101.1106,14450.0000,-0.21,14480.0000,14480.0000,14640.0000,14280.0000,14740338,2129979,854430,5924,141,,,14738782,80.00,07/10/2018
16/10/2018,14130.3863,14480.0000,0.91,14350.0000,14350.0000,14580.0000,14350.0000,14740338,2134401,746662,5156,144,,,14738782,80.00,07/10/2018
15/10/2018,14003.5251,14350.0000,-2.05,14650.0000,14650.0000,14650.0000,14260.0000,14740338,2115239,1391821,9663,215,,,14738782,80.00,07/10/2018
14/10/2018,14296.2818,14650.0000,0.76,14550.0000,14540.0000,14790.0000,14550.0000,14740338,2159460,416271,2837,73,,,14738782,80.00,07/10/2018
11/10/2018,14188.9376,14540.0000,-1.36,14740.0000,14740.0000,14740.0000,14220.0000,14740338,2143245,1442301,9913,162,,,14738782,80.00,07/10/2018
10/10/2018,14384.1087,14740.0000,-1.21,15000.0000,14920.0000,15000.0000,14710.0000,14740338,2172726,1467323,9877,165,,,14738782,80.00,07/10/2018
09/10/2018,14559.7627,14920.0000,0.34,14990.0000,14870.0000,14990.0000,14800.0000,14740338,2199258,1341117,9011,128,,,14738782,80.00,07/10/2018
08/10/2018,14510.9699,14870.0000,-0.47,14940.0000,14940.0000,15120.0000,14710.0000,14740338,2191888,878719,5897,158,,,14738782,80.00,07/10/2018
07/10/2018,14579.2798,14940.0000,-1.32,15140.0000,15140.0000,15150.0000,14860.0000,14740338,2202207,578057,3848,92,,,14738782,80.00,07/10/2018
04/10/2018,14774.4509,15140.0000,-2.95,15600.0000,15600.0000,15600.0000,15140.0000,14740338,2231687,4018410,26479,198,,,14738782,80.00,12/09/2018
03/10/2018,15223.3444,15600.0000,0.00,15600.0000,15600.0000,15720.0000,15280.0000,14739761,2299403,1303884,8377,254,,,14738782,80.00,12/09/2018
02/10/2018,15223.3444,15600.0000,2.09,15760.0000,15280.0000,15800.0000,15410.0000,14739761,2299403,3426778,21838,400,,,14738782,80.00,12/09/2018
