 Historical Data - End of Day POALIM,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,2301.4288,2365.0000,0.55,2365.0000,2352.0000,2382.0000,2357.0000,1333703474,31542087,50031718,2113528,1863,,,1333703474,80.00,09/12/2018
30/12/2018,2288.7782,2352.0000,0.81,2361.0000,2333.0000,2370.0000,2349.0000,1333703474,31368706,33806551,1434582,1319,,,1333703474,80.00,09/12/2018
27/12/2018,2270.2890,2333.0000,-2.99,2467.0000,2405.0000,2468.0000,2332.0000,1333703474,31115302,129726474,5355980,2881,,,1333703474,80.00,09/12/2018
26/12/2018,2340.3536,2405.0000,0.50,2390.0000,2393.0000,2434.0000,2370.0000,1333703474,32075569,40450832,1681588,1615,,,1333703474,80.00,09/12/2018
25/12/2018,2328.6762,2393.0000,3.59,2276.0000,2310.0000,2393.0000,2210.0000,1333703474,31915524,71504725,3118326,2772,,,1333703474,80.00,09/12/2018
24/12/2018,2247.9072,2310.0000,-3.43,2400.0000,2392.0000,2408.0000,2288.0000,1333703474,30808550,82176947,3502043,3286,,,1333703474,80.00,09/12/2018
23/12/2018,2327.7030,2392.0000,-4.32,2440.0000,2500.0000,2449.0000,2345.0000,1333703474,31902187,72782276,3033687,2621,,,1333703474,80.00,09/12/2018
20/12/2018,2432.8000,2500.0000,-0.48,2474.0000,2512.0000,2500.0000,2460.0000,1333703474,33342587,117981850,4744039,2766,,,1333703474,80.00,09/12/2018
19/12/2018,2444.4774,2512.0000,1.49,2489.0000,2475.0000,2512.0000,2481.0000,1333703474,33502631,70041752,2796839,1625,,,1333703474,80.00,09/12/2018
18/12/2018,2408.4720,2475.0000,0.12,2472.0000,2472.0000,2481.0000,2451.0000,1333703474,33009161,55112846,2231425,1824,,,1333703474,80.00,09/12/2018
