 Historical Data - End of Day HAREL,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,2309.5702,2459.0000,0.65,2444.0000,2443.0000,2479.0000,2440.0000,214378773,5271574,6191494,251713,572,,,214378773,60.00,09/12/2018
30/12/2018,2294.5425,2443.0000,-0.49,2457.0000,2455.0000,2481.0000,2433.0000,214378773,5237273,6997544,285656,516,,,214378773,60.00,09/12/2018
27/12/2018,2305.8133,2455.0000,-1.01,2545.0000,2480.0000,2545.0000,2400.0000,214378773,5262999,27966532,1128739,896,,,214378773,60.00,09/12/2018
26/12/2018,2329.2940,2480.0000,-0.80,2493.0000,2500.0000,2554.0000,2475.0000,214378773,5316594,4088825,163406,481,,,214378773,60.00,09/12/2018
25/12/2018,2348.0786,2500.0000,1.21,2406.0000,2470.0000,2540.0000,2351.0000,214378773,5359469,12653005,522600,1077,,,214378773,60.00,09/12/2018
24/12/2018,2319.9017,2470.0000,-3.82,2593.0000,2568.0000,2593.0000,2430.0000,214378773,5295156,10944090,437626,896,,,214378773,60.00,09/12/2018
23/12/2018,2411.9465,2568.0000,-3.06,2592.0000,2649.0000,2592.0000,2502.0000,214378773,5505247,12349965,486865,933,,,214378773,60.00,09/12/2018
20/12/2018,2488.0241,2649.0000,-1.27,2650.0000,2683.0000,2668.0000,2633.0000,214378773,5678894,6047578,227853,472,,,214378773,60.00,09/12/2018
19/12/2018,2519.9580,2683.0000,1.36,2653.0000,2647.0000,2683.0000,2651.0000,214378773,5751782,7058939,263973,380,,,214378773,60.00,09/12/2018
18/12/2018,2486.1457,2647.0000,-0.23,2669.0000,2653.0000,2669.0000,2625.0000,214378773,5674606,14488586,549125,577,,,214378773,60.00,09/12/2018
17/12/2018,2491.7810,2653.0000,0.23,2641.0000,2647.0000,2673.0000,2622.0000,214378773,5687469,3663006,138292,422,,,214378773,60.00,09/12/2018
16/12/2018,2486.1457,2647.0000,-2.04,2666.0000,2702.0000,2683.0000,2634.0000,214378773,5674606,2625790,98927,258,,,214378773,60.00,09/12/2018
13/12/2018,2537.8034,2702.0000,0.45,2690.0000,2690.0000,2725.0000,2660.0000,214378773,5792514,8944063,332233,636,,,214378773,60.00,09/12/2018
12/12/2018,2526.5327,2690.0000,-0.74,2737.0000,2710.0000,2753.0000,2690.0000,214378773,5766789,4334592,159419,426,,,214378773,60.00,09/12/2018
11/12/2018,2545.3173,2710.0000,1.88,2670.0000,2660.0000,2735.0000,2670.0000,214378773,5809665,8040094,297353,823,,,214378773,60.00,09/12/2018
10/12/2018,2498.3557,2660.0000,-2.56,2733.0000,2730.0000,2749.0000,2660.0000,214378773,5702475,9180014,342201,722,,,214378773,60.00,09/12/2018
