 Historical Data - End of Day HILAN,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,8705.7203,8787.0000,1.55,8653.0000,8653.0000,8872.0000,8653.0000,22482677,1975553,5075093,57540,445,,,22482677,80.00,09/12/2018
30/12/2018,8572.9598,8653.0000,3.88,8330.0000,8330.0000,8676.0000,8330.0000,22482677,1945426,2018217,23684,246,,,22482677,80.00,09/12/2018
27/12/2018,8252.9475,8330.0000,0.45,8660.0000,8293.0000,8660.0000,8306.0000,22482677,1872807,3001864,35615,380,,,22482677,80.00,09/12/2018
26/12/2018,8216.2898,8293.0000,2.40,8219.0000,8099.0000,8337.0000,8117.0000,22482677,1864488,6407929,78166,313,,,22482677,80.00,09/12/2018
25/12/2018,8024.0843,8099.0000,1.91,7923.0000,7947.0000,8100.0000,7750.0000,22482677,1820872,3565627,45288,333,,,22482677,80.00,09/12/2018
24/12/2018,7873.4903,7947.0000,-0.49,7900.0000,7986.0000,8011.0000,7705.0000,22482677,1786698,4872653,61337,596,,,22482677,80.00,09/12/2018
23/12/2018,7912.1295,7986.0000,-3.98,8180.0000,8317.0000,8180.0000,7828.0000,22482677,1795467,5657424,71195,554,,,22482677,80.00,09/12/2018
20/12/2018,8240.0678,8317.0000,-1.74,8464.0000,8464.0000,8464.0000,8218.0000,22482677,1869884,3737755,45081,348,,,22482677,80.00,09/12/2018
19/12/2018,8385.7080,8464.0000,1.85,8310.0000,8310.0000,8499.0000,8310.0000,22482677,1902934,3566872,42238,344,,,22482677,80.00,09/12/2018
18/12/2018,8233.1325,8310.0000,-2.64,8496.0000,8535.0000,8507.0000,8310.0000,22482677,1868310,7557260,89591,394,,,22482677,80.00,09/12/2018
17/12/2018,8456.0513,8535.0000,-0.88,8600.0000,8611.0000,8600.0000,8450.0000,22482677,1918896,2211927,25914,335,,,22482677,80.00,09/12/2018
16/12/2018,8531.3483,8611.0000,-1.08,8702.0000,8705.0000,8703.0000,8552.0000,22482677,1935983,1197015,13901,143,,,22482677,80.00,09/12/2018
13/12/2018,8624.4788,8705.0000,-0.84,8766.0000,8779.0000,8770.0000,8702.0000,22482677,1957117,1257466,14403,187,,,22482677,80.00,09/12/2018
12/12/2018,8697.7943,8779.0000,-0.03,8800.0000,8782.0000,8800.0000,8746.0000,22482677,1973754,1800743,20523,188,,,22482677,80.00,09/12/2018
11/12/2018,8700.7665,8782.0000,1.42,8563.0000,8659.0000,8795.0000,8563.0000,22482677,1974429,4294165,49311,269,,,22482677,80.00,09/12/2018
10/12/2018,8578.9043,8659.0000,0.14,8700.0000,8647.0000,8700.0000,8559.0000,22482677,1946775,1736169,20116,270,,,22482677,80.00,09/12/2018
09/12/2018,8567.0153,8647.0000,0.06,8616.0000,8642.0000,8696.0000,8616.0000,22482677,1944077,374810,4329,93,,,22482677,80.00,09/12/2018
06/12/2018,8562.0615,8642.0000,-1.80,8763.0000,8800.0000,8800.0000,8625.0000,22482677,1942953,2828983,32648,246,,,22482677,80.00,04/11/2018
05/12/2018,8718.6000,8800.0000,-0.79,8825.0000,8870.0000,8887.0000,8750.0000,22482677,1978476,5399727,61363,289,,,22482677,80.00,04/11/2018
04/12/2018,8787.9525,8870.0000,-2.55,9100.0000,9102.0000,9100.0000,8870.0000,22482677,1994213,3767559,42082,421,,,22482677,80.00,04/11/2018
03/12/2018,9017.8065,9102.0000,0.64,9050.0000,9044.0000,9125.0000,9050.0000,22482677,2046373,7381020,81133,508,,,22482677,80.00,04/11/2018
02/12/2018,8960.3430,9044.0000,1.63,9064.0000,8899.0000,9139.0000,9007.0000,22482677,2033333,4064601,44760,308,,,22482677,80.00,04/11/2018
29/11/2018,8816.6843,8899.0000,-0.75,8990.0000,8966.0000,9067.0000,8899.0000,22482677,2000733,22487285,252221,550,,,22482677,80.00,04/11/2018
28/11/2018,8883.0645,8966.0000,-0.18,8982.0000,8982.0000,9064.0000,8900.0000,22482677,2015797,2597251,28826,333,,,22482677,80.00,04/11/2018
27/11/2018,8898.9165,8982.0000,0.46,8945.0000,8941.0000,8989.0000,8833.0000,22482677,2019394,3251465,36433,509,,,22482677,80.00,04/11/2018
26/11/2018,8858.2958,8941.0000,-0.60,9088.0000,8995.0000,9088.0000,8930.0000,22482677,2010176,2339630,25986,324,,,22482677,80.00,04/11/2018
25/11/2018,8911.7963,8995.0000,-0.20,9000.0000,9013.0000,9000.0000,8915.0000,22482677,2022317,1222253,13610,283,,,22482677,80.00,04/11/2018
22/11/2018,8929.6298,9013.0000,-0.08,9026.0000,9020.0000,9058.0000,8940.0000,22482677,2026364,7306785,81155,337,,,22482677,80.00,04/11/2018
21/11/2018,8936.5650,9020.0000,-0.03,9023.0000,9023.0000,9095.0000,8932.0000,22482677,2027937,12767149,141750,479,,,22482677,80.00,04/11/2018
20/11/2018,8939.5373,9023.0000,-0.47,9018.0000,9066.0000,9081.0000,8924.0000,22482677,2028612,5019416,55688,490,,,22482677,80.00,04/11/2018
19/11/2018,8982.1395,9066.0000,1.38,9050.0000,8943.0000,9130.0000,9035.0000,22482677,2038280,5504035,60618,504,,,22482677,80.00,04/11/2018
18/11/2018,8860.2773,8943.0000,0.43,8911.0000,8905.0000,8999.0000,8909.0000,22482677,2010626,954021,10642,268,,,22482677,80.00,04/11/2018
15/11/2018,8822.6288,8905.0000,-1.25,8991.0000,9018.0000,9085.0000,8902.0000,22482677,2002082,1798161,19988,311,,,22482677,80.00,04/11/2018
14/11/2018,8934.5835,9018.0000,0.22,9000.0000,8998.0000,9179.0000,8970.0000,22482677,2027488,4855622,53578,481,,,22482677,80.00,04/11/2018
13/11/2018,8914.7685,8998.0000,-0.02,8994.0000,9000.0000,9003.0000,8882.0000,22482677,2022991,6106350,68543,352,,,22482677,80.00,04/11/2018
12/11/2018,8916.7500,9000.0000,1.56,8862.0000,8862.0000,9000.0000,8862.0000,22482677,2023441,2188450,24428,370,,,22482677,80.00,04/11/2018
11/11/2018,8780.0265,8862.0000,-0.21,8881.0000,8881.0000,8948.0000,8855.0000,22482677,1992415,701084,7871,160,,,22482677,80.00,04/11/2018
08/11/2018,8798.8508,8881.0000,0.12,8876.0000,8870.0000,8930.0000,8876.0000,22482677,1996687,1783941,20035,300,,,22482677,80.00,04/11/2018
07/11/2018,8787.9525,8870.0000,-0.29,8892.0000,8896.0000,8951.0000,8854.0000,22482677,1994213,1646435,18477,329,,,22482677,80.00,04/11/2018
06/11/2018,8813.7120,8896.0000,1.55,8760.0000,8760.0000,8896.0000,8760.0000,22482677,2000059,1413225,15990,253,,,22482677,80.00,04/11/2018
05/11/2018,8678.9700,8760.0000,-1.86,8926.0000,8926.0000,8926.0000,8720.0000,22482677,1969483,1967775,22418,346,,,22482677,80.00,04/11/2018
04/11/2018,8843.4345,8926.0000,-0.21,8939.0000,8945.0000,8964.0000,8870.0000,22482677,2006804,611543,6864,118,,,22482677,80.00,04/11/2018
