 Historical Data - End of Day ICL,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,2031.2758,2120.0000,0.19,2128.0000,2116.0000,2135.0000,2110.0000,1280301147,27142384,28397945,1338337,1309,,,1280201147,60.00,09/12/2018
30/12/2018,2027.4432,2116.0000,1.49,2123.0000,2085.0000,2144.0000,2106.0000,1280301147,27091172,25300522,1189974,1424,,,1280201147,60.00,09/12/2018
27/12/2018,1997.7407,2085.0000,1.96,2115.0000,2045.0000,2115.0000,2046.0000,1280201147,26692194,76492960,3645870,2322,,,1280201147,60.00,09/12/2018
26/12/2018,1959.4147,2045.0000,1.49,2005.0000,2015.0000,2082.0000,2005.0000,1280201147,26180113,32398033,1580179,1431,,,1280201147,60.00,09/12/2018
25/12/2018,1930.6703,2015.0000,2.60,1933.0000,1964.0000,2024.0000,1905.0000,1280201147,25796053,29962772,1518814,1815,,,1280201147,60.00,09/12/2018
24/12/2018,1881.8046,1964.0000,-0.30,1988.0000,1970.0000,2017.0000,1942.0000,1280201147,25143151,43797607,2212111,2500,,,1280201147,60.00,09/12/2018
23/12/2018,1887.5535,1970.0000,-1.89,1998.0000,2008.0000,1998.0000,1923.0000,1280201147,25219963,45644211,2310711,1955,,,1280201147,60.00,09/12/2018
20/12/2018,1923.9633,2008.0000,-1.08,1995.0000,2030.0000,2021.0000,1989.0000,1280201147,25706439,73053710,3641576,2303,,,1280201147,60.00,09/12/2018
19/12/2018,1945.0424,2030.0000,0.74,2023.0000,2015.0000,2036.0000,2006.0000,1280201147,25988083,62923578,3109544,2114,,,1280201147,60.00,09/12/2018
18/12/2018,1930.6703,2015.0000,-0.40,2024.0000,2023.0000,2039.0000,1990.0000,1280201147,25796053,44738087,2223483,1978,,,1280201147,60.00,09/12/2018
17/12/2018,1938.3354,2023.0000,-1.51,2054.0000,2054.0000,2083.0000,2006.0000,1280201147,25898469,38936725,1902899,2162,,,1280201147,60.00,09/12/2018
16/12/2018,1968.0380,2054.0000,-3.07,2075.0000,2119.0000,2092.0000,2054.0000,1280201147,26295332,14977103,723885,1004,,,1280201147,60.00,09/12/2018
13/12/2018,2030.3177,2119.0000,-0.14,2100.0000,2122.0000,2131.0000,2100.0000,1280201147,27127462,60878128,2875289,1715,,,1280201147,60.00,09/12/2018
12/12/2018,2033.1921,2122.0000,-0.38,2130.0000,2130.0000,2138.0000,2090.0000,1280201147,27165868,48682260,2297180,2314,,,1280201147,60.00,09/12/2018
11/12/2018,2040.8573,2130.0000,0.61,2130.0000,2117.0000,2143.0000,2121.0000,1280201147,27268284,55756642,2614624,2308,,,1280201147,60.00,09/12/2018
10/12/2018,2028.4015,2117.0000,-1.07,2120.0000,2140.0000,2143.0000,2111.0000,1280201147,27101858,35448211,1666634,1960,,,1280201147,60.00,09/12/2018
09/12/2018,2050.4389,2140.0000,1.18,2104.0000,2115.0000,2144.0000,2099.0000,1280201147,27396305,12228279,576136,653,,,1280201147,60.00,09/12/2018
06/12/2018,2026.4852,2115.0000,-2.04,2122.0000,2159.0000,2132.0000,2098.0000,1280201147,27076254,77404941,3662047,2182,,,1280201147,60.00,04/11/2018
05/12/2018,2068.6437,2159.0000,1.79,2098.0000,2121.0000,2159.0000,2095.0000,1280201147,27639543,84374509,3934083,1655,,,1280201147,60.00,04/11/2018
04/12/2018,2032.2340,2121.0000,-2.62,2173.0000,2178.0000,2195.0000,2121.0000,1280201147,27153066,57544218,2670659,2209,EX DIVIDEND,0.99135,1280201147,60.00,04/11/2018
03/12/2018,2086.8447,2197.0000,-1.48,2250.0000,2230.0000,2275.0000,2197.0000,1280201147,28126019,56724979,2535625,3098,,,1280201147,60.00,04/11/2018
02/12/2018,2118.1901,2230.0000,2.58,2220.0000,2174.0000,2230.0000,2205.0000,1280201147,28548486,21310528,960171,1013,,,1280201147,60.00,04/11/2018
29/11/2018,2064.9977,2174.0000,-2.77,2225.0000,2236.0000,2237.0000,2174.0000,1280201147,27831573,165460086,7555892,2164,,,1280201147,60.00,04/11/2018
28/11/2018,2123.8892,2236.0000,-0.93,2271.0000,2257.0000,2274.0000,2236.0000,1280201147,28625298,31075652,1378882,1982,,,1280201147,60.00,04/11/2018
27/11/2018,2143.8364,2257.0000,1.94,2210.0000,2214.0000,2276.0000,2210.0000,1280201147,28894140,43031304,1904512,2093,,,1280201147,60.00,04/11/2018
26/11/2018,2102.9922,2214.0000,4.04,2147.0000,2128.0000,2214.0000,2145.0000,1280201147,28343653,54702366,2503544,2520,,,1280201147,60.00,04/11/2018
25/11/2018,2021.3043,2128.0000,-1.71,2149.0000,2165.0000,2150.0000,2125.0000,1280201147,27242680,23792475,1114954,1337,,,1280201147,60.00,04/11/2018
22/11/2018,2056.4492,2165.0000,-1.95,2210.0000,2208.0000,2210.0000,2152.0000,1280201147,27716355,40180186,1844575,2008,,,1280201147,60.00,04/11/2018
21/11/2018,2097.2931,2208.0000,-0.23,2215.0000,2213.0000,2225.0000,2198.0000,1280201147,28266841,40240060,1822637,2314,,,1280201147,60.00,04/11/2018
20/11/2018,2102.0424,2213.0000,-3.02,2252.0000,2282.0000,2269.0000,2200.0000,1280201147,28330851,49645146,2220229,2079,,,1280201147,60.00,04/11/2018
