 Historical Data - End of Day INDUS BUILDING,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,519.5000,519.5000,0.15,518.7000,518.7000,524.1000,503.3000,447117318,2322774,2085996,404596,258,,,447117318,35.00,09/12/2018
30/12/2018,518.7000,518.7000,3.76,499.9000,499.9000,518.7000,495.6000,447117318,2319198,2540796,507473,172,,,447117318,35.00,09/12/2018
27/12/2018,499.9000,499.9000,1.94,528.9000,490.4000,528.9000,482.0000,447117318,2235139,1538783,311650,221,,,447117318,35.00,09/12/2018
26/12/2018,490.4000,490.4000,0.35,488.7000,488.7000,506.9000,484.0000,447117318,2192663,486730,98812,126,,,447117318,35.00,09/12/2018
25/12/2018,488.7000,488.7000,0.49,486.0000,486.3000,489.0000,457.4000,447117318,2185062,2358900,491828,278,,,447117318,35.00,09/12/2018
24/12/2018,486.3000,486.3000,-3.49,500.0000,503.9000,508.3000,477.2000,447117318,2174332,915719,188387,170,,,447117318,35.00,09/12/2018
23/12/2018,503.9000,503.9000,-3.82,515.4000,523.9000,515.4000,480.0000,447117318,2253024,975655,195521,195,,,447117318,35.00,09/12/2018
20/12/2018,523.9000,523.9000,-1.30,525.0000,530.8000,531.0000,514.0000,447117318,2342448,789326,150795,188,,,447117318,35.00,09/12/2018
19/12/2018,530.8000,530.8000,0.53,528.0000,528.0000,538.5000,522.0000,447117318,2373299,3122996,587891,264,,,447117318,35.00,09/12/2018
18/12/2018,528.0000,528.0000,-0.88,532.7000,532.7000,535.0000,520.2000,447117318,2360779,1995388,379044,291,,,447117318,35.00,09/12/2018
17/12/2018,532.7000,532.7000,0.85,525.0000,528.2000,534.0000,509.1000,447117318,2381794,1972345,373067,329,,,447117318,35.00,09/12/2018
16/12/2018,528.2000,528.2000,-0.51,530.5000,530.9000,538.9000,525.3000,447117318,2361674,1339224,252044,149,,,447117318,35.00,09/12/2018
13/12/2018,530.9000,530.9000,1.18,529.5000,524.7000,534.8000,520.9000,447117318,2373746,1294697,246660,218,,,447117318,35.00,09/12/2018
12/12/2018,524.7000,524.7000,-0.93,529.6000,529.6000,534.7000,514.3000,447117318,2346025,1149951,218290,136,,,447117318,35.00,09/12/2018
11/12/2018,529.6000,529.6000,0.00,529.6000,529.6000,533.4000,527.0000,447117318,2367933,1038478,196130,160,,,447117318,35.00,09/12/2018
10/12/2018,529.6000,529.6000,-1.84,539.5000,539.5000,539.5000,527.5000,447117318,2367933,1325911,248011,204,,,447117318,35.00,09/12/2018
09/12/2018,539.5000,539.5000,-0.02,537.0000,539.6000,540.9000,535.2000,447117318,2412198,1732306,321426,154,,,447117318,35.00,09/12/2018
06/12/2018,539.6000,539.6000,-2.74,554.8000,554.8000,554.8000,539.6000,447117318,2412645,1920279,353534,164,,,447117318,35.00,04/11/2018
05/12/2018,554.8000,554.8000,0.45,551.9000,552.3000,554.8000,549.0000,447117318,2480607,1622604,292867,180,,,447117318,35.00,04/11/2018
04/12/2018,552.3000,552.3000,-0.16,553.2000,553.2000,554.0000,545.8000,447117318,2469429,1027045,186260,223,,,447117318,35.00,04/11/2018
03/12/2018,553.2000,553.2000,0.75,554.0000,549.1000,554.0000,550.6000,447117318,2473453,500243,90400,129,,,447117318,35.00,04/11/2018
02/12/2018,549.1000,549.1000,0.94,543.6000,544.0000,550.9000,533.1000,447117318,2455121,1784493,325468,237,,,447117318,35.00,04/11/2018
