 Historical Data - End of Day ISRAEL CORP,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,99250.0000,99250.0000,-0.74,100100.0000,99990.0000,101200.0000,99170.0000,7698467,7640729,6748991,6763,454,,,7698467,60.00,09/12/2018
30/12/2018,99990.0000,99990.0000,2.05,100100.0000,97980.0000,102000.0000,98530.0000,7698467,7697697,7854268,7849,688,,,7698467,60.00,09/12/2018
27/12/2018,97980.0000,97980.0000,1.96,96580.0000,96100.0000,99000.0000,96380.0000,7698467,7542958,25473569,26190,1170,,,7698467,60.00,09/12/2018
26/12/2018,96100.0000,96100.0000,1.96,94250.0000,94250.0000,100000.0000,94170.0000,7698467,7398227,11875986,12185,887,,,7698467,60.00,09/12/2018
25/12/2018,94250.0000,94250.0000,4.12,89500.0000,90520.0000,95370.0000,87010.0000,7698467,7255805,9236852,10032,979,,,7698467,60.00,09/12/2018
24/12/2018,90520.0000,90520.0000,0.02,91250.0000,90500.0000,93500.0000,89720.0000,7698467,6968652,11178282,12226,839,,,7698467,60.00,09/12/2018
23/12/2018,90500.0000,90500.0000,-4.16,93000.0000,94430.0000,93320.0000,88060.0000,7698467,6967113,9672125,10550,839,,,7698467,60.00,09/12/2018
20/12/2018,94430.0000,94430.0000,-2.65,94890.0000,97000.0000,95680.0000,94290.0000,7698467,7269662,14998116,15821,657,,,7698467,60.00,09/12/2018
19/12/2018,97000.0000,97000.0000,0.52,97000.0000,96500.0000,97400.0000,95850.0000,7698467,7467513,13338339,13769,641,,,7698467,60.00,09/12/2018
18/12/2018,96500.0000,96500.0000,-1.81,98280.0000,98280.0000,98970.0000,95790.0000,7698467,7429021,11105297,11459,818,,,7698467,60.00,09/12/2018
17/12/2018,98280.0000,98280.0000,-2.60,100900.0000,100900.0000,101700.0000,98000.0000,7698467,7566053,11715621,11760,863,,,7698467,60.00,09/12/2018
16/12/2018,100900.0000,100900.0000,-3.90,103300.0000,105000.0000,103500.0000,100600.0000,7698467,7767753,6207231,6062,386,,,7698467,60.00,09/12/2018
13/12/2018,105000.0000,105000.0000,-0.66,104800.0000,105700.0000,106000.0000,104300.0000,7698467,8083390,11595612,11039,589,,,7698467,60.00,09/12/2018
12/12/2018,105700.0000,105700.0000,-1.21,107000.0000,107000.0000,107300.0000,105000.0000,7698467,8137280,15348188,14424,714,,,7698467,60.00,09/12/2018
11/12/2018,107000.0000,107000.0000,0.94,106800.0000,106000.0000,108000.0000,105400.0000,7698467,8237360,13645823,12783,974,,,7698467,60.00,09/12/2018
10/12/2018,106000.0000,106000.0000,0.76,105200.0000,105200.0000,106700.0000,104300.0000,7698467,8160375,9735385,9205,743,,,7698467,60.00,09/12/2018
09/12/2018,105200.0000,105200.0000,0.19,104400.0000,105000.0000,105500.0000,103800.0000,7698467,8098787,5259474,5015,451,,,7698467,60.00,09/12/2018
06/12/2018,105000.0000,105000.0000,-3.85,107600.0000,109200.0000,108000.0000,104000.0000,7698467,8083390,21926277,20764,862,,,7698467,60.00,04/11/2018
05/12/2018,109200.0000,109200.0000,2.54,105100.0000,106500.0000,109200.0000,105100.0000,7698467,8406726,31513160,29042,810,,,7698467,60.00,04/11/2018
04/12/2018,106500.0000,106500.0000,-3.71,110600.0000,110600.0000,110600.0000,106500.0000,7698467,8198867,15450943,14334,852,,,7698467,60.00,04/11/2018
03/12/2018,110600.0000,110600.0000,-0.90,112100.0000,111600.0000,113700.0000,108900.0000,7698467,8514505,12501006,11264,868,,,7698467,60.00,04/11/2018
02/12/2018,111600.0000,111600.0000,3.33,110200.0000,108000.0000,111600.0000,109700.0000,7698467,8591489,5541968,5007,400,,,7698467,60.00,04/11/2018
29/11/2018,108000.0000,108000.0000,-1.73,109000.0000,109900.0000,109900.0000,107000.0000,7698467,8314344,27861280,25698,1022,,,7698467,60.00,04/11/2018
