 Historical Data - End of Day ISRAMCO       L,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,75.1720,37.2000,2.48,36.8000,36.3000,37.2000,36.6000,12952285015,4818250,6909025,18721736,523,EX DIVIDEND,0.89630,12952285015,80.00,09/12/2018
30/12/2018,73.3537,40.5000,2.27,39.9000,39.6000,40.5000,39.7000,12952285015,5245675,8211740,20515281,600,,,12952285015,80.00,09/12/2018
27/12/2018,71.7237,39.6000,-0.25,40.0000,39.7000,40.3000,39.5000,12952285015,5129105,24639587,61700628,1012,,,12952285015,80.00,09/12/2018
26/12/2018,71.9045,39.7000,0.00,39.5000,39.7000,40.5000,39.5000,12952285015,5142057,9066314,22544162,637,,,12952285015,80.00,09/12/2018
25/12/2018,71.9045,39.7000,0.51,39.4000,39.5000,39.8000,38.5000,12952285015,5142057,30829987,78134656,1341,,,12952285015,80.00,09/12/2018
24/12/2018,71.5426,39.5000,-1.99,40.5000,40.3000,40.5000,39.1000,12952285015,5116153,13983374,35338629,900,,,12952285015,80.00,09/12/2018
23/12/2018,72.9914,40.3000,-2.66,40.5000,41.4000,40.5000,39.1000,12952285015,5219771,15069001,37619402,957,,,12952285015,80.00,09/12/2018
20/12/2018,74.9836,41.4000,-1.66,41.0000,42.1000,41.5000,40.9000,12952285015,5362246,9693205,23576387,518,,,12952285015,80.00,09/12/2018
19/12/2018,76.2513,42.1000,1.69,41.6000,41.4000,42.4000,41.3000,12952285015,5452912,14907705,35546739,577,,,12952285015,80.00,09/12/2018
18/12/2018,74.9836,41.4000,-2.82,42.6000,42.6000,42.6000,41.2000,12952285015,5362246,6933431,16689514,598,,,12952285015,80.00,09/12/2018
17/12/2018,77.1572,42.6000,-0.47,42.8000,42.8000,43.0000,42.3000,12952285015,5517673,7497251,17588348,580,,,12952285015,80.00,09/12/2018
16/12/2018,77.5193,42.8000,-0.93,42.5000,43.2000,43.1000,42.5000,12952285015,5543578,2144350,5005376,205,,,12952285015,80.00,09/12/2018
13/12/2018,78.2438,43.2000,0.23,43.1000,43.1000,43.8000,42.9000,12952285015,5595387,8073524,18645291,415,,,12952285015,80.00,09/12/2018
12/12/2018,78.0627,43.1000,-0.23,43.5000,43.2000,43.8000,43.1000,12952285015,5582435,6284700,14465134,475,,,12952285015,80.00,09/12/2018
11/12/2018,78.2438,43.2000,1.41,42.5000,42.6000,43.7000,42.4000,12952285015,5595387,15014879,34814238,721,,,12952285015,80.00,09/12/2018
10/12/2018,77.1572,42.6000,0.24,42.5000,42.5000,42.9000,42.3000,12952285015,5517673,9128293,21406883,664,,,12952285015,80.00,09/12/2018
09/12/2018,76.9761,42.5000,2.41,41.2000,41.5000,42.7000,41.2000,12952285015,5504721,5582479,13214143,371,,,12952285015,80.00,09/12/2018
06/12/2018,75.1649,41.5000,-2.58,42.2000,42.6000,42.4000,41.5000,12952285015,5375198,14241670,34052187,518,,,12952285015,80.00,04/11/2018
05/12/2018,77.1572,42.6000,2.40,41.2000,41.6000,42.6000,41.2000,12952285015,5517673,11863435,27969461,394,,,12952285015,80.00,04/11/2018
04/12/2018,75.3460,41.6000,-1.65,42.2000,42.3000,42.2000,41.3000,12952285015,5388151,10603984,25362971,575,,,12952285015,80.00,04/11/2018
03/12/2018,76.6138,42.3000,0.24,42.6000,42.2000,42.6000,42.1000,12952285015,5478817,3981580,9390080,312,,,12952285015,80.00,04/11/2018
