 Historical Data - End of Day LEUMI,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,2176.2685,2260.0000,-0.53,2279.0000,2272.0000,2290.0000,2254.0000,1493608816,33755559,46156197,2033620,2058,,,1494747687,100.00,09/12/2018
30/12/2018,2187.8239,2272.0000,-0.39,2300.0000,2281.0000,2310.0000,2266.0000,1493608816,33934792,30126899,1317214,1360,,,1494747687,100.00,09/12/2018
27/12/2018,2196.4905,2281.0000,-1.89,2374.0000,2325.0000,2374.0000,2281.0000,1493608816,34069217,134270629,5737977,3093,,,1494747687,100.00,09/12/2018
26/12/2018,2238.8604,2325.0000,0.00,2310.0000,2325.0000,2359.0000,2308.0000,1493608816,34726405,43897365,1878968,1872,,,1494747687,100.00,09/12/2018
25/12/2018,2238.8604,2325.0000,3.29,2213.0000,2251.0000,2329.0000,2161.0000,1493608816,34726405,94781748,4247915,3009,,,1494747687,100.00,09/12/2018
24/12/2018,2167.6020,2251.0000,-2.97,2322.0000,2320.0000,2334.0000,2238.0000,1493608816,33621134,129640542,5682574,3883,,,1494747687,100.00,09/12/2018
23/12/2018,2234.0456,2320.0000,-3.93,2380.0000,2415.0000,2386.0000,2286.0000,1493608816,34651725,73274264,3140207,2395,,,1494747687,100.00,09/12/2018
20/12/2018,2325.5258,2415.0000,0.25,2380.0000,2409.0000,2415.0000,2371.0000,1493608816,36070653,204741488,8533984,3055,,,1494747687,100.00,09/12/2018
19/12/2018,2319.7482,2409.0000,2.03,2372.0000,2361.0000,2409.0000,2372.0000,1493608816,35981036,92301009,3845975,2067,,,1494747687,100.00,09/12/2018
18/12/2018,2273.5265,2361.0000,0.34,2353.0000,2353.0000,2361.0000,2337.0000,1493608816,35264104,75852428,3224299,2433,,,1494747687,100.00,09/12/2018
17/12/2018,2265.8229,2353.0000,1.86,2320.0000,2310.0000,2367.0000,2317.0000,1493608816,35144615,136762188,5817923,3530,,,1494747687,100.00,09/12/2018
16/12/2018,2224.4161,2310.0000,-1.28,2315.0000,2340.0000,2327.0000,2309.0000,1493608816,34502364,19532869,842811,1122,,,1494747687,100.00,09/12/2018
13/12/2018,2253.3046,2340.0000,1.69,2295.0000,2301.0000,2343.0000,2295.0000,1493608816,34950446,103834344,4474743,3311,,,1494747687,100.00,09/12/2018
12/12/2018,2215.7495,2301.0000,-0.69,2317.0000,2317.0000,2327.0000,2295.0000,1493608816,34367939,103646127,4491117,3105,,,1494747687,100.00,09/12/2018
11/12/2018,2231.1567,2317.0000,-1.15,2335.0000,2344.0000,2359.0000,2313.0000,1493608816,34606916,121309298,5196913,3946,,,1494747687,100.00,09/12/2018
10/12/2018,2257.1563,2344.0000,-1.51,2359.0000,2380.0000,2370.0000,2334.0000,1493608816,35010191,128465755,5477796,4515,,,1494747687,100.00,09/12/2018
09/12/2018,2291.8227,2380.0000,-0.38,2375.0000,2389.0000,2390.0000,2373.0000,1493608816,35547890,21478089,902874,719,,,1494747687,100.00,09/12/2018
06/12/2018,2300.4892,2389.0000,-1.65,2385.0000,2429.0000,2403.0000,2378.0000,1493608816,35682315,118521236,4960862,2591,,,1501183151,100.00,04/11/2018
05/12/2018,2339.0072,2429.0000,-1.18,2437.0000,2458.0000,2450.0000,2418.0000,1493608816,36279758,119369390,4908698,2560,,,1501183151,100.00,04/11/2018
04/12/2018,2366.9327,2458.0000,-0.73,2465.0000,2476.0000,2469.0000,2443.0000,1493608816,36712905,88466306,3603749,2552,,,1501183151,100.00,04/11/2018
03/12/2018,2384.2660,2476.0000,0.45,2473.0000,2465.0000,2481.0000,2467.0000,1493608816,36981754,125783693,5079209,2633,,,1501183151,100.00,04/11/2018
02/12/2018,2373.6735,2465.0000,0.94,2470.0000,2442.0000,2474.0000,2454.0000,1493608816,36817457,26998589,1094754,946,,,1501183151,100.00,04/11/2018
29/11/2018,2351.5255,2442.0000,-1.29,2469.0000,2474.0000,2473.0000,2431.0000,1493608816,36473927,192573010,7853990,2212,,,1501183151,100.00,04/11/2018
28/11/2018,2382.3399,2474.0000,1.10,2454.0000,2447.0000,2474.0000,2452.0000,1493608816,36951882,74895033,3038689,2119,,,1501183151,100.00,04/11/2018
27/11/2018,2356.3403,2447.0000,0.87,2449.0000,2426.0000,2452.0000,2426.0000,1493608816,36548608,94770138,3881863,2858,EX DIVIDEND,0.98980,1501183151,100.00,04/11/2018
26/11/2018,2336.1182,2451.0000,3.68,2375.0000,2364.0000,2451.0000,2372.0000,1493918813,36615950,83410497,3443841,2153,,,1501183151,100.00,04/11/2018
25/11/2018,2253.1960,2364.0000,-1.79,2398.0000,2407.0000,2402.0000,2362.0000,1493918813,35316241,23626365,992947,1216,,,1501183151,100.00,04/11/2018
22/11/2018,2294.1804,2407.0000,-0.74,2427.0000,2425.0000,2427.0000,2402.0000,1494032141,35961354,32360260,1338298,943,,,1501183151,100.00,04/11/2018
21/11/2018,2311.3368,2425.0000,1.68,2397.0000,2385.0000,2428.0000,2397.0000,1494032141,36230279,119543576,4942424,2909,,,1501183151,100.00,04/11/2018
20/11/2018,2273.2117,2385.0000,-1.85,2375.0000,2430.0000,2385.0000,2363.0000,1494347823,35640196,131660381,5540360,3639,,,1501183151,100.00,04/11/2018
19/11/2018,2316.1025,2430.0000,1.29,2400.0000,2399.0000,2434.0000,2396.0000,1494657608,36320180,74060934,3059707,2340,,,1501183151,100.00,04/11/2018
18/11/2018,2286.5555,2399.0000,0.38,2395.0000,2390.0000,2408.0000,2387.0000,1494747687,35858997,18322954,764413,683,,,1501183151,100.00,04/11/2018
15/11/2018,2277.9774,2390.0000,-0.21,2400.0000,2395.0000,2407.0000,2382.0000,1495060899,35731955,74960062,3130789,2359,,,1501183151,100.00,04/11/2018
