 Historical Data - End of Day LIVEPERSON,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,6950.0000,6950.0000,-0.43,7248.0000,6980.0000,7363.0000,6950.0000,55237805,3839027,5087974,71318,382,,,55237805,100.00,09/12/2018
30/12/2018,6980.0000,6980.0000,2.68,6950.0000,6798.0000,7050.0000,6950.0000,55237805,3855599,2831061,40538,341,,,55237805,100.00,09/12/2018
27/12/2018,6798.0000,6798.0000,4.02,6906.0000,6535.0000,6956.0000,6698.0000,55237805,3755066,12762068,185782,661,,,55237805,100.00,09/12/2018
26/12/2018,6535.0000,6535.0000,0.23,6505.0000,6520.0000,6699.0000,6500.0000,55237805,3609791,2974039,45278,343,,,55237805,100.00,09/12/2018
25/12/2018,6520.0000,6520.0000,0.96,6477.0000,6458.0000,6680.0000,6477.0000,55237805,3601505,4877306,74582,474,,,55237805,100.00,09/12/2018
24/12/2018,6458.0000,6458.0000,-1.25,6649.0000,6540.0000,6740.0000,6421.0000,55237805,3567257,4092521,62492,435,,,55237805,100.00,09/12/2018
23/12/2018,6540.0000,6540.0000,-7.40,6735.0000,7063.0000,6735.0000,6479.0000,55237805,3612552,6217811,94073,576,,,55237805,100.00,09/12/2018
20/12/2018,7063.0000,7063.0000,-3.17,7189.0000,7294.0000,7264.0000,7018.0000,55237805,3901446,3771434,52843,332,,,55237805,100.00,09/12/2018
19/12/2018,7294.0000,7294.0000,3.87,7250.0000,7022.0000,7294.0000,7084.0000,55237805,4029046,7322886,100918,313,,,55237805,100.00,09/12/2018
18/12/2018,7022.0000,7022.0000,-1.36,7098.0000,7119.0000,7220.0000,7019.0000,55237805,3878799,2969367,41887,334,,,55237805,100.00,09/12/2018
17/12/2018,7119.0000,7119.0000,-1.25,7189.0000,7209.0000,7212.0000,7040.0000,55237805,3932379,2296419,32191,305,,,55237805,100.00,09/12/2018
16/12/2018,7209.0000,7209.0000,-4.53,7231.0000,7551.0000,7277.0000,7208.0000,55237805,3982093,890011,12327,117,,,55237805,100.00,09/12/2018
13/12/2018,7551.0000,7551.0000,0.90,7445.0000,7484.0000,7600.0000,7443.0000,55237805,4171007,3647100,48637,268,,,55237805,100.00,09/12/2018
12/12/2018,7484.0000,7484.0000,2.21,7217.0000,7322.0000,7521.0000,7217.0000,55237805,4133997,2536272,34303,274,,,55237805,100.00,09/12/2018
11/12/2018,7322.0000,7322.0000,0.56,7320.0000,7281.0000,7480.0000,7202.0000,55237805,4044512,3968398,53853,445,,,55237805,100.00,09/12/2018
10/12/2018,7281.0000,7281.0000,2.33,7115.0000,7115.0000,7281.0000,7000.0000,55237805,4021865,2820051,39367,305,,,55237805,100.00,09/12/2018
09/12/2018,7115.0000,7115.0000,0.14,7084.0000,7105.0000,7185.0000,7084.0000,55237805,3930170,1461665,20536,163,,,55237805,100.00,09/12/2018
06/12/2018,7105.0000,7105.0000,-2.28,7050.0000,7271.0000,7126.0000,6880.0000,55237805,3924646,32893696,466488,1095,,,55237805,100.00,04/11/2018
05/12/2018,7271.0000,7271.0000,3.00,7059.0000,7059.0000,7271.0000,6953.0000,55237805,4016341,20872204,288793,404,,,55237805,100.00,04/11/2018
04/12/2018,7059.0000,7059.0000,-0.83,7026.0000,7118.0000,7066.0000,6958.0000,55237805,3899237,2693355,38393,268,,,55237805,100.00,04/11/2018
03/12/2018,7118.0000,7118.0000,-0.49,7225.0000,7153.0000,7225.0000,7076.0000,55237805,3931827,2024891,28361,228,,,55237805,100.00,04/11/2018
02/12/2018,7153.0000,7153.0000,3.14,7055.0000,6935.0000,7289.0000,7026.0000,55237805,3951160,2269048,31738,261,,,55237805,100.00,04/11/2018
29/11/2018,6935.0000,6935.0000,0.78,6900.0000,6881.0000,7019.0000,6840.0000,55237805,3830742,9740948,140999,397,,,55237805,100.00,04/11/2018
28/11/2018,6881.0000,6881.0000,-0.28,6775.0000,6900.0000,6886.0000,6728.0000,55237805,3800913,1709691,25142,232,,,55237805,100.00,04/11/2018
27/11/2018,6900.0000,6900.0000,0.95,6856.0000,6835.0000,6917.0000,6805.0000,55237805,3811409,2719902,39552,279,,,55237805,100.00,04/11/2018
26/11/2018,6835.0000,6835.0000,0.26,6938.0000,6817.0000,6988.0000,6806.0000,55237805,3775504,2087946,30330,317,,,55237805,100.00,04/11/2018
25/11/2018,6817.0000,6817.0000,0.95,6825.0000,6753.0000,6830.0000,6743.0000,55237805,3765561,695771,10225,142,,,55237805,100.00,04/11/2018
22/11/2018,6753.0000,6753.0000,-0.87,6812.0000,6812.0000,6824.0000,6696.0000,55237805,3730209,2847231,41918,213,,,55237805,100.00,04/11/2018
21/11/2018,6812.0000,6812.0000,-1.99,6945.0000,6950.0000,6945.0000,6739.0000,55237805,3762799,4691722,68901,520,,,55237805,100.00,04/11/2018
20/11/2018,6950.0000,6950.0000,-3.87,7225.0000,7230.0000,7225.0000,6796.0000,55237805,3839027,7283454,103871,702,,,55237805,100.00,04/11/2018
19/11/2018,7230.0000,7230.0000,-4.38,7569.0000,7561.0000,7569.0000,7149.0000,55237805,3993693,2491509,33959,314,,,55237805,100.00,04/11/2018
