 Historical Data - End of Day MATRIX,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,3997.7065,4137.0000,0.17,4130.0000,4130.0000,4245.0000,4130.0000,61679187,2551668,4581711,109333,438,,,61679187,60.00,09/12/2018
30/12/2018,3990.9420,4130.0000,2.58,4026.0000,4026.0000,4130.0000,4017.0000,61679187,2547350,1604301,39440,243,,,61679187,60.00,09/12/2018
27/12/2018,3890.4439,4026.0000,0.02,4270.0000,4025.0000,4270.0000,4026.0000,61679187,2483204,2907814,71082,339,,,61679187,60.00,09/12/2018
26/12/2018,3889.4776,4025.0000,2.91,3903.0000,3911.0000,4077.0000,3899.0000,61679187,2482587,3891141,97888,381,,,61679187,60.00,09/12/2018
25/12/2018,3779.3159,3911.0000,2.89,3729.0000,3801.0000,3920.0000,3705.0000,61679187,2412273,8751060,230980,794,,,61679187,60.00,09/12/2018
24/12/2018,3673.0196,3801.0000,-2.51,3888.0000,3899.0000,3900.0000,3725.0000,61679187,2344426,8028029,211203,905,,,61679187,60.00,09/12/2018
23/12/2018,3767.7199,3899.0000,-4.88,4001.0000,4099.0000,4001.0000,3806.0000,61679187,2404872,7677995,198337,763,,,61679187,60.00,09/12/2018
20/12/2018,3960.9859,4099.0000,-1.91,4116.0000,4179.0000,4116.0000,4014.0000,61679187,2528230,5632631,138653,499,,,61679187,60.00,09/12/2018
19/12/2018,4038.2922,4179.0000,2.23,4088.0000,4088.0000,4179.0000,4053.0000,61679187,2577573,4581909,110982,386,,,61679187,60.00,09/12/2018
18/12/2018,3950.3563,4088.0000,-3.36,4230.0000,4230.0000,4230.0000,4040.0000,61679187,2521445,6120634,149006,549,,,61679187,60.00,09/12/2018
17/12/2018,4087.5751,4230.0000,-1.33,4270.0000,4287.0000,4300.0000,4203.0000,61679187,2609030,2456222,57854,362,,,61679187,60.00,09/12/2018
16/12/2018,4142.6559,4287.0000,-1.31,4344.0000,4344.0000,4344.0000,4265.0000,61679187,2644187,1573527,36722,329,EX DIVIDEND,0.99178,61679187,60.00,09/12/2018
13/12/2018,4197.7332,4380.0000,-0.54,4394.0000,4404.0000,4395.0000,4322.0000,61679187,2701548,1757573,40198,245,,,61679187,60.00,09/12/2018
12/12/2018,4220.7344,4404.0000,-1.10,4455.0000,4453.0000,4460.0000,4383.0000,61679187,2716351,2588890,58724,303,,,61679187,60.00,09/12/2018
11/12/2018,4267.6954,4453.0000,2.25,4355.0000,4355.0000,4454.0000,4307.0000,61679187,2746574,2121928,48409,337,,,61679187,60.00,09/12/2018
10/12/2018,4173.7735,4355.0000,0.55,4331.0000,4331.0000,4367.0000,4280.0000,61679187,2686129,2447854,56843,323,,,61679187,60.00,09/12/2018
09/12/2018,4150.7722,4331.0000,-1.57,4397.0000,4400.0000,4397.0000,4256.0000,61679187,2671326,1969881,45571,267,,,61679187,60.00,09/12/2018
06/12/2018,4216.9010,4400.0000,-1.17,4418.0000,4452.0000,4418.0000,4362.0000,61679187,2713884,4278834,97405,312,,,61679187,60.00,04/11/2018
05/12/2018,4266.7371,4452.0000,1.62,4350.0000,4381.0000,4452.0000,4303.0000,61679187,2745957,3972704,89852,326,,,61679187,60.00,04/11/2018
04/12/2018,4198.6916,4381.0000,-0.52,4365.0000,4404.0000,4443.0000,4351.0000,61679187,2702165,3519496,79961,321,,,61679187,60.00,04/11/2018
03/12/2018,4220.7344,4404.0000,2.90,4271.0000,4280.0000,4430.0000,4271.0000,61679187,2716351,3035184,69334,337,,,61679187,60.00,04/11/2018
02/12/2018,4101.8945,4280.0000,2.98,4182.0000,4156.0000,4281.0000,4182.0000,61679187,2639869,1940637,45683,262,,,61679187,60.00,04/11/2018
29/11/2018,3983.0546,4156.0000,-0.62,4182.0000,4182.0000,4266.0000,4156.0000,61679187,2563387,2500695,59318,321,,,61679187,60.00,04/11/2018
28/11/2018,4007.9727,4182.0000,0.17,4155.0000,4175.0000,4250.0000,4141.0000,61679187,2579424,1562018,37180,259,,,61679187,60.00,04/11/2018
27/11/2018,4001.2640,4175.0000,1.31,4133.0000,4121.0000,4197.0000,4121.0000,61679187,2575106,1396051,33533,247,,,61679187,60.00,04/11/2018
26/11/2018,3949.5111,4121.0000,2.18,4033.0000,4033.0000,4132.0000,4033.0000,61679187,2541799,1495533,36409,233,,,61679187,60.00,04/11/2018
25/11/2018,3865.1729,4033.0000,-0.86,4071.0000,4068.0000,4110.0000,4012.0000,61679187,2487522,2037694,50217,273,,,61679187,60.00,04/11/2018
22/11/2018,3898.7166,4068.0000,-0.51,4080.0000,4089.0000,4121.0000,4020.0000,61679187,2509109,1781608,43942,293,,,61679187,60.00,04/11/2018
21/11/2018,3918.8427,4089.0000,-1.71,4160.0000,4160.0000,4189.0000,4082.0000,61679187,2522062,2777078,67521,343,,,61679187,60.00,04/11/2018
20/11/2018,3986.8882,4160.0000,-2.44,4220.0000,4264.0000,4258.0000,4150.0000,61679187,2565854,2069303,49379,340,,,61679187,60.00,04/11/2018
19/11/2018,4086.5603,4264.0000,-0.16,4295.0000,4271.0000,4298.0000,4258.0000,61679187,2630001,1871772,43723,302,,,61679187,60.00,04/11/2018
18/11/2018,4093.2690,4271.0000,-0.23,4288.0000,4281.0000,4340.0000,4250.0000,61679187,2634318,995420,23175,184,,,61679187,60.00,04/11/2018
15/11/2018,4102.8529,4281.0000,-0.28,4293.0000,4293.0000,4310.0000,4235.0000,61679187,2640486,1640410,38444,266,,,61679187,60.00,04/11/2018
14/11/2018,4114.3535,4293.0000,-0.39,4314.0000,4310.0000,4341.0000,4256.0000,61679187,2647888,2158247,50338,316,,,61679187,60.00,04/11/2018
13/11/2018,4130.6462,4310.0000,-2.20,4307.0000,4407.0000,4361.0000,4251.0000,61679187,2658373,3143605,72940,449,,,61679187,60.00,04/11/2018
