 Historical Data - End of Day MEGA OR,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,3875.1953,3916.0000,-0.81,3948.0000,3948.0000,4062.0000,3896.0000,30453424,1192556,2076671,52508,204,,,30432335,60.00,09/12/2018
30/12/2018,3906.8618,3948.0000,1.13,3904.0000,3904.0000,3963.0000,3905.0000,30453424,1202301,340254,8642,107,,,30432335,60.00,09/12/2018
27/12/2018,3863.3203,3904.0000,-1.93,4140.0000,3981.0000,4140.0000,3888.0000,30453424,1188902,1097153,27576,162,,,30432335,60.00,09/12/2018
26/12/2018,3939.5180,3981.0000,2.08,3900.0000,3900.0000,4129.0000,3935.0000,30453424,1212351,1022357,25771,124,,,30432335,60.00,09/12/2018
25/12/2018,3859.3620,3900.0000,0.00,3800.0000,3900.0000,3992.0000,3795.0000,30453424,1187684,2757275,71261,171,,,30432335,60.00,09/12/2018
24/12/2018,3859.3620,3900.0000,-1.32,3945.0000,3952.0000,4011.0000,3853.0000,30453424,1187684,1590252,40560,264,,,30432335,60.00,09/12/2018
23/12/2018,3910.8202,3952.0000,-3.73,3950.0000,4105.0000,4049.0000,3915.0000,30453424,1203519,1821119,45975,168,,,30432335,60.00,09/12/2018
20/12/2018,4062.2259,4105.0000,-0.80,4138.0000,4138.0000,4138.0000,4074.0000,30432335,1249247,562798,13754,121,,,30432335,60.00,09/12/2018
19/12/2018,4094.8820,4138.0000,3.24,4005.0000,4008.0000,4138.0000,3995.0000,30432335,1259290,1032671,25158,132,,,30432335,60.00,09/12/2018
18/12/2018,3966.2366,4008.0000,-2.81,4124.0000,4124.0000,4147.0000,3977.0000,30432335,1219728,912765,22736,142,,,30432335,60.00,09/12/2018
17/12/2018,4081.0279,4124.0000,-1.27,4075.0000,4177.0000,4200.0000,4075.0000,30432335,1255030,467487,11323,117,,,30432335,60.00,09/12/2018
16/12/2018,4133.4757,4177.0000,-0.41,4136.0000,4194.0000,4195.0000,4136.0000,30432335,1271159,229096,5491,115,,,30432335,60.00,09/12/2018
13/12/2018,4150.2985,4194.0000,2.22,4103.0000,4103.0000,4220.0000,4075.0000,30432335,1276332,906059,21919,103,,,30432335,60.00,09/12/2018
12/12/2018,4060.2467,4103.0000,-1.49,4165.0000,4165.0000,4162.0000,4103.0000,30432335,1248639,1132427,27495,122,,,30432335,60.00,09/12/2018
11/12/2018,4121.6007,4165.0000,0.26,4108.0000,4154.0000,4210.0000,4108.0000,30432335,1267507,501912,12084,102,,,30432335,60.00,09/12/2018
10/12/2018,4110.7153,4154.0000,0.24,4144.0000,4144.0000,4180.0000,4144.0000,30432335,1264159,509692,12269,120,,,30432335,60.00,09/12/2018
09/12/2018,4100.8195,4144.0000,0.29,4129.0000,4132.0000,4180.0000,4110.0000,30432335,1261116,267826,6451,77,,,30432335,60.00,09/12/2018
06/12/2018,4088.9446,4132.0000,-3.16,4267.0000,4267.0000,4222.0000,4132.0000,30432335,1257464,1864359,44885,153,,,30432336,60.00,04/11/2018
05/12/2018,4222.5379,4267.0000,2.01,4183.0000,4183.0000,4267.0000,4206.0000,30432335,1298548,1046498,24584,107,,,30432336,60.00,04/11/2018
04/12/2018,4139.4131,4183.0000,-1.23,4235.0000,4235.0000,4235.0000,4121.0000,30432335,1272985,481652,11525,141,,,30432336,60.00,04/11/2018
03/12/2018,4190.8713,4235.0000,1.95,4154.0000,4154.0000,4265.0000,4181.0000,30432335,1288809,304675,7199,89,,,30432336,60.00,04/11/2018
02/12/2018,4110.7153,4154.0000,1.17,4106.0000,4106.0000,4219.0000,4106.0000,30432335,1264159,458138,11015,90,,,30432336,60.00,04/11/2018
