 Historical Data - End of Day MELISRON,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,15174.8661,15580.0000,-0.57,15900.0000,15670.0000,15900.0000,15520.0000,44785583,6977594,2678772,17129,359,,,44785583,45.00,09/12/2018
30/12/2018,15262.5259,15670.0000,-0.25,15710.0000,15710.0000,15760.0000,15560.0000,44785583,7017901,2641791,16896,342,,,44785583,45.00,09/12/2018
27/12/2018,15301.4858,15710.0000,0.19,16000.0000,15680.0000,16000.0000,15530.0000,44785583,7035815,14014668,88376,669,,,44785583,45.00,09/12/2018
26/12/2018,15272.2659,15680.0000,0.77,15560.0000,15560.0000,15890.0000,15460.0000,44785583,7022379,6140085,39012,577,,,44785583,45.00,09/12/2018
25/12/2018,15155.3863,15560.0000,2.98,15100.0000,15110.0000,15640.0000,14750.0000,44785583,6968637,24151760,160279,788,,,44785583,45.00,09/12/2018
24/12/2018,14717.0878,15110.0000,-0.07,15340.0000,15120.0000,15340.0000,14830.0000,44785583,6767102,5138196,34185,525,,,44785583,45.00,09/12/2018
23/12/2018,14726.8278,15120.0000,-2.70,15380.0000,15540.0000,15440.0000,14920.0000,44785583,6771580,11209488,74011,650,,,44785583,45.00,09/12/2018
20/12/2018,15135.9063,15540.0000,-1.77,15660.0000,15820.0000,15690.0000,15510.0000,44785583,6959680,4797811,30722,413,,,44785583,45.00,09/12/2018
19/12/2018,15408.6254,15820.0000,1.22,15630.0000,15630.0000,15820.0000,15630.0000,44785583,7085079,38258756,243105,402,,,44785583,45.00,09/12/2018
18/12/2018,15223.5661,15630.0000,-1.57,15880.0000,15880.0000,15950.0000,15630.0000,44785583,6999987,6490657,41243,386,,,44785583,45.00,09/12/2018
17/12/2018,15467.0653,15880.0000,-0.38,15840.0000,15940.0000,15990.0000,15750.0000,44785583,7111951,3784536,23918,274,,,44785583,45.00,09/12/2018
16/12/2018,15525.5050,15940.0000,-0.87,16080.0000,16080.0000,16000.0000,15910.0000,44785583,7138822,2067162,12953,173,,,44785583,45.00,09/12/2018
13/12/2018,15661.8645,16080.0000,-1.53,16330.0000,16330.0000,16450.0000,16080.0000,44785583,7201522,3165791,19523,237,,,44785583,45.00,09/12/2018
12/12/2018,15905.3636,16330.0000,0.18,16400.0000,16300.0000,16560.0000,16290.0000,44785583,7313486,3270517,19933,297,,,44785583,45.00,09/12/2018
11/12/2018,15876.1438,16300.0000,0.31,16250.0000,16250.0000,16470.0000,15960.0000,44785583,7300050,7064463,43170,527,,,44785583,45.00,09/12/2018
10/12/2018,15827.4439,16250.0000,0.00,16260.0000,16250.0000,16430.0000,16130.0000,44785583,7277657,3343353,20599,369,,,44785583,45.00,09/12/2018
09/12/2018,15827.4439,16250.0000,1.25,15970.0000,16050.0000,16370.0000,15970.0000,44785583,7277657,3263526,20196,244,,,44785583,45.00,09/12/2018
06/12/2018,15632.6447,16050.0000,-1.53,16300.0000,16300.0000,16300.0000,16050.0000,44785583,7188086,8187055,50867,376,,,44778622,45.00,04/11/2018
05/12/2018,15876.1438,16300.0000,1.81,15910.0000,16010.0000,16300.0000,15910.0000,44785583,7300050,9067896,55851,371,,,44778622,45.00,04/11/2018
04/12/2018,15593.6848,16010.0000,-1.29,16020.0000,16220.0000,16210.0000,16000.0000,44785583,7170172,2560922,15939,266,,,44778622,45.00,04/11/2018
03/12/2018,15798.2241,16220.0000,-0.61,16540.0000,16320.0000,16560.0000,16110.0000,44785583,7264222,5029678,30690,381,,,44778622,45.00,04/11/2018
02/12/2018,15895.6236,16320.0000,2.64,16070.0000,15900.0000,16350.0000,16070.0000,44785583,7309007,2714513,16729,255,,,44778622,45.00,04/11/2018
29/11/2018,15486.5451,15900.0000,-0.50,16210.0000,15980.0000,16360.0000,15830.0000,44785583,7120908,14749128,91604,550,,,44778622,45.00,04/11/2018
28/11/2018,15564.4648,15980.0000,2.24,15780.0000,15630.0000,16020.0000,15770.0000,44785583,7156736,9397447,58777,347,,,44778622,45.00,04/11/2018
27/11/2018,15223.5661,15630.0000,-1.08,15840.0000,15800.0000,15930.0000,15620.0000,44785583,6999987,8566564,54290,404,,,44778622,45.00,04/11/2018
26/11/2018,15389.1455,15800.0000,-0.50,15880.0000,15880.0000,16440.0000,15650.0000,44785583,7076122,13588645,85649,520,,,44778622,45.00,04/11/2018
25/11/2018,15467.0653,15880.0000,-1.12,15940.0000,16060.0000,16050.0000,15770.0000,44785583,7111951,2260782,14225,235,,,44778622,45.00,04/11/2018
22/11/2018,15642.3845,16060.0000,-0.37,16180.0000,16120.0000,16180.0000,15930.0000,44785583,7192565,4373823,27181,252,,,44778622,45.00,04/11/2018
21/11/2018,15700.8243,16120.0000,-0.06,16130.0000,16130.0000,16260.0000,16000.0000,44785583,7219436,7320663,45322,360,,,44778622,45.00,04/11/2018
20/11/2018,15710.5644,16130.0000,-0.49,16210.0000,16210.0000,16320.0000,16120.0000,44785583,7223915,10403415,64166,370,,,44778622,45.00,04/11/2018
19/11/2018,15788.4841,16210.0000,-0.80,16340.0000,16340.0000,16410.0000,16100.0000,44785583,7259743,2933702,18043,300,,,44778622,45.00,04/11/2018
18/11/2018,15915.1036,16340.0000,0.49,16260.0000,16260.0000,16410.0000,16260.0000,44785583,7317964,592644,3625,112,,,44778622,45.00,04/11/2018
15/11/2018,15837.1839,16260.0000,0.37,16350.0000,16200.0000,16510.0000,16160.0000,44785583,7282136,3769303,23119,335,,,44778622,45.00,04/11/2018
14/11/2018,15778.7440,16200.0000,-0.49,16280.0000,16280.0000,16430.0000,16150.0000,44785583,7255264,2865073,17634,318,EX DIVIDEND,0.99208,44778622,45.00,04/11/2018
13/11/2018,15856.6958,16410.0000,1.23,16120.0000,16210.0000,16680.0000,16120.0000,44785583,7349314,26691332,163397,368,,,44778622,45.00,04/11/2018
12/11/2018,15663.4392,16210.0000,-2.58,16770.0000,16640.0000,16780.0000,16100.0000,44785583,7259743,5552436,33776,524,,,44778622,45.00,04/11/2018
11/11/2018,16078.9408,16640.0000,-0.95,16870.0000,16800.0000,16900.0000,16520.0000,44778622,7451163,4609650,27587,425,,,44778622,45.00,04/11/2018
08/11/2018,16233.5460,16800.0000,3.07,16370.0000,16300.0000,16820.0000,16350.0000,44778622,7522809,30643824,184689,702,,,44778622,45.00,04/11/2018
07/11/2018,15750.4047,16300.0000,4.02,15670.0000,15670.0000,16300.0000,15670.0000,44778622,7298915,16036877,99437,433,,,44778622,45.00,04/11/2018
06/11/2018,15141.6467,15670.0000,-0.63,15840.0000,15770.0000,15840.0000,15590.0000,44778622,7016810,13675602,87185,379,,,44778622,45.00,04/11/2018
05/11/2018,15238.2750,15770.0000,-0.57,15690.0000,15860.0000,15880.0000,15660.0000,44778622,7061589,2608531,16532,324,,,44778622,45.00,04/11/2018
04/11/2018,15325.2404,15860.0000,-0.69,15760.0000,15970.0000,15900.0000,15760.0000,44778622,7101889,850815,5365,112,,,44778622,45.00,04/11/2018
01/11/2018,15431.5314,15970.0000,1.20,15700.0000,15780.0000,15990.0000,15700.0000,44778622,7151146,6430024,40490,344,,,44778157,45.00,07/10/2018
31/10/2018,15247.9378,15780.0000,1.15,15800.0000,15600.0000,15800.0000,15660.0000,44778622,7066067,4038485,25666,457,,,44778157,45.00,07/10/2018
29/10/2018,15074.0069,15600.0000,0.78,15580.0000,15480.0000,15680.0000,15480.0000,44778622,6985465,10156594,65229,403,,,44778157,45.00,07/10/2018
28/10/2018,14958.0531,15480.0000,1.78,15350.0000,15210.0000,15500.0000,15260.0000,44778622,6931731,1846912,11986,207,,,44778157,45.00,07/10/2018
25/10/2018,14697.1567,15210.0000,-1.17,15080.0000,15390.0000,15400.0000,15000.0000,44778622,6810828,22984364,151511,919,,,44778157,45.00,07/10/2018
24/10/2018,14871.0876,15390.0000,2.53,15010.0000,15010.0000,15460.0000,15010.0000,44778622,6891430,6338621,41419,494,,,44778157,45.00,07/10/2018
23/10/2018,14503.9003,15010.0000,-0.79,14920.0000,15130.0000,15040.0000,14920.0000,44778622,6721271,10113215,67480,550,,,44778157,45.00,07/10/2018
22/10/2018,14619.8543,15130.0000,-1.11,15600.0000,15300.0000,15600.0000,15120.0000,44778622,6775006,2444042,15942,295,,,44778157,45.00,07/10/2018
21/10/2018,14784.1221,15300.0000,0.39,15320.0000,15240.0000,15410.0000,15200.0000,44778622,6851129,2283481,14894,231,,,44778157,45.00,07/10/2018
18/10/2018,14726.1452,15240.0000,0.93,15020.0000,15100.0000,15300.0000,15000.0000,44778622,6824262,4792945,31681,334,,,44778157,45.00,07/10/2018
17/10/2018,14590.8657,15100.0000,-0.66,15270.0000,15200.0000,15460.0000,15060.0000,44778622,6761572,6711853,44163,626,,,44778157,45.00,07/10/2018
16/10/2018,14687.4940,15200.0000,1.20,15000.0000,15020.0000,15200.0000,14910.0000,44778622,6806351,5852598,38900,547,,,44778157,45.00,07/10/2018
