 Historical Data - End of Day MIZRAHI TEFAHOT,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,6139.9182,6314.0000,0.56,6292.0000,6279.0000,6376.0000,6292.0000,233343551,14733312,17300045,273273,1296,,,233314050,60.00,09/12/2018
30/12/2018,6105.8831,6279.0000,0.88,6230.0000,6224.0000,6289.0000,6205.0000,233343551,14651642,21270485,340842,1141,,,233314050,60.00,09/12/2018
27/12/2018,6052.3996,6224.0000,-0.89,6501.0000,6280.0000,6501.0000,6224.0000,233343551,14523303,55246976,860303,1625,,,233314050,60.00,09/12/2018
26/12/2018,6106.8556,6280.0000,0.64,6240.0000,6240.0000,6400.0000,6205.0000,233343551,14653975,12632288,200290,885,,,233314050,60.00,09/12/2018
25/12/2018,6067.9584,6240.0000,3.65,5962.0000,6020.0000,6286.0000,5797.0000,233343551,14560638,42125572,699472,1840,,,233314050,60.00,09/12/2018
24/12/2018,5854.0240,6020.0000,-3.99,6330.0000,6270.0000,6333.0000,6020.0000,233343551,14047282,41712157,675703,1881,,,233314050,60.00,09/12/2018
23/12/2018,6097.1313,6270.0000,-4.13,6455.0000,6540.0000,6455.0000,6220.0000,233343551,14630641,21206060,334230,1236,,,233314050,60.00,09/12/2018
20/12/2018,6359.6872,6540.0000,-0.61,6481.0000,6580.0000,6562.0000,6480.0000,233343551,15260668,29544160,452723,1213,,,233314050,60.00,09/12/2018
19/12/2018,6398.5844,6580.0000,0.30,6600.0000,6560.0000,6646.0000,6571.0000,233343551,15354006,28049978,425309,957,,,233314050,60.00,09/12/2018
18/12/2018,6379.1358,6560.0000,0.00,6559.0000,6560.0000,6580.0000,6494.0000,233343551,15307337,25062513,382939,1124,,,233314050,60.00,09/12/2018
17/12/2018,6379.1358,6560.0000,0.43,6532.0000,6532.0000,6597.0000,6468.0000,233343551,15307337,29295438,447411,1775,,,233314050,60.00,09/12/2018
16/12/2018,6351.9078,6532.0000,-1.54,6610.0000,6634.0000,6610.0000,6532.0000,233343551,15242001,4592190,69983,298,,,233314050,60.00,09/12/2018
