 Historical Data - End of Day NICE,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,40220.0000,40220.0000,0.25,40120.0000,40120.0000,40580.0000,40120.0000,61846238,24874557,36941239,91668,1436,,,61782464,100.00,09/12/2018
30/12/2018,40120.0000,40120.0000,0.70,40400.0000,39840.0000,40400.0000,39890.0000,61846238,24812711,26510990,66087,1069,,,61782464,100.00,09/12/2018
27/12/2018,39840.0000,39840.0000,0.25,40260.0000,39740.0000,40260.0000,39360.0000,61846238,24639541,79143467,197845,1573,,,61782464,100.00,09/12/2018
26/12/2018,39740.0000,39740.0000,0.10,39450.0000,39700.0000,40030.0000,39410.0000,61846238,24577695,28554227,71839,1096,,,61782464,100.00,09/12/2018
25/12/2018,39700.0000,39700.0000,2.06,38500.0000,38900.0000,39950.0000,38420.0000,61846238,24552956,30523860,77977,1386,,,61782464,100.00,09/12/2018
24/12/2018,38900.0000,38900.0000,-1.67,40110.0000,39560.0000,40110.0000,38610.0000,61846238,24058187,43248386,110541,2019,,,61782464,100.00,09/12/2018
23/12/2018,39560.0000,39560.0000,-2.08,39620.0000,40400.0000,39770.0000,39170.0000,61846238,24466372,45316307,114730,1732,,,61782464,100.00,09/12/2018
20/12/2018,40400.0000,40400.0000,-2.42,40640.0000,41400.0000,41200.0000,40030.0000,61846238,24985880,102853379,254038,2398,,,61782464,100.00,09/12/2018
19/12/2018,41400.0000,41400.0000,-0.05,41420.0000,41420.0000,41460.0000,41090.0000,61846238,25604343,54729499,132269,1414,,,61782464,100.00,09/12/2018
18/12/2018,41420.0000,41420.0000,-1.36,41500.0000,41990.0000,41650.0000,41160.0000,61846238,25616712,45504460,109948,1479,,,61782464,100.00,09/12/2018
17/12/2018,41990.0000,41990.0000,-0.24,42400.0000,42090.0000,42550.0000,41700.0000,61846238,25969235,39062383,92799,1785,,,61782464,100.00,09/12/2018
16/12/2018,42090.0000,42090.0000,-1.34,42200.0000,42660.0000,42230.0000,41980.0000,61846238,26031082,5895796,14006,378,,,61782464,100.00,09/12/2018
13/12/2018,42660.0000,42660.0000,-0.14,42270.0000,42720.0000,42810.0000,42110.0000,61846238,26383605,42130417,99319,1503,,,61782464,100.00,09/12/2018
12/12/2018,42720.0000,42720.0000,1.04,42280.0000,42280.0000,42870.0000,42230.0000,61846238,26420713,51537795,120931,1727,,,61782464,100.00,09/12/2018
11/12/2018,42280.0000,42280.0000,0.50,41800.0000,42070.0000,42500.0000,41800.0000,61846238,26148589,54507977,128887,1467,,,61782464,100.00,09/12/2018
10/12/2018,42070.0000,42070.0000,0.31,41940.0000,41940.0000,42190.0000,41310.0000,61782464,25991883,42676681,102207,1792,,,61782464,100.00,09/12/2018
09/12/2018,41940.0000,41940.0000,-1.96,42600.0000,42780.0000,42600.0000,41610.0000,61782464,25911565,18865114,45074,751,,,61782464,100.00,09/12/2018
06/12/2018,42780.0000,42780.0000,-2.11,43110.0000,43700.0000,43200.0000,42200.0000,61782464,26430538,94544411,221131,2036,,,61671642,100.00,04/11/2018
05/12/2018,43700.0000,43700.0000,1.32,43350.0000,43130.0000,43700.0000,43250.0000,61782464,26998937,65193355,149439,1135,,,61671642,100.00,04/11/2018
04/12/2018,43130.0000,43130.0000,-1.57,42990.0000,43820.0000,43480.0000,42950.0000,61782464,26646777,41166855,95500,1966,,,61671642,100.00,04/11/2018
03/12/2018,43820.0000,43820.0000,-0.16,44240.0000,43890.0000,44240.0000,43530.0000,61782464,27073076,44496539,101377,1717,,,61671642,100.00,04/11/2018
02/12/2018,43890.0000,43890.0000,2.55,43900.0000,42800.0000,43930.0000,43650.0000,61782464,27116323,17378705,39624,779,,,61671642,100.00,04/11/2018
29/11/2018,42800.0000,42800.0000,0.87,42970.0000,42430.0000,43110.0000,42580.0000,61782464,26442895,115367587,269056,2323,,,61671642,100.00,04/11/2018
28/11/2018,42430.0000,42430.0000,2.31,42060.0000,41470.0000,42590.0000,41840.0000,61782464,26214299,22750187,53905,1204,,,61671642,100.00,04/11/2018
27/11/2018,41470.0000,41470.0000,-0.46,41740.0000,41660.0000,41740.0000,41260.0000,61782464,25621188,21972244,52994,996,,,61671642,100.00,04/11/2018
26/11/2018,41660.0000,41660.0000,1.29,41500.0000,41130.0000,41680.0000,41220.0000,61782464,25738575,24237919,58335,1052,,,61671642,100.00,04/11/2018
25/11/2018,41130.0000,41130.0000,0.42,41160.0000,40960.0000,41300.0000,40930.0000,61782464,25411127,9373720,22817,503,,,61671642,100.00,04/11/2018
22/11/2018,40960.0000,40960.0000,-1.09,41440.0000,41410.0000,41440.0000,40940.0000,61782464,25306097,21956754,53221,589,,,61671642,100.00,04/11/2018
21/11/2018,41410.0000,41410.0000,2.37,41370.0000,40450.0000,41710.0000,41050.0000,61782464,25584118,46707913,113009,1730,,,61671642,100.00,04/11/2018
20/11/2018,40450.0000,40450.0000,-3.46,40990.0000,41900.0000,41170.0000,40100.0000,61782464,24991007,54935970,135126,1962,,,61671642,100.00,04/11/2018
