 Historical Data - End of Day NOVA,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,8450.0000,8450.0000,0.30,8440.0000,8425.0000,8538.0000,8431.0000,28069844,2371902,4459498,52551,419,,,28069844,100.00,09/12/2018
30/12/2018,8425.0000,8425.0000,2.11,8488.0000,8251.0000,8500.0000,8401.0000,28069844,2364884,2779532,32962,267,,,28069844,100.00,09/12/2018
27/12/2018,8251.0000,8251.0000,1.74,8300.0000,8110.0000,8383.0000,8019.0000,28069844,2316043,9105010,111193,627,,,28069844,100.00,09/12/2018
26/12/2018,8110.0000,8110.0000,0.12,8100.0000,8100.0000,8180.0000,8073.0000,28069844,2276464,8855161,109086,513,,,28069844,100.00,09/12/2018
25/12/2018,8100.0000,8100.0000,1.00,8020.0000,8020.0000,8154.0000,7940.0000,28069844,2273657,5827799,72573,376,,,28069844,100.00,09/12/2018
24/12/2018,8020.0000,8020.0000,-1.64,8151.0000,8154.0000,8207.0000,7970.0000,28069844,2251201,5855191,72566,627,,,28069844,100.00,09/12/2018
23/12/2018,8154.0000,8154.0000,-4.84,8355.0000,8569.0000,8355.0000,8083.0000,28069844,2288815,4447837,54577,361,,,28069844,100.00,09/12/2018
20/12/2018,8569.0000,8569.0000,-2.57,8679.0000,8795.0000,8690.0000,8539.0000,28069844,2405305,5679437,66163,606,,,28069844,100.00,09/12/2018
19/12/2018,8795.0000,8795.0000,-0.72,8934.0000,8859.0000,8962.0000,8700.0000,28069844,2468743,11668415,132586,819,,,28069844,100.00,09/12/2018
18/12/2018,8859.0000,8859.0000,1.82,8600.0000,8701.0000,8859.0000,8585.0000,28069844,2486707,5676698,65379,620,,,28069844,100.00,09/12/2018
17/12/2018,8701.0000,8701.0000,-0.30,8718.0000,8727.0000,8765.0000,8546.0000,28069844,2442357,5214519,60114,647,,,28069844,100.00,09/12/2018
16/12/2018,8727.0000,8727.0000,-4.08,8820.0000,9098.0000,8820.0000,8720.0000,28069844,2449655,1018707,11644,178,,,28069844,100.00,09/12/2018
13/12/2018,9098.0000,9098.0000,0.79,9027.0000,9027.0000,9112.0000,8950.0000,28069844,2553794,3078248,33949,381,,,28069844,100.00,09/12/2018
12/12/2018,9027.0000,9027.0000,-1.13,9124.0000,9130.0000,9124.0000,9027.0000,28069844,2533865,2790480,30846,386,,,28069844,100.00,09/12/2018
11/12/2018,9130.0000,9130.0000,1.94,8924.0000,8956.0000,9131.0000,8910.0000,28069844,2562777,5561878,61540,493,,,28069844,100.00,09/12/2018
10/12/2018,8956.0000,8956.0000,-0.51,9002.0000,9002.0000,9005.0000,8937.0000,28069844,2513935,3226427,35991,340,,,28069844,100.00,09/12/2018
09/12/2018,9002.0000,9002.0000,-0.03,8999.0000,9005.0000,9017.0000,8971.0000,28069844,2526847,709442,7885,112,,,28069844,100.00,09/12/2018
06/12/2018,9005.0000,9005.0000,-4.51,9179.0000,9430.0000,9267.0000,8988.0000,28069844,2527689,5725542,63254,421,,,28024155,100.00,04/11/2018
05/12/2018,9430.0000,9430.0000,0.69,9219.0000,9365.0000,9430.0000,9219.0000,28069844,2646986,3888922,41466,237,,,28024155,100.00,04/11/2018
04/12/2018,9365.0000,9365.0000,-1.11,9396.0000,9470.0000,9445.0000,9315.0000,28069844,2628741,3497440,37306,496,,,28024155,100.00,04/11/2018
03/12/2018,9470.0000,9470.0000,2.54,9360.0000,9235.0000,9515.0000,9328.0000,28069844,2658214,4136642,43858,499,,,28024155,100.00,04/11/2018
02/12/2018,9235.0000,9235.0000,1.06,9300.0000,9138.0000,9373.0000,9138.0000,28069844,2592250,2415310,26062,275,,,28024155,100.00,04/11/2018
29/11/2018,9138.0000,9138.0000,0.97,9100.0000,9050.0000,9138.0000,8980.0000,28069844,2565022,2521846,27756,265,,,28024155,100.00,04/11/2018
28/11/2018,9050.0000,9050.0000,1.70,8950.0000,8899.0000,9078.0000,8931.0000,28069844,2540321,2889126,32049,318,,,28024155,100.00,04/11/2018
27/11/2018,8899.0000,8899.0000,2.09,8899.0000,8717.0000,8935.0000,8768.0000,28069844,2497935,3472975,39211,380,,,28024155,100.00,04/11/2018
26/11/2018,8717.0000,8717.0000,1.67,8574.0000,8574.0000,8729.0000,8574.0000,28069844,2446848,2323927,26827,264,,,28024155,100.00,04/11/2018
25/11/2018,8574.0000,8574.0000,0.65,8525.0000,8519.0000,8610.0000,8525.0000,28069844,2406708,890301,10381,119,,,28024155,100.00,04/11/2018
22/11/2018,8519.0000,8519.0000,-0.70,8579.0000,8579.0000,8581.0000,8468.0000,28069844,2391270,2030755,23885,268,,,28024155,100.00,04/11/2018
21/11/2018,8579.0000,8579.0000,3.22,8311.0000,8311.0000,8599.0000,8311.0000,28069844,2408112,5310445,62806,514,,,28024155,100.00,04/11/2018
20/11/2018,8311.0000,8311.0000,-2.81,8440.0000,8551.0000,8461.0000,8250.0000,28069844,2332885,4297057,51649,323,,,28024155,100.00,04/11/2018
19/11/2018,8551.0000,8551.0000,-0.78,8624.0000,8618.0000,8701.0000,8521.0000,28069844,2400252,1852182,21529,288,,,28024155,100.00,04/11/2018
18/11/2018,8618.0000,8618.0000,-0.67,8678.0000,8676.0000,8682.0000,8579.0000,28069844,2419059,754319,8757,128,,,28024155,100.00,04/11/2018
15/11/2018,8676.0000,8676.0000,1.13,8579.0000,8579.0000,8676.0000,8480.0000,28069844,2435340,2059356,23958,272,,,28024155,100.00,04/11/2018
14/11/2018,8579.0000,8579.0000,-0.01,8580.0000,8580.0000,8586.0000,8430.0000,28069844,2408112,1834330,21527,284,,,28024155,100.00,04/11/2018
13/11/2018,8580.0000,8580.0000,1.72,8441.0000,8435.0000,8580.0000,8370.0000,28069844,2408393,2876337,33847,330,,,28024155,100.00,04/11/2018
12/11/2018,8435.0000,8435.0000,-1.18,8630.0000,8536.0000,8630.0000,8347.0000,28069844,2367691,7871656,93321,619,,,28024155,100.00,04/11/2018
11/11/2018,8536.0000,8536.0000,-0.62,8600.0000,8589.0000,8612.0000,8520.0000,28069844,2396042,1163370,13607,193,,,28024155,100.00,04/11/2018
08/11/2018,8589.0000,8589.0000,-0.81,8659.0000,8659.0000,8689.0000,8575.0000,28069844,2410919,6411337,74437,712,,,28024155,100.00,04/11/2018
07/11/2018,8659.0000,8659.0000,-2.38,8856.0000,8870.0000,8856.0000,8630.0000,28069844,2430568,5776351,65897,501,,,28024155,100.00,04/11/2018
06/11/2018,8870.0000,8870.0000,-1.93,9000.0000,9045.0000,9131.0000,8856.0000,28069844,2489795,3407823,37981,424,,,28024155,100.00,04/11/2018
05/11/2018,9045.0000,9045.0000,-0.42,9083.0000,9083.0000,9187.0000,9045.0000,28069844,2538917,7746288,85100,699,,,28024155,100.00,04/11/2018
04/11/2018,9083.0000,9083.0000,1.50,9100.0000,8949.0000,9128.0000,9022.0000,28069844,2549584,1577991,17408,222,,,28024155,100.00,04/11/2018
01/11/2018,8949.0000,8949.0000,8.91,8380.0000,8217.0000,8949.0000,8300.0000,28069844,2511970,28332937,319940,1403,,,28024155,100.00,07/10/2018
31/10/2018,8217.0000,8217.0000,3.70,8083.0000,7924.0000,8300.0000,8083.0000,28069844,2306499,7953443,96969,754,,,28024155,100.00,07/10/2018
29/10/2018,7924.0000,7924.0000,-3.38,8201.0000,8201.0000,8280.0000,7895.0000,28069844,2224254,17718563,220136,1093,,,28024155,100.00,07/10/2018
28/10/2018,8201.0000,8201.0000,0.51,8159.0000,8159.0000,8265.0000,8159.0000,28024155,2298261,1501148,18275,188,,,28024155,100.00,07/10/2018
25/10/2018,8159.0000,8159.0000,-0.69,8118.0000,8216.0000,8236.0000,8005.0000,28024155,2286491,8657829,107058,684,,,28024155,100.00,07/10/2018
24/10/2018,8216.0000,8216.0000,-0.89,8290.0000,8290.0000,8364.0000,8178.0000,28024155,2302465,4318554,52076,492,,,28024155,100.00,07/10/2018
23/10/2018,8290.0000,8290.0000,-3.49,8555.0000,8590.0000,8577.0000,8290.0000,28024155,2323202,2735305,32458,402,,,28024155,100.00,07/10/2018
22/10/2018,8590.0000,8590.0000,-2.00,8765.0000,8765.0000,8889.0000,8590.0000,28024155,2407275,4983316,56891,456,,,28024155,100.00,07/10/2018
21/10/2018,8765.0000,8765.0000,-2.10,8780.0000,8953.0000,8895.0000,8746.0000,28024155,2456317,1129019,12839,221,,,28024155,100.00,07/10/2018
18/10/2018,8953.0000,8953.0000,-0.48,8996.0000,8996.0000,9017.0000,8940.0000,28024155,2509003,4256643,47444,422,,,28024155,100.00,07/10/2018
17/10/2018,8996.0000,8996.0000,2.52,8870.0000,8775.0000,9018.0000,8870.0000,28024155,2521053,4659274,52013,477,,,28024155,100.00,07/10/2018
16/10/2018,8775.0000,8775.0000,0.38,8742.0000,8742.0000,8950.0000,8750.0000,28024155,2459120,2728241,30984,309,,,28024155,100.00,07/10/2018
15/10/2018,8742.0000,8742.0000,-0.41,8778.0000,8778.0000,8804.0000,8661.0000,28024155,2449872,3469662,39655,409,,,28024155,100.00,07/10/2018
14/10/2018,8778.0000,8778.0000,1.88,8770.0000,8616.0000,8797.0000,8710.0000,28024155,2459960,1077601,12316,131,,,28024155,100.00,07/10/2018
11/10/2018,8616.0000,8616.0000,-0.99,8620.0000,8702.0000,8768.0000,8460.0000,28024155,2414561,5576907,64728,572,,,28024155,100.00,07/10/2018
