 Historical Data - End of Day PARTNER,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,1835.0000,1835.0000,-0.54,1845.0000,1845.0000,1880.0000,1805.0000,163300770,2996569,3579751,194110,382,,,163212876,80.00,09/12/2018
30/12/2018,1845.0000,1845.0000,0.60,1835.0000,1834.0000,1871.0000,1782.0000,163300770,3012899,3152353,173029,431,,,163212876,80.00,09/12/2018
27/12/2018,1834.0000,1834.0000,-1.93,1871.0000,1870.0000,1900.0000,1818.0000,163300770,2994936,5283835,283856,343,,,163212876,80.00,09/12/2018
26/12/2018,1870.0000,1870.0000,1.08,1851.0000,1850.0000,1896.0000,1818.0000,163296886,3053652,2518359,135134,258,,,163212876,80.00,09/12/2018
25/12/2018,1850.0000,1850.0000,1.87,1815.0000,1816.0000,1865.0000,1755.0000,163296886,3020992,3357325,185556,351,,,163212876,80.00,09/12/2018
24/12/2018,1816.0000,1816.0000,-1.89,1851.0000,1851.0000,1879.0000,1805.0000,163296886,2965471,3038151,165874,649,,,163212876,80.00,09/12/2018
23/12/2018,1851.0000,1851.0000,-5.17,1880.0000,1952.0000,1890.0000,1814.0000,163296886,3022625,4241131,229202,391,,,163212876,80.00,09/12/2018
20/12/2018,1952.0000,1952.0000,-0.31,1958.0000,1958.0000,1970.0000,1926.0000,163296886,3187555,5721546,292932,485,,,163212876,80.00,09/12/2018
19/12/2018,1958.0000,1958.0000,0.82,1942.0000,1942.0000,1990.0000,1929.0000,163296886,3197353,6396175,326445,457,,,163212876,80.00,09/12/2018
18/12/2018,1942.0000,1942.0000,-1.07,1963.0000,1963.0000,1965.0000,1926.0000,163296886,3171226,4984384,256542,514,,,163212876,80.00,09/12/2018
