 Historical Data - End of Day PAZ OIL,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,53509.3978,56410.0000,0.77,55990.0000,55980.0000,57000.0000,55990.0000,10167160,5735295,5684286,10061,432,,,10167160,100.00,09/12/2018
30/12/2018,53101.5084,55980.0000,1.38,55780.0000,55220.0000,55980.0000,54600.0000,10167160,5691576,7686574,13852,658,,,10167160,100.00,09/12/2018
27/12/2018,52380.5876,55220.0000,-0.32,55800.0000,55400.0000,55850.0000,54300.0000,10167160,5614306,23280057,42004,771,,,10167160,100.00,09/12/2018
26/12/2018,52551.3320,55400.0000,-1.05,55440.0000,55990.0000,56220.0000,54990.0000,10167160,5632607,9693373,17384,508,,,10167160,100.00,09/12/2018
25/12/2018,53110.9942,55990.0000,3.69,54000.0000,54000.0000,56300.0000,52800.0000,10167160,5692593,8957572,16481,809,,,10167160,100.00,09/12/2018
24/12/2018,51223.3200,54000.0000,-0.86,54980.0000,54470.0000,54980.0000,52510.0000,10167160,5490266,9803791,18183,772,,,10167160,100.00,09/12/2018
23/12/2018,51669.1526,54470.0000,-1.23,54750.0000,55150.0000,54750.0000,52520.0000,10167160,5538052,10207494,18842,811,,,10167160,100.00,09/12/2018
20/12/2018,52314.1870,55150.0000,-1.87,55650.0000,56200.0000,55840.0000,55000.0000,10167160,5607189,11046559,19922,497,,,10167160,100.00,09/12/2018
19/12/2018,53310.1960,56200.0000,1.26,56200.0000,55500.0000,56250.0000,55800.0000,10167160,5713944,11167927,19890,439,,,10167160,100.00,09/12/2018
18/12/2018,52646.1900,55500.0000,-1.18,56100.0000,56160.0000,56720.0000,55400.0000,10167160,5642774,10153718,18213,636,,,10167160,100.00,09/12/2018
17/12/2018,53272.2528,56160.0000,0.84,55550.0000,55690.0000,56160.0000,54840.0000,10167160,5709877,4800269,8605,449,,,10167160,100.00,09/12/2018
16/12/2018,52826.4202,55690.0000,-0.80,56000.0000,56140.0000,56010.0000,55580.0000,10167160,5662091,1994447,3580,158,,,10167160,100.00,09/12/2018
13/12/2018,53253.2812,56140.0000,-0.99,56600.0000,56700.0000,56980.0000,55710.0000,10167160,5707844,7684835,13639,458,,,10167160,100.00,09/12/2018
12/12/2018,53784.4860,56700.0000,0.00,56800.0000,56700.0000,57250.0000,56590.0000,10167160,5764780,5213654,9170,363,,,10167160,100.00,09/12/2018
11/12/2018,53784.4860,56700.0000,0.37,57050.0000,56490.0000,57050.0000,55950.0000,10167160,5764780,11177936,19766,821,,,10167160,100.00,09/12/2018
10/12/2018,53585.2842,56490.0000,0.57,56500.0000,56170.0000,56560.0000,56040.0000,10167160,5743429,3875720,6875,374,,,10167160,100.00,09/12/2018
09/12/2018,53281.7386,56170.0000,0.14,55600.0000,56090.0000,56490.0000,55590.0000,10167160,5710894,1931259,3436,189,,,10167160,100.00,09/12/2018
06/12/2018,53205.8522,56090.0000,-1.99,57230.0000,57230.0000,57230.0000,56090.0000,10167160,5702760,16578992,29400,578,,,10167160,100.00,04/11/2018
05/12/2018,54287.2334,57230.0000,0.05,57200.0000,57200.0000,57230.0000,56560.0000,10167160,5818666,16716656,29240,542,,,10167160,100.00,04/11/2018
04/12/2018,54258.7760,57200.0000,-1.00,57780.0000,57780.0000,57780.0000,56500.0000,10167160,5815616,5817848,10193,466,,,10167160,100.00,04/11/2018
03/12/2018,54808.9524,57780.0000,0.17,57840.0000,57680.0000,58310.0000,57680.0000,10167160,5874585,5110837,8817,392,,,10167160,100.00,04/11/2018
02/12/2018,54714.0944,57680.0000,1.10,57300.0000,57050.0000,57800.0000,57150.0000,10167160,5864418,3795879,6602,297,,,10167160,100.00,04/11/2018
