 Historical Data - End of Day PHOENIX,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,1743.7594,1901.0000,1.22,1888.0000,1878.0000,1925.0000,1886.0000,256095297,4868372,3473189,182294,433,,,256065800,60.00,09/12/2018
30/12/2018,1722.6618,1878.0000,-0.42,1890.0000,1886.0000,1906.0000,1871.0000,256095297,4809470,4338069,230140,529,,,256065800,60.00,09/12/2018
27/12/2018,1730.0002,1886.0000,-1.62,1955.0000,1917.0000,1955.0000,1866.0000,256095297,4829957,18681972,975479,837,,,256065800,60.00,09/12/2018
26/12/2018,1758.4360,1917.0000,-0.47,1923.0000,1926.0000,1971.0000,1901.0000,256095297,4909347,8230410,424986,691,,,256065800,60.00,09/12/2018
25/12/2018,1766.6916,1926.0000,0.31,1851.0000,1920.0000,1974.0000,1837.0000,256095297,4932395,28552260,1487538,855,,,256065800,60.00,09/12/2018
24/12/2018,1761.1878,1920.0000,-4.00,2005.0000,2000.0000,2012.0000,1896.0000,256095297,4917030,17388175,889803,1198,,,256065800,60.00,09/12/2018
23/12/2018,1834.5707,2000.0000,-3.85,2040.0000,2080.0000,2043.0000,1964.0000,256095297,5121906,26486408,1332287,961,,,256065800,60.00,09/12/2018
20/12/2018,1907.9535,2080.0000,-1.89,2088.0000,2120.0000,2113.0000,2065.0000,256095297,5326782,8385880,401017,595,,,256065800,60.00,09/12/2018
19/12/2018,1944.6449,2120.0000,0.57,2140.0000,2108.0000,2140.0000,2094.0000,256095297,5429220,8487462,402048,502,,,256065800,60.00,09/12/2018
18/12/2018,1933.6374,2108.0000,-0.85,2130.0000,2126.0000,2140.0000,2108.0000,256095297,5398489,9057206,426223,577,,,256065800,60.00,09/12/2018
17/12/2018,1950.1486,2126.0000,0.90,2107.0000,2107.0000,2130.0000,2100.0000,256095297,5444586,3100331,146311,412,,,256065800,60.00,09/12/2018
16/12/2018,1932.7202,2107.0000,-1.68,2143.0000,2143.0000,2143.0000,2100.0000,256095297,5395928,1525300,72235,195,,,256065800,60.00,09/12/2018
13/12/2018,1965.7425,2143.0000,0.19,2139.0000,2139.0000,2176.0000,2124.0000,256095297,5488122,8213931,382514,640,,,256065800,60.00,09/12/2018
12/12/2018,1962.0734,2139.0000,0.00,2160.0000,2139.0000,2180.0000,2139.0000,256095297,5477878,3965086,183877,421,,,256065800,60.00,09/12/2018
11/12/2018,1962.0734,2139.0000,1.18,2143.0000,2114.0000,2178.0000,2125.0000,256095297,5477878,14391833,672771,797,,,256065800,60.00,09/12/2018
10/12/2018,1939.1412,2114.0000,-2.76,2174.0000,2174.0000,2174.0000,2114.0000,256095297,5413855,6494393,304208,593,,,256065800,60.00,09/12/2018
09/12/2018,1994.1783,2174.0000,1.02,2147.0000,2152.0000,2180.0000,2140.0000,256095297,5567512,2303923,106572,269,,,256065800,60.00,09/12/2018
06/12/2018,1973.9981,2152.0000,-2.54,2208.0000,2208.0000,2208.0000,2152.0000,256095297,5511171,14960179,691431,674,,,256065800,60.00,04/11/2018
05/12/2018,2025.3660,2208.0000,0.05,2165.0000,2207.0000,2220.0000,2165.0000,256095297,5654584,11092387,502890,565,,,256065800,60.00,04/11/2018
04/12/2018,2024.4487,2207.0000,-2.95,2270.0000,2274.0000,2270.0000,2204.0000,256095297,5652023,4584384,206036,501,,,256065800,60.00,04/11/2018
