 Historical Data - End of Day REIT 1,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,1332.8082,1381.0000,0.88,1380.0000,1369.0000,1396.0000,1374.0000,175931074,2429608,4722478,340342,435,,,175919196,100.00,09/12/2018
30/12/2018,1321.2270,1369.0000,1.33,1354.0000,1351.0000,1390.0000,1352.0000,175931074,2408496,3534483,257912,408,,,175919196,100.00,09/12/2018
27/12/2018,1303.8551,1351.0000,-2.17,1395.0000,1381.0000,1395.0000,1351.0000,175931074,2376829,6336107,462708,453,,,175919196,100.00,09/12/2018
26/12/2018,1332.8082,1381.0000,1.32,1360.0000,1363.0000,1386.0000,1355.0000,175931074,2429608,2076727,151460,269,,,175919196,100.00,09/12/2018
25/12/2018,1315.4363,1363.0000,2.25,1318.0000,1333.0000,1367.0000,1293.0000,175931074,2397941,23034548,1744126,582,,,175919196,100.00,09/12/2018
24/12/2018,1286.4832,1333.0000,-0.52,1335.0000,1340.0000,1358.0000,1312.0000,175931074,2345161,6385291,478198,612,,,175919196,100.00,09/12/2018
23/12/2018,1293.2390,1340.0000,-4.29,1387.0000,1400.0000,1387.0000,1334.0000,175919196,2357317,4485666,330439,412,,,175919196,100.00,09/12/2018
20/12/2018,1351.1453,1400.0000,-2.10,1430.0000,1430.0000,1430.0000,1400.0000,175919196,2462869,3770426,267726,263,,,175919196,100.00,09/12/2018
19/12/2018,1380.0984,1430.0000,1.13,1414.0000,1414.0000,1437.0000,1411.0000,175919196,2515645,3984057,279511,316,,,175919196,100.00,09/12/2018
18/12/2018,1364.6566,1414.0000,-0.14,1412.0000,1416.0000,1418.0000,1403.0000,175919196,2487497,3314976,234744,295,,,175919196,100.00,09/12/2018
17/12/2018,1366.5869,1416.0000,0.21,1411.0000,1413.0000,1418.0000,1404.0000,175919196,2491016,3306395,234413,412,,,175919196,100.00,09/12/2018
16/12/2018,1363.6916,1413.0000,-1.19,1420.0000,1430.0000,1427.0000,1412.0000,175919196,2485738,997741,70351,145,,,175919196,100.00,09/12/2018
13/12/2018,1380.0984,1430.0000,-0.21,1436.0000,1433.0000,1441.0000,1421.0000,175919196,2515645,2922146,204429,237,,,175919196,100.00,09/12/2018
12/12/2018,1382.9936,1433.0000,-1.44,1454.0000,1454.0000,1456.0000,1433.0000,175919196,2520922,2406590,166770,228,,,175919196,100.00,09/12/2018
11/12/2018,1403.2608,1454.0000,0.97,1438.0000,1440.0000,1455.0000,1434.0000,175919196,2557865,3175762,219064,275,,,175919196,100.00,09/12/2018
10/12/2018,1389.7493,1440.0000,-0.62,1435.0000,1449.0000,1449.0000,1432.0000,175919196,2533236,1917547,133219,304,,,175919196,100.00,09/12/2018
09/12/2018,1398.4354,1449.0000,-1.02,1464.0000,1464.0000,1464.0000,1448.0000,175919196,2549069,922699,63441,151,,,175919196,100.00,09/12/2018
06/12/2018,1412.9118,1464.0000,-1.08,1462.0000,1480.0000,1471.0000,1454.0000,175919196,2575457,4930378,336954,338,,,175828623,100.00,04/11/2018
05/12/2018,1428.3535,1480.0000,1.86,1454.0000,1453.0000,1480.0000,1434.0000,175919196,2603604,5334337,362923,367,,,175828623,100.00,04/11/2018
04/12/2018,1402.2956,1453.0000,-0.82,1472.0000,1465.0000,1472.0000,1445.0000,175919196,2556106,2083329,142852,286,,,175828623,100.00,04/11/2018
03/12/2018,1413.8770,1465.0000,1.67,1450.0000,1441.0000,1479.0000,1450.0000,175919196,2577216,2402336,164283,286,,,175828623,100.00,04/11/2018
02/12/2018,1390.7144,1441.0000,2.05,1420.0000,1412.0000,1444.0000,1420.0000,175919196,2534996,3854211,268717,284,,,175828623,100.00,04/11/2018
29/11/2018,1362.7265,1412.0000,-1.12,1434.0000,1428.0000,1441.0000,1412.0000,175919196,2483979,6051705,427138,315,,,175828623,100.00,04/11/2018
