 Historical Data - End of Day SAPIENS,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,4070.8489,4119.0000,1.70,4050.0000,4050.0000,4165.0000,4067.0000,49796315,2051110,3694153,89880,288,,,49796315,60.00,09/12/2018
30/12/2018,4002.6555,4050.0000,3.82,4032.0000,3901.0000,4060.0000,4032.0000,49796315,2016751,1084336,26778,256,,,49796315,60.00,09/12/2018
27/12/2018,3855.3973,3901.0000,-1.34,4269.0000,3954.0000,4269.0000,3901.0000,49796315,1942554,2414708,59797,331,,,49796315,60.00,09/12/2018
26/12/2018,3907.7777,3954.0000,1.36,3901.0000,3901.0000,3978.0000,3904.0000,49796315,1968946,1741847,44083,237,,,49796315,60.00,09/12/2018
25/12/2018,3855.3973,3901.0000,1.69,3836.0000,3836.0000,3930.0000,3771.0000,49796315,1942554,974904,25450,185,,,49796315,60.00,09/12/2018
24/12/2018,3791.1572,3836.0000,-1.64,3900.0000,3900.0000,3949.0000,3801.0000,49796315,1910187,1628099,42182,320,,,49796315,60.00,09/12/2018
23/12/2018,3854.4090,3900.0000,-4.36,4020.0000,4078.0000,4020.0000,3866.0000,49796315,1942056,1877092,48042,194,,,49796315,60.00,09/12/2018
20/12/2018,4030.3282,4078.0000,-0.51,4099.0000,4099.0000,4099.0000,3999.0000,49796315,2030694,1683980,41728,232,,,49796315,60.00,09/12/2018
19/12/2018,4051.0827,4099.0000,2.04,4017.0000,4017.0000,4099.0000,4014.0000,49796315,2041151,2566311,63004,338,,,49796315,60.00,09/12/2018
18/12/2018,3970.0413,4017.0000,-2.59,4124.0000,4124.0000,4124.0000,4015.0000,49796315,2000318,1074647,26610,230,,,49796315,60.00,09/12/2018
17/12/2018,4075.7904,4124.0000,-3.22,4250.0000,4261.0000,4270.0000,4115.0000,49796315,2053600,1993625,47396,375,,,49796315,60.00,09/12/2018
16/12/2018,4211.1889,4261.0000,-2.16,4245.0000,4355.0000,4315.0000,4245.0000,49796315,2121821,1097631,25684,201,,,49796315,60.00,09/12/2018
13/12/2018,4304.0901,4355.0000,-0.14,4361.0000,4361.0000,4361.0000,4318.0000,49796315,2168630,986118,22723,220,,,49796315,60.00,09/12/2018
12/12/2018,4310.0199,4361.0000,-2.35,4390.0000,4466.0000,4411.0000,4350.0000,49796315,2171617,2171221,49664,404,,,49796315,60.00,09/12/2018
11/12/2018,4413.7925,4466.0000,1.92,4318.0000,4382.0000,4499.0000,4318.0000,49796315,2223903,2862450,65091,378,,,49796315,60.00,09/12/2018
10/12/2018,4330.7744,4382.0000,-0.61,4409.0000,4409.0000,4409.0000,4343.0000,49796315,2182075,1099314,25141,191,,,49796315,60.00,09/12/2018
09/12/2018,4357.4588,4409.0000,-0.27,4419.0000,4421.0000,4424.0000,4400.0000,49796315,2195520,864578,19590,246,,,49796315,60.00,09/12/2018
