 Historical Data - End of Day SELLA REAL EST,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,551.3052,587.1000,-0.05,588.0000,587.4000,604.7000,586.1000,191654204,1125202,2247553,379171,312,,,191654204,100.00,09/12/2018
30/12/2018,551.5869,587.4000,0.31,590.0000,585.6000,590.7000,580.6000,191654204,1125777,2837514,484591,347,,,191654204,100.00,09/12/2018
27/12/2018,549.8968,585.6000,-2.35,605.0000,599.7000,605.0000,585.0000,191654204,1122327,3936219,665799,392,,,191654204,100.00,09/12/2018
26/12/2018,563.1371,599.7000,1.82,590.0000,589.0000,600.0000,585.0000,191654204,1149350,1555177,262618,236,,,191654204,100.00,09/12/2018
25/12/2018,553.0894,589.0000,1.55,578.3000,580.0000,592.1000,561.1000,191654204,1128843,4170710,723844,398,,,191654204,100.00,09/12/2018
24/12/2018,544.6381,580.0000,-1.44,580.3000,588.5000,592.5000,574.2000,191654204,1111594,3491485,597231,366,,,191654204,100.00,09/12/2018
23/12/2018,552.6200,588.5000,-2.73,595.0000,605.0000,595.0000,574.5000,191654204,1127885,6861284,1183223,417,,,191654204,100.00,09/12/2018
20/12/2018,568.1140,605.0000,0.00,603.0000,605.0000,605.0000,597.2000,191654204,1159508,2188926,364784,268,,,191654204,100.00,09/12/2018
19/12/2018,568.1140,605.0000,0.92,599.5000,599.5000,607.2000,597.6000,191654204,1159508,2227183,369394,228,,,191654204,100.00,09/12/2018
18/12/2018,562.9493,599.5000,-1.14,601.0000,606.4000,602.9000,596.2000,191654204,1148967,2627354,438679,292,,,191654204,100.00,09/12/2018
17/12/2018,569.4285,606.4000,-0.39,608.8000,608.8000,608.8000,601.1000,191654204,1162191,1365224,225907,196,,,191654204,100.00,09/12/2018
16/12/2018,571.6822,608.8000,-0.69,613.0000,613.0000,612.6000,607.8000,191654204,1166791,1395643,229227,152,,,191654204,100.00,09/12/2018
13/12/2018,575.6261,613.0000,-0.33,615.0000,615.0000,616.0000,607.0000,191654204,1174840,4370397,716665,191,,,191654204,100.00,09/12/2018
12/12/2018,577.5042,615.0000,0.65,611.0000,611.0000,616.5000,607.9000,191654204,1178673,2027138,330846,177,,,191654204,100.00,09/12/2018
11/12/2018,573.7481,611.0000,0.23,609.6000,609.6000,616.7000,599.6000,191654204,1171007,3899563,640307,301,,,191654204,100.00,09/12/2018
10/12/2018,572.4334,609.6000,-0.03,610.0000,609.8000,611.9000,605.1000,191654204,1168324,1049351,172401,186,,,191654204,100.00,09/12/2018
09/12/2018,572.6213,609.8000,-0.36,612.4000,612.0000,614.9000,609.5000,191654204,1168707,564237,92386,112,,,191654204,100.00,09/12/2018
