 Historical Data - End of Day SHIKUN & BINUI,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,624.7660,634.1000,1.78,623.0000,623.0000,640.3000,622.0000,400505912,2539608,1846562,291835,343,,,407048593,60.00,09/12/2018
30/12/2018,613.8294,623.0000,2.91,606.0000,605.4000,623.0000,596.0000,400505912,2495152,1965492,323303,294,,,407048593,60.00,09/12/2018
27/12/2018,596.4885,605.4000,-0.85,629.0000,610.6000,629.0000,598.1000,400505912,2424663,1687004,274548,283,,,407048593,60.00,09/12/2018
26/12/2018,601.6120,610.6000,2.55,595.4000,595.4000,615.8000,590.0000,400505912,2445489,1695073,279992,273,,,407048593,60.00,09/12/2018
25/12/2018,586.6357,595.4000,-0.77,586.0000,600.0000,601.7000,577.7000,400505912,2384612,1699064,287785,285,,,407048593,60.00,09/12/2018
24/12/2018,591.1680,600.0000,-1.98,612.0000,612.1000,627.0000,590.0000,400505912,2403035,2246547,373109,368,,,407048593,60.00,09/12/2018
23/12/2018,603.0899,612.1000,-4.95,635.0000,644.0000,635.0000,600.0000,400505912,2451497,2224855,362931,310,,,407048593,60.00,09/12/2018
20/12/2018,634.5203,644.0000,-3.59,664.0000,668.0000,664.7000,644.0000,400505912,2579258,2603594,398879,321,,,407048593,60.00,09/12/2018
19/12/2018,658.1670,668.0000,-0.52,671.5000,671.5000,679.7000,655.0000,400505912,2675379,2689335,402820,212,,,407048593,60.00,09/12/2018
18/12/2018,661.6155,671.5000,-0.96,684.8000,678.0000,684.8000,665.0000,400505912,2689397,1749517,260297,273,,,407048593,60.00,09/12/2018
17/12/2018,668.0198,678.0000,-0.88,684.0000,684.0000,689.0000,676.4000,400505912,2715430,1663980,244063,233,,,407048593,60.00,09/12/2018
16/12/2018,673.9315,684.0000,-1.94,697.0000,697.5000,697.0000,684.0000,400505912,2739460,1047299,152899,163,,,407048593,60.00,09/12/2018
13/12/2018,687.2328,697.5000,1.50,693.3000,687.2000,699.0000,687.2000,400505912,2793529,774041,111890,145,,,407048593,60.00,09/12/2018
12/12/2018,677.0844,687.2000,0.17,686.0000,686.0000,696.9000,686.0000,400505912,2752277,2069320,300924,264,,,407048593,60.00,09/12/2018
11/12/2018,675.9021,686.0000,0.91,680.6000,679.8000,686.9000,680.6000,400505912,2747471,1603763,234452,227,,,407048593,60.00,09/12/2018
10/12/2018,669.7933,679.8000,0.24,678.0000,678.2000,683.0000,677.2000,400505912,2722639,934726,137419,239,,,407048593,60.00,09/12/2018
