 Historical Data - End of Day SHUFERSAL,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,2385.3026,2455.0000,0.20,2465.0000,2450.0000,2470.0000,2418.0000,238156416,5846740,13355744,546283,1131,,,236206414,80.00,09/12/2018
30/12/2018,2380.4445,2450.0000,1.66,2430.0000,2410.0000,2450.0000,2401.0000,238156416,5834832,6204995,255601,806,,,236206414,80.00,09/12/2018
27/12/2018,2341.5801,2410.0000,0.42,2400.0000,2400.0000,2429.0000,2365.0000,238156416,5739570,22197440,925670,1131,,,236206414,80.00,09/12/2018
26/12/2018,2331.8640,2400.0000,1.69,2367.0000,2360.0000,2429.0000,2367.0000,238156416,5715754,14528775,602822,1033,,,236206414,80.00,09/12/2018
25/12/2018,2292.9996,2360.0000,1.64,2300.0000,2322.0000,2380.0000,2257.0000,238156416,5620491,18464530,799130,1205,,,236206414,80.00,09/12/2018
24/12/2018,2256.0784,2322.0000,-2.31,2377.0000,2377.0000,2385.0000,2265.0000,238156416,5529992,26624136,1146810,1756,,,236206414,80.00,09/12/2018
23/12/2018,2309.5170,2377.0000,-1.57,2360.0000,2415.0000,2377.0000,2316.0000,238156416,5660978,18604136,794398,1312,,,236206414,80.00,09/12/2018
20/12/2018,2346.4382,2415.0000,-1.35,2418.0000,2448.0000,2429.0000,2405.0000,238156416,5751477,18074130,747389,638,,,236206414,80.00,09/12/2018
19/12/2018,2378.5013,2448.0000,-0.16,2473.0000,2452.0000,2475.0000,2411.0000,238156416,5830069,19526352,796865,654,,,236206414,80.00,09/12/2018
18/12/2018,2382.3877,2452.0000,-0.93,2487.0000,2475.0000,2487.0000,2432.0000,238156416,5839595,15291547,619859,680,,,236206414,80.00,09/12/2018
17/12/2018,2404.7348,2475.0000,-0.56,2490.0000,2489.0000,2502.0000,2455.0000,238156416,5894371,5899902,238057,484,,,236206414,80.00,09/12/2018
16/12/2018,2418.3373,2489.0000,-1.15,2515.0000,2518.0000,2515.0000,2471.0000,238156416,5927713,4673196,187653,363,,,236206414,80.00,09/12/2018
