 Historical Data - End of Day STRAUSS GROUP,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,8320.0516,8485.0000,1.25,8385.0000,8380.0000,8517.0000,8380.0000,115229276,9777204,9581120,113041,837,,,115150671,45.00,09/12/2018
30/12/2018,8217.0928,8380.0000,1.45,8260.0000,8260.0000,8400.0000,8200.0000,115229276,9656213,5282872,63624,628,,,115150671,45.00,09/12/2018
27/12/2018,8099.4256,8260.0000,-1.14,8439.0000,8355.0000,8440.0000,8250.0000,115229276,9517938,40959663,487725,798,,,115150671,45.00,09/12/2018
26/12/2018,8192.5788,8355.0000,1.77,8115.0000,8210.0000,8380.0000,8115.0000,115229276,9627406,11711894,140610,705,,,115150671,45.00,09/12/2018
25/12/2018,8050.3976,8210.0000,1.67,8051.0000,8075.0000,8230.0000,7809.0000,115229276,9460324,10428711,128787,768,,,115150671,45.00,09/12/2018
24/12/2018,7918.0220,8075.0000,-1.10,8290.0000,8165.0000,8298.0000,7857.0000,115229276,9304764,8695496,106995,818,,,115150671,45.00,09/12/2018
23/12/2018,8006.2724,8165.0000,-2.51,8200.0000,8375.0000,8282.0000,8111.0000,115229276,9408470,10449596,127854,751,,,115150671,45.00,09/12/2018
20/12/2018,8212.1900,8375.0000,-0.29,8298.0000,8399.0000,8390.0000,8295.0000,115229276,9650452,24849016,297316,945,,,115150671,45.00,09/12/2018
19/12/2018,8235.7234,8399.0000,-0.31,8460.0000,8425.0000,8468.0000,8382.0000,115229276,9678107,13311889,158313,675,,,115150671,45.00,09/12/2018
18/12/2018,8261.2180,8425.0000,-0.23,8400.0000,8444.0000,8430.0000,8381.0000,115229276,9708067,11611366,138083,880,,,115150671,45.00,09/12/2018
17/12/2018,8279.8486,8444.0000,0.56,8469.0000,8397.0000,8469.0000,8347.0000,115229276,9729960,5680232,67351,602,,,115150671,45.00,09/12/2018
16/12/2018,8233.7623,8397.0000,-0.15,8380.0000,8410.0000,8410.0000,8356.0000,115229276,9675802,13012694,154975,375,,,115150671,45.00,09/12/2018
13/12/2018,8246.5096,8410.0000,-1.41,8499.0000,8530.0000,8600.0000,8381.0000,115229276,9690782,36891612,438671,629,,,115150671,45.00,09/12/2018
12/12/2018,8364.1768,8530.0000,-0.26,8560.0000,8552.0000,8610.0000,8475.0000,115229276,9829057,6817503,79786,613,,,115150671,45.00,09/12/2018
11/12/2018,8385.7491,8552.0000,0.84,8510.0000,8481.0000,8594.0000,8362.0000,115229276,9854408,10505389,123751,904,,,115150671,45.00,09/12/2018
10/12/2018,8316.1294,8481.0000,0.14,8537.0000,8469.0000,8590.0000,8453.0000,115229276,9772595,4798838,56456,416,,,115150671,45.00,09/12/2018
09/12/2018,8304.3626,8469.0000,1.05,8326.0000,8381.0000,8530.0000,8326.0000,115229276,9758767,1646958,19485,256,,,115150671,45.00,09/12/2018
06/12/2018,8218.0734,8381.0000,-1.98,8550.0000,8550.0000,8550.0000,8380.0000,115229276,9657366,11786068,140112,493,,,115117905,45.00,04/11/2018
05/12/2018,8383.7880,8550.0000,-0.13,8500.0000,8561.0000,8600.0000,8476.0000,115222894,9851557,14681614,171863,531,,,115117905,45.00,04/11/2018
04/12/2018,8394.5742,8561.0000,-1.46,8665.0000,8688.0000,8665.0000,8550.0000,115222894,9864232,4156962,48413,494,,,115117905,45.00,04/11/2018
03/12/2018,8519.1053,8688.0000,-0.08,8759.0000,8695.0000,8759.0000,8631.0000,115222894,10010565,5032725,57866,435,,,115117905,45.00,04/11/2018
02/12/2018,8525.9692,8695.0000,1.72,8630.0000,8548.0000,8709.0000,8576.0000,115208045,10017340,3420961,39675,363,,,115117905,45.00,04/11/2018
29/11/2018,8381.8269,8548.0000,-0.60,8643.0000,8600.0000,8648.0000,8487.0000,115204110,9847647,15562574,180861,647,,,115117905,45.00,04/11/2018
28/11/2018,8432.8160,8600.0000,1.97,8484.0000,8434.0000,8624.0000,8453.0000,115204110,9907553,34512886,404910,596,,,115117905,45.00,04/11/2018
27/11/2018,8270.0430,8434.0000,0.50,8429.0000,8392.0000,8470.0000,8360.0000,115204110,9716315,4797633,56930,438,,,115117905,45.00,04/11/2018
26/11/2018,8228.8595,8392.0000,0.30,8367.0000,8367.0000,8494.0000,8367.0000,115204110,9667929,3250034,38625,292,,,115117905,45.00,04/11/2018
25/11/2018,8204.3455,8367.0000,-0.25,8320.0000,8388.0000,8430.0000,8308.0000,115204110,9639128,1705537,20432,187,,,115117905,45.00,04/11/2018
22/11/2018,8224.9373,8388.0000,-0.32,8430.0000,8415.0000,8430.0000,8358.0000,115182010,9661467,5518700,65635,282,,,115117905,45.00,04/11/2018
