 Historical Data - End of Day SUMMIT,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,3066.3478,3078.0000,-0.71,3100.0000,3100.0000,3153.0000,3041.0000,66626699,2050770,2850085,92216,293,,,66626699,60.00,09/12/2018
30/12/2018,3088.2646,3100.0000,1.77,3048.0000,3046.0000,3129.0000,3010.0000,66626699,2065428,2215056,72584,207,,,66626699,60.00,09/12/2018
27/12/2018,3034.4691,3046.0000,-2.90,3262.0000,3137.0000,3262.0000,3022.0000,66626699,2029449,1096228,35309,203,,,66626699,60.00,09/12/2018
26/12/2018,3125.1246,3137.0000,1.46,3100.0000,3092.0000,3170.0000,3057.0000,66626699,2090080,1169642,37378,176,,,66626699,60.00,09/12/2018
25/12/2018,3080.2949,3092.0000,3.72,2972.0000,2981.0000,3100.0000,2804.0000,66626699,2060098,1784188,61174,197,,,66626699,60.00,09/12/2018
24/12/2018,2969.7150,2981.0000,-5.52,3155.0000,3155.0000,3249.0000,2970.0000,66626699,1986142,2764264,90633,351,,,66626699,60.00,09/12/2018
23/12/2018,3143.0564,3155.0000,-6.18,3185.0000,3363.0000,3291.0000,3149.0000,66626699,2102072,1371050,42976,177,,,66626699,60.00,09/12/2018
20/12/2018,3350.2690,3363.0000,-1.06,3399.0000,3399.0000,3399.0000,3324.0000,66626699,2240656,1186371,35336,168,,,66626699,60.00,09/12/2018
19/12/2018,3386.1327,3399.0000,2.66,3311.0000,3311.0000,3399.0000,3300.0000,66626699,2264642,2102520,62353,201,,,66626699,60.00,09/12/2018
18/12/2018,3298.4658,3311.0000,-2.62,3400.0000,3400.0000,3410.0000,3300.0000,66626699,2206010,798796,23947,176,,,66626699,60.00,09/12/2018
17/12/2018,3387.1289,3400.0000,-0.47,3424.0000,3416.0000,3466.0000,3355.0000,66626699,2265308,2429790,71533,370,,,66626699,60.00,09/12/2018
16/12/2018,3403.0684,3416.0000,0.09,3413.0000,3413.0000,3420.0000,3376.0000,66626699,2275968,662940,19459,145,,,66626699,60.00,09/12/2018
13/12/2018,3400.0797,3413.0000,0.41,3400.0000,3399.0000,3424.0000,3375.0000,66626699,2273969,1059003,31131,150,,,66626699,60.00,09/12/2018
12/12/2018,3386.1327,3399.0000,-0.26,3438.0000,3408.0000,3450.0000,3359.0000,66626699,2264642,2257814,66412,163,,,66626699,60.00,09/12/2018
11/12/2018,3395.0985,3408.0000,1.22,3310.0000,3367.0000,3425.0000,3310.0000,66626699,2270638,1076820,31761,142,,,66626699,60.00,09/12/2018
10/12/2018,3354.2538,3367.0000,-0.33,3380.0000,3378.0000,3404.0000,3340.0000,66626699,2243321,736706,21869,156,,,66626699,60.00,09/12/2018
09/12/2018,3365.2122,3378.0000,2.83,3285.0000,3285.0000,3395.0000,3285.0000,66626699,2250650,840778,25218,107,,,66626699,60.00,09/12/2018
06/12/2018,3272.5643,3285.0000,-3.35,3399.0000,3399.0000,3367.0000,3272.0000,66626699,2188687,1810864,54832,165,EX DIVIDEND,0.99971,66626699,60.00,04/11/2018
05/12/2018,3386.1465,3400.0000,2.07,3331.0000,3331.0000,3430.0000,3331.0000,66626699,2265308,2339623,68888,157,,,66626699,60.00,04/11/2018
04/12/2018,3317.4278,3331.0000,-1.74,3390.0000,3390.0000,3390.0000,3308.0000,66626699,2219335,764299,22807,176,,,66626699,60.00,04/11/2018
03/12/2018,3376.1873,3390.0000,0.27,3399.0000,3381.0000,3450.0000,3369.0000,66626699,2258645,451403,13261,100,,,66626699,60.00,04/11/2018
02/12/2018,3367.2241,3381.0000,2.49,3301.0000,3299.0000,3400.0000,3301.0000,66626699,2252649,386827,11489,104,,,66626699,60.00,04/11/2018
29/11/2018,3285.5581,3299.0000,3.09,3260.0000,3200.0000,3299.0000,3227.0000,66626699,2198015,654021,19995,119,,,66626699,60.00,04/11/2018
28/11/2018,3186.9615,3200.0000,1.68,3187.0000,3147.0000,3215.0000,3175.0000,66626699,2132054,545922,17095,122,,,66626699,60.00,04/11/2018
27/11/2018,3134.1776,3147.0000,-0.66,3209.0000,3168.0000,3215.0000,3123.0000,66626699,2096742,524506,16547,124,,,66626699,60.00,04/11/2018
26/11/2018,3155.0920,3168.0000,-1.09,3203.0000,3203.0000,3222.0000,3151.0000,66626699,2110734,1114722,34904,113,,,66626699,60.00,04/11/2018
25/11/2018,3189.9493,3203.0000,-0.59,3222.0000,3222.0000,3263.0000,3153.0000,66626699,2134053,690186,21588,98,,,66626699,60.00,04/11/2018
22/11/2018,3208.8719,3222.0000,0.06,3218.0000,3220.0000,3268.0000,3170.0000,66626699,2146712,428022,13355,109,,,66626699,60.00,04/11/2018
21/11/2018,3206.8800,3220.0000,0.19,3214.0000,3214.0000,3275.0000,3150.0000,66626699,2145380,1302475,40656,191,,,66626699,60.00,04/11/2018
20/11/2018,3200.9044,3214.0000,-2.55,3298.0000,3298.0000,3278.0000,3200.0000,66626699,2141382,1590791,49295,224,,,66626699,60.00,04/11/2018
19/11/2018,3284.5623,3298.0000,-0.51,3325.0000,3315.0000,3325.0000,3264.0000,66626699,2197349,535561,16309,126,,,66626699,60.00,04/11/2018
18/11/2018,3301.4930,3315.0000,0.91,3285.0000,3285.0000,3334.0000,3286.0000,66626699,2208675,295766,8925,81,,,66626699,60.00,04/11/2018
