 Historical Data - End of Day TEVA,,,,,,,,,,,,,,,,,
 From 01/01/2013 To 31/12/2018
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
31/12/2018,5865.0000,5865.0000,-0.56,5924.0000,5898.0000,5998.0000,5865.0000,1089364466,63891226,55104558,928014,2539,,,1018732488,100.00,09/12/2018
30/12/2018,5898.0000,5898.0000,1.95,5893.0000,5785.0000,5911.0000,5860.0000,1089364466,64250716,28842295,490622,1753,,,1018732488,100.00,09/12/2018
27/12/2018,5785.0000,5785.0000,3.27,5970.0000,5602.0000,5979.0000,5754.0000,1089364466,63019734,95989232,1628189,3623,,,1018732488,100.00,09/12/2018
26/12/2018,5602.0000,5602.0000,-0.32,5600.0000,5620.0000,5811.0000,5582.0000,1089364466,61026197,83651735,1474833,4235,,,1018732488,100.00,09/12/2018
25/12/2018,5620.0000,5620.0000,0.30,5501.0000,5603.0000,5658.0000,5440.0000,1089364466,61222283,34224542,617231,2264,,,1018732488,100.00,09/12/2018
24/12/2018,5603.0000,5603.0000,-1.18,5700.0000,5670.0000,5724.0000,5552.0000,1089364466,61037091,60521506,1070624,3177,,,1018732488,100.00,09/12/2018
23/12/2018,5670.0000,5670.0000,-7.95,5730.0000,6160.0000,5744.0000,5607.0000,1089364466,61766965,69603153,1224827,3512,,,1018732488,100.00,09/12/2018
20/12/2018,6160.0000,6160.0000,-4.94,6150.0000,6480.0000,6279.0000,6100.0000,1089364466,67104851,119580909,1940701,4230,,,1018732488,100.00,09/12/2018
19/12/2018,6480.0000,6480.0000,-2.50,6460.0000,6646.0000,6514.0000,6330.0000,1089364466,70590817,103998262,1611407,3559,,,1018732488,100.00,09/12/2018
18/12/2018,6646.0000,6646.0000,-1.25,6710.0000,6730.0000,6755.0000,6646.0000,1089364466,72399162,54363082,813175,2393,,,1018732488,100.00,09/12/2018
17/12/2018,6730.0000,6730.0000,-3.64,6984.0000,6984.0000,7119.0000,6730.0000,1089364466,73314229,53551434,774930,2692,,,1018732488,100.00,09/12/2018
16/12/2018,6984.0000,6984.0000,-3.54,7005.0000,7240.0000,7020.0000,6974.0000,1018739021,71148733,17760456,253938,1035,,,1018732488,100.00,09/12/2018
13/12/2018,7240.0000,7240.0000,1.07,7150.0000,7163.0000,7260.0000,7101.0000,1018739021,73756705,50654930,707072,2134,,,1018732488,100.00,09/12/2018
12/12/2018,7163.0000,7163.0000,3.08,7000.0000,6949.0000,7163.0000,6980.0000,1018738355,72972228,67431491,953488,2515,,,1018732488,100.00,09/12/2018
11/12/2018,6949.0000,6949.0000,0.56,6899.0000,6910.0000,7063.0000,6860.0000,1018738355,70792128,67915978,975967,2858,,,1018732488,100.00,09/12/2018
10/12/2018,6910.0000,6910.0000,-5.34,7000.0000,7300.0000,7165.0000,6800.0000,1018732488,70394415,162103608,2333425,5884,,,1018732488,100.00,09/12/2018
09/12/2018,7300.0000,7300.0000,-1.75,7300.0000,7430.0000,7319.0000,7265.0000,1018732488,74367472,23211825,318390,1179,,,1018732488,100.00,09/12/2018
06/12/2018,7430.0000,7430.0000,-4.74,7710.0000,7800.0000,7710.0000,7356.0000,1018732488,75691824,156026303,2084441,2912,,,1018482488,100.00,04/11/2018
05/12/2018,7800.0000,7800.0000,-1.73,7750.0000,7937.0000,7800.0000,7700.0000,1018732488,79461134,61103607,784904,1482,,,1018482488,100.00,04/11/2018
04/12/2018,7937.0000,7937.0000,-1.82,8005.0000,8084.0000,8020.0000,7910.0000,1018732488,80856798,34269601,429981,1465,,,1018482488,100.00,04/11/2018
03/12/2018,8084.0000,8084.0000,0.30,8099.0000,8060.0000,8179.0000,8070.0000,1018732488,82354334,30584229,376868,1405,,,1018482488,100.00,04/11/2018
